"Relative Time (Process)","slope: 2 - _step","slope: 2 - _step__MIN","slope: 2 - _step__MAX","slope: 2 - test/returns_stat/mean","slope: 2 - test/returns_stat/mean__MIN","slope: 2 - test/returns_stat/mean__MAX","slope: 50 - _step","slope: 50 - _step__MIN","slope: 50 - _step__MAX","slope: 50 - test/returns_stat/mean","slope: 50 - test/returns_stat/mean__MIN","slope: 50 - test/returns_stat/mean__MAX","slope: 1 - _step","slope: 1 - _step__MIN","slope: 1 - _step__MAX","slope: 1 - test/returns_stat/mean","slope: 1 - test/returns_stat/mean__MIN","slope: 1 - test/returns_stat/mean__MAX","slope: 100 - _step","slope: 100 - _step__MIN","slope: 100 - _step__MAX","slope: 100 - test/returns_stat/mean","slope: 100 - test/returns_stat/mean__MIN","slope: 100 - test/returns_stat/mean__MAX","slope: 10 - _step","slope: 10 - _step__MIN","slope: 10 - _step__MAX","slope: 10 - test/returns_stat/mean","slope: 10 - test/returns_stat/mean__MIN","slope: 10 - test/returns_stat/mean__MAX"
"90.680197","250","250","250","37.224724","37.224724","37.224724","","","","","","","","","","","","","","","","","","","","","","","",""
"90.77159","21252","21252","21252","41.467365","41.467365","41.467365","","","","","","","","","","","","","","","","","","","","","","","",""
"90.816196","21041","21041","21041","40.982258","40.982258","40.982258","","","","","","","","","","","","","","","","","","","","","","","",""
"90.896782","21792","21792","21792","38.628452","38.628452","38.628452","","","","","","","","","","","","","","","","","","","","","","","",""
"90.914923","20901","20901","20901","37.32328","37.32328","37.32328","","","","","","","","","","","","","","","","","","","","","","","",""
"90.982301","250","250","250","37.844177","37.844177","37.844177","","","","","","","","","","","","","","","","","","","","","","","",""
"91.749343","20991","20991","20991","39.65999","39.65999","39.65999","","","","","","","","","","","","","","","","","","","","","","","",""
"96.123428","21579","21579","21579","33.463707","33.463707","33.463707","","","","","","","","","","","","","","","","","","","","","","","",""
"128.00246500968933","11","11","11","31.969900131225586","31.969900131225586","31.969900131225586","","","","","","","","","","","","","","","","","","","","","","","",""
"134.42066502571106","","","","","","","","","","","","","11","11","11","34.12968826293945","34.12968826293945","34.12968826293945","","","","","","","","","","","",""
"134.4235818386078","","","","","","","12","12","12","31.382322311401367","31.382322311401367","31.382322311401367","","","","","","","","","","","","","","","","","",""
"136.30521297454834","","","","","","","","","","","","","12","12","12","27.797502517700195","27.797502517700195","27.797502517700195","","","","","","","","","","","",""
"136.3922040462494","","","","","","","11","11","11","32.565189361572266","32.565189361572266","32.565189361572266","","","","","","","","","","","","","","","","","",""
"136.6501269340515","12","12","12","34.20384216308594","34.20384216308594","34.20384216308594","","","","","","","","","","","","","","","","","","","","","","","",""
"137.0784091949463","","","","","","","","","","","","","11","11","11","35.0724983215332","35.0724983215332","35.0724983215332","","","","","","","","","","","",""
"139.5656018257141","20963","20963","20963","40.41610336303711","40.41610336303711","40.41610336303711","","","","","","","","","","","","","","","","","","","","","","","",""
"139.74001598358154","11","11","11","34.116172790527344","34.116172790527344","34.116172790527344","","","","","","","","","","","","","","","","","","","","","","","",""
"140.02313017845154","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","28.025623321533203","28.025623321533203","28.025623321533203"
"140.99769806861877","","","","","","","","","","","","","","","","","","","11","11","11","32.26289749145508","32.26289749145508","32.26289749145508","","","","","",""
"141.37176084518433","12","12","12","33.57054138183594","33.57054138183594","33.57054138183594","","","","","","","","","","","","","","","","","","","","","","","",""
"142.78589010238647","","","","","","","12","12","12","26.295623779296875","26.295623779296875","26.295623779296875","","","","","","","","","","","","","","","","","",""
"146.19059300422668","","","","","","","","","","","","","","","","","","","11","11","11","33.23167419433594","33.23167419433594","33.23167419433594","","","","","",""
"155.74915","539","539","539","33.234497","33.234497","33.234497","","","","","","","","","","","","","","","","","","","","","","","",""
"155.756688","539","539","539","36.577026","36.577026","36.577026","","","","","","","","","","","","","","","","","","","","","","","",""
"155.819807","539","539","539","36.856857","36.856857","36.856857","","","","","","","","","","","","","","","","","","","","","","","",""
"156.537151","539","539","539","31.299507","31.299507","31.299507","","","","","","","","","","","","","","","","","","","","","","","",""
"157.27621","539","539","539","27.12802","27.12802","27.12802","","","","","","","","","","","","","","","","","","","","","","","",""
"160.967008","42664","42664","42664","33.63531","33.63531","33.63531","","","","","","","","","","","","","","","","","","","","","","","",""
"166.228232","42842","42842","42842","26.213903","26.213903","26.213903","","","","","","","","","","","","","","","","","","","","","","","",""
"170.627047","42182","42182","42182","36.785236","36.785236","36.785236","","","","","","","","","","","","","","","","","","","","","","","",""
"170.925992","42171","42171","42171","44.544666","44.544666","44.544666","","","","","","","","","","","","","","","","","","","","","","","",""
"171.078212","539","539","539","38.67598","38.67598","38.67598","","","","","","","","","","","","","","","","","","","","","","","",""
"171.337925","42730","42730","42730","32.630356","32.630356","32.630356","","","","","","","","","","","","","","","","","","","","","","","",""
"171.948932","42004","42004","42004","36.058865","36.058865","36.058865","","","","","","","","","","","","","","","","","","","","","","","",""
"176.156464","42227","42227","42227","36.087017","36.087017","36.087017","","","","","","","","","","","","","","","","","","","","","","","",""
"176.240204","42071","42071","42071","34.64862","34.64862","34.64862","","","","","","","","","","","","","","","","","","","","","","","",""
