"epoch","slope: 50 - _step","slope: 50 - _step__MIN","slope: 50 - _step__MAX","slope: 50 - test reward","slope: 50 - test reward__MIN","slope: 50 - test reward__MAX","slope: 100 - _step","slope: 100 - _step__MIN","slope: 100 - _step__MAX","slope: 100 - test reward","slope: 100 - test reward__MIN","slope: 100 - test reward__MAX","slope: 2 - _step","slope: 2 - _step__MIN","slope: 2 - _step__MAX","slope: 2 - test reward","slope: 2 - test reward__MIN","slope: 2 - test reward__MAX"
"150","307.8333333333333","182","937","214.3033243710005","103.54997009150051","336.1302684510972","937","937","937","59.04017903895796","59.04017903895796","59.04017903895796","937","937","937","196.56507228547062","196.56507228547062","196.56507228547062"
"160","328.1666666666667","194","999","215.45978731824206","132.646516350755","269.56297757681926","999","999","999","231.2327888899788","231.2327888899788","231.2327888899788","999","999","999","367.68533472087626","367.68533472087626","367.68533472087626"
"170","348.5","206","1061","259.6871914162934","173.5302921504962","332.8633601542023","1061","1061","1061","190.05405506323444","190.05405506323444","190.05405506323444","1061","1061","1061","190.32953540895147","190.32953540895147","190.32953540895147"
"180","368.8333333333333","218","1123","281.2203680542911","168.6564372656444","369.5665476407661","1123","1123","1123","281.21400812661216","281.21400812661216","281.21400812661216","1123","1123","1123","444.86670562887974","444.86670562887974","444.86670562887974"
"190","389.1666666666667","230","1185","255.8967645760182","167.50028853476326","335.7684290377663","1185","1185","1185","320.57822982455843","320.57822982455843","320.57822982455843","1185","1185","1185","231.15171204030275","231.15171204030275","231.15171204030275"
"200","409.5","242","1247","246.01529773309562","173.42552324627326","335.98854362811346","1247","1247","1247","183.56034880480541","183.56034880480541","183.56034880480541","1247","1247","1247","145.8748599966528","145.8748599966528","145.8748599966528"
"210","429.8333333333333","254","1309","300.970477694652","171.03115533841353","400.6446934154649","1309","1309","1309","358.65804453340303","358.65804453340303","358.65804453340303","1309","1309","1309","316.6903769310026","316.6903769310026","316.6903769310026"
"220","450.1666666666667","266","1371","241.59338516840526","104.2458961954471","338.3499892900472","1371","1371","1371","186.4281633579018","186.4281633579018","186.4281633579018","1371","1371","1371","232.76443842155953","232.76443842155953","232.76443842155953"
"230","470.5","278","1433","251.24594499664383","169.69199798535698","303.41228200108276","1433","1433","1433","318.77825579769285","318.77825579769285","318.77825579769285","1433","1433","1433","409.57471727200925","409.57471727200925","409.57471727200925"
"240","490.8333333333333","290","1495","272.3836932051706","133.0540826036157","363.0036598959817","1495","1495","1495","188.96560247123116","188.96560247123116","188.96560247123116","1495","1495","1495","360.62026044481917","360.62026044481917","360.62026044481917"
"250","511.1666666666667","302","1557","238.9505996979215","134.70390387548244","335.7010310826314","1557","1557","1557","236.70383128830605","236.70383128830605","236.70383128830605","1557","1557","1557","273.75883671332446","273.75883671332446","273.75883671332446"
"260","531.5","314","1619","221.16758071814675","109.9497746107003","273.44287320330517","1619","1619","1619","364.17353997998833","364.17353997998833","364.17353997998833","1619","1619","1619","322.4520684259744","322.4520684259744","322.4520684259744"
"270","551.8333333333334","326","1681","265.5317208951048","200.72215645424748","365.4570299256003","1681","1681","1681","191.9404764449416","191.9404764449416","191.9404764449416","1681","1681","1681","318.40909147933723","318.40909147933723","318.40909147933723"
"280","572.1666666666666","338","1743","232.366930838838","136.05412898811815","366.62495965295705","1743","1743","1743","360.61454354710156","360.61454354710156","360.61454354710156","1743","1743","1743","61.02351457712632","61.02351457712632","61.02351457712632"
"290","592.5","350","1805","319.8567920872597","135.38484744796065","465.8351931572194","1805","1805","1805","236.29645678800958","236.29645678800958","236.29645678800958","1805","1805","1805","273.3285835159212","273.3285835159212","273.3285835159212"
"300","1867","1867","1867","151.73959598327014","151.73959598327014","151.73959598327014","1867","1867","1867","229.0569844726894","229.0569844726894","229.0569844726894","1867","1867","1867","229.6090654430206","229.6090654430206","229.6090654430206"
"310","1929","1929","1929","277.1692057044339","277.1692057044339","277.1692057044339","1929","1929","1929","405.77814324639365","405.77814324639365","405.77814324639365","1929","1929","1929","316.3600129212988","316.3600129212988","316.3600129212988"
"320","1991","1991","1991","276.97462884957116","276.97462884957116","276.97462884957116","1991","1991","1991","367.6830516835033","367.6830516835033","367.6830516835033","1991","1991","1991","402.58976966448284","402.58976966448284","402.58976966448284"
"330","2053","2053","2053","401.14357765771626","401.14357765771626","401.14357765771626","2053","2053","2053","184.74367160460602","184.74367160460602","184.74367160460602","2053","2053","2053","228.78471507637838","228.78471507637838","228.78471507637838"
"340","2115","2115","2115","397.19675077780187","397.19675077780187","397.19675077780187","2115","2115","2115","271.63319059445723","271.63319059445723","271.63319059445723","2115","2115","2115","237.17496357731505","237.17496357731505","237.17496357731505"
"350","2177","2177","2177","369.25632882464345","369.25632882464345","369.25632882464345","2177","2177","2177","317.3666637113308","317.3666637113308","317.3666637113308","2177","2177","2177","278.3535364027881","278.3535364027881","278.3535364027881"
"360","2239","2239","2239","188.540179294545","188.540179294545","188.540179294545","2239","2239","2239","152.53148379642343","152.53148379642343","152.53148379642343","2239","2239","2239","227.77438345337788","227.77438345337788","227.77438345337788"
"370","2301","2301","2301","275.97459331102584","275.97459331102584","275.97459331102584","2301","2301","2301","274.70298930914","274.70298930914","274.70298930914","2301","2301","2301","320.1831779487728","320.1831779487728","320.1831779487728"
"380","2363","2363","2363","187.54093323978174","187.54093323978174","187.54093323978174","2363","2363","2363","185.68056866796502","185.68056866796502","185.68056866796502","2363","2363","2363","151.05961896747723","151.05961896747723","151.05961896747723"
"390","2425","2425","2425","360.6802168067195","360.6802168067195","360.6802168067195","2425","2425","2425","275.49423498104045","275.49423498104045","275.49423498104045","2425","2425","2425","278.4535098655818","278.4535098655818","278.4535098655818"
"400","2487","2487","2487","190.71898088366518","190.71898088366518","190.71898088366518","2487","2487","2487","279.514278808408","279.514278808408","279.514278808408","2487","2487","2487","279.2655025503346","279.2655025503346","279.2655025503346"
"410","2549","2549","2549","276.8472590764413","276.8472590764413","276.8472590764413","2549","2549","2549","232.6616689894628","232.6616689894628","232.6616689894628","2549","2549","2549","449.6608570775587","449.6608570775587","449.6608570775587"
"420","2611","2611","2611","358.8832018514398","358.8832018514398","358.8832018514398","2611","2611","2611","360.02915769850586","360.02915769850586","360.02915769850586","2611","2611","2611","324.025612900181","324.025612900181","324.025612900181"
"430","2673","2673","2673","490.30262348935076","490.30262348935076","490.30262348935076","2673","2673","2673","524.8253026717667","524.8253026717667","524.8253026717667","2673","2673","2673","358.66314569923907","358.66314569923907","358.66314569923907"
"440","2735","2735","2735","272.93958580174274","272.93958580174274","272.93958580174274","2735","2735","2735","232.15215694767116","232.15215694767116","232.15215694767116","2735","2735","2735","363.31782825998266","363.31782825998266","363.31782825998266"
"450","2797","2797","2797","403.3158257249676","403.3158257249676","403.3158257249676","2797","2797","2797","362.79496024732373","362.79496024732373","362.79496024732373","2797","2797","2797","404.1975605225003","404.1975605225003","404.1975605225003"
"460","2859","2859","2859","275.8904527989465","275.8904527989465","275.8904527989465","2859","2859","2859","325.42752704985185","325.42752704985185","325.42752704985185","2859","2859","2859","322.0217598879567","322.0217598879567","322.0217598879567"
"470","2921","2921","2921","358.0038786594298","358.0038786594298","358.0038786594298","2921","2921","2921","404.4122803380982","404.4122803380982","404.4122803380982","2921","2921","2921","275.64492829799235","275.64492829799235","275.64492829799235"
"480","2983","2983","2983","198.55762522697665","198.55762522697665","198.55762522697665","2983","2983","2983","280.5730414848877","280.5730414848877","280.5730414848877","2983","2983","2983","272.11548097897304","272.11548097897304","272.11548097897304"
"490","3045","3045","3045","231.3279102733448","231.3279102733448","231.3279102733448","3045","3045","3045","359.7853621907","359.7853621907","359.7853621907","3045","3045","3045","406.26476343892574","406.26476343892574","406.26476343892574"
