"Step","fast-planet-212 - test reward","fast-planet-212 - test reward__MIN","fast-planet-212 - test reward__MAX","splendid-smoke-203 - test reward","splendid-smoke-203 - test reward__MIN","splendid-smoke-203 - test reward__MAX"
"5","19.129712388158396","19.129712388158396","19.129712388158396","17.38136190329768","17.38136190329768","17.38136190329768"
"48","16.47666258108655","16.47666258108655","16.47666258108655","14.640516454135772","14.640516454135772","14.640516454135772"
"90","17.127588923159344","17.127588923159344","17.127588923159344","16.815875557103322","16.815875557103322","16.815875557103322"
"132","15.072175574369771","15.072175574369771","15.072175574369771","16.395659530613756","16.395659530613756","16.395659530613756"
"174","21.452990349589903","21.452990349589903","21.452990349589903","19.030314242057564","19.030314242057564","19.030314242057564"
"216","16.43419528251053","16.43419528251053","16.43419528251053","28.387067973714522","28.387067973714522","28.387067973714522"
"258","22.129277632393066","22.129277632393066","22.129277632393066","19.201498283112322","19.201498283112322","19.201498283112322"
"300","22.558255776878145","22.558255776878145","22.558255776878145","18.9492775984609","18.9492775984609","18.9492775984609"
"342","15.438683679483308","15.438683679483308","15.438683679483308","15.639669280340135","15.639669280340135","15.639669280340135"
"384","15.316502249596146","15.316502249596146","15.316502249596146","15.277606467538877","15.277606467538877","15.277606467538877"
"426","18.87613265180511","18.87613265180511","18.87613265180511","19.9253348196133","19.9253348196133","19.9253348196133"
"468","17.683278619761985","17.683278619761985","17.683278619761985","29.2396200849304","29.2396200849304","29.2396200849304"
"510","88.59371092787197","88.59371092787197","88.59371092787197","61.50943736684584","61.50943736684584","61.50943736684584"
"552","42.10023001787758","42.10023001787758","42.10023001787758","18.275542928854858","18.275542928854858","18.275542928854858"
"594","55.91052510151644","55.91052510151644","55.91052510151644","61.34844216574637","61.34844216574637","61.34844216574637"
"636","53.23429121222468","53.23429121222468","53.23429121222468","143.16171577979034","143.16171577979034","143.16171577979034"
"678","13.619462165353454","13.619462165353454","13.619462165353454","176.59949107839094","176.59949107839094","176.59949107839094"
"720","149.3948237279832","149.3948237279832","149.3948237279832","102.16124173565144","102.16124173565144","102.16124173565144"
"762","99.88528453289739","99.88528453289739","99.88528453289739","96.82203554851174","96.82203554851174","96.82203554851174"
"804","17.26322188733861","17.26322188733861","17.26322188733861","60.53133411445757","60.53133411445757","60.53133411445757"
"846","","","","189.0945135020655","189.0945135020655","189.0945135020655"
"848","106.50854823837946","106.50854823837946","106.50854823837946","","",""
"888","","","","17.759502072004715","17.759502072004715","17.759502072004715"
"890","101.23831680322455","101.23831680322455","101.23831680322455","","",""
"930","","","","142.96029969245404","142.96029969245404","142.96029969245404"
"932","103.51254210070775","103.51254210070775","103.51254210070775","","",""
"974","188.05285753792936","188.05285753792936","188.05285753792936","188.11678513457164","188.11678513457164","188.11678513457164"
"1016","192.6641883200999","192.6641883200999","192.6641883200999","227.63294509623242","227.63294509623242","227.63294509623242"
"1058","105.86808445938414","105.86808445938414","105.86808445938414","","",""
"1060","","","","62.45503737007412","62.45503737007412","62.45503737007412"
"1100","147.29679256766744","147.29679256766744","147.29679256766744","","",""
"1102","","","","188.31251997679493","188.31251997679493","188.31251997679493"
"1142","18.740687956245658","18.740687956245658","18.740687956245658","","",""
"1144","","","","100.96210841582527","100.96210841582527","100.96210841582527"
"1184","70.43996753522934","70.43996753522934","70.43996753522934","","",""
"1188","","","","102.13227551695807","102.13227551695807","102.13227551695807"
"1226","116.74559439050265","116.74559439050265","116.74559439050265","","",""
"1270","63.60173757409136","63.60173757409136","63.60173757409136","","",""
"1312","103.95733903876919","103.95733903876919","103.95733903876919","","",""
"1354","190.443524592625","190.443524592625","190.443524592625","","",""
"1396","20.00404778713091","20.00404778713091","20.00404778713091","","",""
"1438","101.20280911268253","101.20280911268253","101.20280911268253","","",""
"1480","110.2241712510612","110.2241712510612","110.2241712510612","","",""
"1522","141.7265496370109","141.7265496370109","141.7265496370109","","",""
"1564","106.01807611476868","106.01807611476868","106.01807611476868","","",""
"1606","105.89908549357236","105.89908549357236","105.89908549357236","","",""
"1648","66.12253411938644","66.12253411938644","66.12253411938644","","",""
