"Step","breezy-galaxy-378 - test reward","breezy-galaxy-378 - test reward__MIN","breezy-galaxy-378 - test reward__MAX","colorful-armadillo-373 - test reward","colorful-armadillo-373 - test reward__MIN","colorful-armadillo-373 - test reward__MAX","helpful-wildflower-180 - test reward","helpful-wildflower-180 - test reward__MIN","helpful-wildflower-180 - test reward__MAX","silvery-fire-184 - test reward","silvery-fire-184 - test reward__MIN","silvery-fire-184 - test reward__MAX"
"6","","","","","","","21.18228737656778","21.18228737656778","21.18228737656778","16.98480473758008","16.98480473758008","16.98480473758008"
"23","19.013349578884625","19.013349578884625","19.013349578884625","20.379104270908115","20.379104270908115","20.379104270908115","","","","","",""
"49","","","","","","","18.484019122885183","18.484019122885183","18.484019122885183","17.41876036576919","17.41876036576919","17.41876036576919"
"92","","","","","","","18.753877568909722","18.753877568909722","18.753877568909722","16.181211661613997","16.181211661613997","16.181211661613997"
"135","","","","","","","18.947559871370974","18.947559871370974","18.947559871370974","17.176207682197923","17.176207682197923","17.176207682197923"
"178","","","","","","","15.444453983990439","15.444453983990439","15.444453983990439","22.129348217934005","22.129348217934005","22.129348217934005"
"221","","","","","","","18.520584907181593","18.520584907181593","18.520584907181593","16.757590829768723","16.757590829768723","16.757590829768723"
"245","19.210049875868634","19.210049875868634","19.210049875868634","20.212300815126778","20.212300815126778","20.212300815126778","","","","","",""
"264","","","","","","","22.861757799171652","22.861757799171652","22.861757799171652","24.470930672771864","24.470930672771864","24.470930672771864"
"307","","","","","","","17.182905459632057","17.182905459632057","17.182905459632057","21.45091574653261","21.45091574653261","21.45091574653261"
"350","","","","","","","16.33929466964601","16.33929466964601","16.33929466964601","15.807122408112216","15.807122408112216","15.807122408112216"
"393","","","","","","","28.896200106446365","28.896200106446365","28.896200106446365","18.392703794210473","18.392703794210473","18.392703794210473"
"436","","","","","","","28.18733949734937","28.18733949734937","28.18733949734937","16.123626154740442","16.123626154740442","16.123626154740442"
"467","97.98011350304023","97.98011350304023","97.98011350304023","68.53804044043997","68.53804044043997","68.53804044043997","","","","","",""
"479","","","","","","","15.069598988192075","15.069598988192075","15.069598988192075","21.66886516036813","21.66886516036813","21.66886516036813"
"522","","","","","","","29.328412337856935","29.328412337856935","29.328412337856935","23.748716050437913","23.748716050437913","23.748716050437913"
"565","","","","","","","20.289903592492912","20.289903592492912","20.289903592492912","27.03789565173343","27.03789565173343","27.03789565173343"
