"Step","brisk-cherry-382 - test reward","brisk-cherry-382 - test reward__MIN","brisk-cherry-382 - test reward__MAX","prime-river-181 - test reward","prime-river-181 - test reward__MIN","prime-river-181 - test reward__MAX","dutiful-waterfall-374 - test reward","dutiful-waterfall-374 - test reward__MIN","dutiful-waterfall-374 - test reward__MAX","valiant-paper-217 - test reward","valiant-paper-217 - test reward__MIN","valiant-paper-217 - test reward__MAX","young-forest-186 - test reward","young-forest-186 - test reward__MIN","young-forest-186 - test reward__MAX","winter-tree-379 - test reward","winter-tree-379 - test reward__MIN","winter-tree-379 - test reward__MAX"
"866","","","","58.6209949508297","58.6209949508297","58.6209949508297","","","","","","","150.01178412292683","150.01178412292683","150.01178412292683","","",""
"887","","","","","","","","","","138.07343482350748","138.07343482350748","138.07343482350748","","","","","",""
"909","","","","190.83169743110412","190.83169743110412","190.83169743110412","","","","","","","64.99578782455735","64.99578782455735","64.99578782455735","","",""
"911","229.08564956637707","229.08564956637707","229.08564956637707","","","","194.8776401771458","194.8776401771458","194.8776401771458","","","","","","","103.15121632453751","103.15121632453751","103.15121632453751"
"929","","","","","","","","","","103.23671246443163","103.23671246443163","103.23671246443163","","","","","",""
"952","","","","108.9013905003878","108.9013905003878","108.9013905003878","","","","","","","18.048907905169266","18.048907905169266","18.048907905169266","","",""
"971","","","","","","","","","","59.49261697698855","59.49261697698855","59.49261697698855","","","","","",""
"995","","","","234.8510140348144","234.8510140348144","234.8510140348144","","","","","","","108.9611946099509","108.9611946099509","108.9611946099509","","",""
"1013","","","","","","","","","","57.44664893915471","57.44664893915471","57.44664893915471","","","","","",""
"1038","","","","238.96426797800132","238.96426797800132","238.96426797800132","","","","","","","195.22576152722598","195.22576152722598","195.22576152722598","","",""
"1055","","","","","","","","","","191.41417585536615","191.41417585536615","191.41417585536615","","","","","",""
"1081","","","","109.06468436929167","109.06468436929167","109.06468436929167","","","","","","","147.07296465502475","147.07296465502475","147.07296465502475","","",""
"1097","","","","","","","","","","66.5941055976885","66.5941055976885","66.5941055976885","","","","","",""
"1124","","","","60.311142128350525","60.311142128350525","60.311142128350525","","","","","","","151.06201747004081","151.06201747004081","151.06201747004081","","",""
"1133","188.42499037718375","188.42499037718375","188.42499037718375","","","","240.56988851333267","240.56988851333267","240.56988851333267","","","","","","","325.2189397460113","325.2189397460113","325.2189397460113"
"1139","","","","","","","","","","235.5319349404001","235.5319349404001","235.5319349404001","","","","","",""
"1167","","","","104.3029872017122","104.3029872017122","104.3029872017122","","","","","","","147.52441485646165","147.52441485646165","147.52441485646165","","",""
"1181","","","","","","","","","","143.61545674716737","143.61545674716737","143.61545674716737","","","","","",""
"1210","","","","99.31899624805277","99.31899624805277","99.31899624805277","","","","","","","190.99802369553666","190.99802369553666","190.99802369553666","","",""
"1223","","","","","","","","","","192.0334747155383","192.0334747155383","192.0334747155383","","","","","",""
"1253","","","","231.34478881099207","231.34478881099207","231.34478881099207","","","","","","","149.15048284634872","149.15048284634872","149.15048284634872","","",""
"1265","","","","","","","","","","269.5772096872785","269.5772096872785","269.5772096872785","","","","","",""
"1296","","","","238.51561039195167","238.51561039195167","238.51561039195167","","","","","","","151.7391317956372","151.7391317956372","151.7391317956372","","",""
"1307","","","","","","","","","","60.80962096970861","60.80962096970861","60.80962096970861","","","","","",""
"1339","","","","235.62706681146892","235.62706681146892","235.62706681146892","","","","","","","104.37141129693205","104.37141129693205","104.37141129693205","","",""
"1349","","","","","","","","","","236.69841369657357","236.69841369657357","236.69841369657357","","","","","",""
"1355","230.39158617612105","230.39158617612105","230.39158617612105","","","","106.74218278628022","106.74218278628022","106.74218278628022","","","","","","","240.10414140432204","240.10414140432204","240.10414140432204"
"1382","","","","146.13179316692626","146.13179316692626","146.13179316692626","","","","","","","274.4870931622882","274.4870931622882","274.4870931622882","","",""
"1391","","","","","","","","","","107.2192080777148","107.2192080777148","107.2192080777148","","","","","",""
"1425","","","","147.5691961899218","147.5691961899218","147.5691961899218","","","","","","","106.85674128734937","106.85674128734937","106.85674128734937","","",""
"1433","","","","","","","","","","234.13993149352336","234.13993149352336","234.13993149352336","","","","","",""
"1468","","","","148.0288132106976","148.0288132106976","148.0288132106976","","","","","","","18.857855344348202","18.857855344348202","18.857855344348202","","",""
"1475","","","","","","","","","","198.60489559236024","198.60489559236024","198.60489559236024","","","","","",""
"1517","","","","","","","","","","60.87488517787614","60.87488517787614","60.87488517787614","","","","","",""
"1559","","","","","","","","","","190.3877265512477","190.3877265512477","190.3877265512477","","","","","",""
"1577","201.68599793021454","201.68599793021454","201.68599793021454","","","","316.10400592720504","316.10400592720504","316.10400592720504","","","","","","","190.15598706739578","190.15598706739578","190.15598706739578"
"1601","","","","","","","","","","185.30334611238055","185.30334611238055","185.30334611238055","","","","","",""
"1643","","","","","","","","","","190.42996597567807","190.42996597567807","190.42996597567807","","","","","",""
"1685","","","","","","","","","","232.24467993703132","232.24467993703132","232.24467993703132","","","","","",""
"1727","","","","","","","","","","149.8939118356723","149.8939118356723","149.8939118356723","","","","","",""
"1769","","","","","","","","","","278.11546551509764","278.11546551509764","278.11546551509764","","","","","",""
"1799","63.201982520312626","63.201982520312626","63.201982520312626","","","","152.98394624108738","152.98394624108738","152.98394624108738","","","","","","","100.72024832450543","100.72024832450543","100.72024832450543"
"1811","","","","","","","","","","229.62066550272112","229.62066550272112","229.62066550272112","","","","","",""
"1853","","","","","","","","","","191.23569925654746","191.23569925654746","191.23569925654746","","","","","",""
"1895","","","","","","","","","","190.33004895018695","190.33004895018695","190.33004895018695","","","","","",""
"1937","","","","","","","","","","235.28417518778488","235.28417518778488","235.28417518778488","","","","","",""
"1979","","","","","","","","","","149.06734558183967","149.06734558183967","149.06734558183967","","","","","",""
"2021","152.02159787566006","152.02159787566006","152.02159787566006","","","","454.8140308948008","454.8140308948008","454.8140308948008","103.95171533855168","103.95171533855168","103.95171533855168","","","","275.1453125285101","275.1453125285101","275.1453125285101"
"2063","","","","","","","","","","273.6092310434737","273.6092310434737","273.6092310434737","","","","","",""
"2243","193.25423113789094","193.25423113789094","193.25423113789094","","","","232.4568736697021","232.4568736697021","232.4568736697021","","","","","","","232.75524496302916","232.75524496302916","232.75524496302916"
"2465","187.66331622972615","187.66331622972615","187.66331622972615","","","","190.32746593402297","190.32746593402297","190.32746593402297","","","","","","","149.22911005741437","149.22911005741437","149.22911005741437"
"2687","150.64323026866106","150.64323026866106","150.64323026866106","","","","150.0636570806941","150.0636570806941","150.0636570806941","","","","","","","234.17161400359728","234.17161400359728","234.17161400359728"
"2909","184.04585231662543","184.04585231662543","184.04585231662543","","","","233.73982501276336","233.73982501276336","233.73982501276336","","","","","","","277.32022475718014","277.32022475718014","277.32022475718014"
"3131","191.58078101229762","191.58078101229762","191.58078101229762","","","","276.3987317238415","276.3987317238415","276.3987317238415","","","","","","","315.3223452075052","315.3223452075052","315.3223452075052"
"3353","362.57741775484493","362.57741775484493","362.57741775484493","","","","143.9390719741749","143.9390719741749","143.9390719741749","","","","","","","109.29839907239916","109.29839907239916","109.29839907239916"
"3575","192.12683208114268","192.12683208114268","192.12683208114268","","","","193.27193057412683","193.27193057412683","193.27193057412683","","","","","","","104.47886349676287","104.47886349676287","104.47886349676287"
"3797","230.1682319831206","230.1682319831206","230.1682319831206","","","","145.81346314494357","145.81346314494357","145.81346314494357","","","","","","","104.10144139475896","104.10144139475896","104.10144139475896"
"4019","107.8777823510851","107.8777823510851","107.8777823510851","","","","237.25433342174992","237.25433342174992","237.25433342174992","","","","","","","105.81270740127471","105.81270740127471","105.81270740127471"
"4241","231.6636328953676","231.6636328953676","231.6636328953676","","","","229.4467258051854","229.4467258051854","229.4467258051854","","","","","","","108.31768870422704","108.31768870422704","108.31768870422704"
"4463","327.8869575824306","327.8869575824306","327.8869575824306","","","","100.75274693884053","100.75274693884053","100.75274693884053","","","","","","","278.8053353431043","278.8053353431043","278.8053353431043"
"4685","235.39190448042422","235.39190448042422","235.39190448042422","","","","279.374849075933","279.374849075933","279.374849075933","","","","","","","318.7511382829219","318.7511382829219","318.7511382829219"
"4907","147.51987784563798","147.51987784563798","147.51987784563798","","","","147.5729176854494","147.5729176854494","147.5729176854494","","","","","","","360.04456030431163","360.04456030431163","360.04456030431163"
"5129","63.91541658985632","63.91541658985632","63.91541658985632","","","","191.60879495886698","191.60879495886698","191.60879495886698","","","","","","","187.54535486393485","187.54535486393485","187.54535486393485"
"5351","154.3346433304269","154.3346433304269","154.3346433304269","","","","146.86498797628386","146.86498797628386","146.86498797628386","","","","","","","59.746326828314125","59.746326828314125","59.746326828314125"
"5573","21.299751542650426","21.299751542650426","21.299751542650426","","","","235.04243048492967","235.04243048492967","235.04243048492967","","","","","","","102.34395883549462","102.34395883549462","102.34395883549462"
"5795","146.2395203221554","146.2395203221554","146.2395203221554","","","","191.02444287443666","191.02444287443666","191.02444287443666","","","","","","","198.57519931868416","198.57519931868416","198.57519931868416"
"6017","280.9734162783741","280.9734162783741","280.9734162783741","","","","149.53792294157725","149.53792294157725","149.53792294157725","","","","","","","199.30611199360442","199.30611199360442","199.30611199360442"
"6239","190.9138892467222","190.9138892467222","190.9138892467222","","","","231.72690594181412","231.72690594181412","231.72690594181412","","","","","","","148.57762358765234","148.57762358765234","148.57762358765234"
"6461","237.38946195484885","237.38946195484885","237.38946195484885","","","","190.15883714219726","190.15883714219726","190.15883714219726","","","","","","","230.84898152286792","230.84898152286792","230.84898152286792"
