"Step","fancy-monkey-376 - test reward","fancy-monkey-376 - test reward__MIN","fancy-monkey-376 - test reward__MAX","laced-surf-225 - test reward","laced-surf-225 - test reward__MIN","laced-surf-225 - test reward__MAX","cool-thunder-238 - test reward","cool-thunder-238 - test reward__MIN","cool-thunder-238 - test reward__MAX","revived-dawn-237 - test reward","revived-dawn-237 - test reward__MIN","revived-dawn-237 - test reward__MAX","sweet-sunset-377 - test reward","sweet-sunset-377 - test reward__MIN","sweet-sunset-377 - test reward__MAX","royal-disco-223 - test reward","royal-disco-223 - test reward__MIN","royal-disco-223 - test reward__MAX","lyric-sunset-380 - test reward","lyric-sunset-380 - test reward__MIN","lyric-sunset-380 - test reward__MAX","wandering-mountain-242 - test reward","wandering-mountain-242 - test reward__MIN","wandering-mountain-242 - test reward__MAX","copper-darkness-244 - test reward","copper-darkness-244 - test reward__MIN","copper-darkness-244 - test reward__MAX"
"1433","","","","315.81589399685873","315.81589399685873","315.81589399685873","","","","322.1652565277294","322.1652565277294","322.1652565277294","","","","60.315176849349186","60.315176849349186","60.315176849349186","","","","57.24640584074755","57.24640584074755","57.24640584074755","234.1031241303869","234.1031241303869","234.1031241303869"
"1475","","","","228.88872707515793","228.88872707515793","228.88872707515793","","","","276.36850366709103","276.36850366709103","276.36850366709103","","","","146.7541951094754","146.7541951094754","146.7541951094754","","","","","","","","",""
"1495","","","","","","","","","","","","","","","","","","","","","","406.0755254198458","406.0755254198458","406.0755254198458","272.87495144018914","272.87495144018914","272.87495144018914"
"1517","","","","315.34902971857684","315.34902971857684","315.34902971857684","","","","401.2611923765995","401.2611923765995","401.2611923765995","","","","277.4580744232479","277.4580744232479","277.4580744232479","","","","","","","","",""
"1557","","","","","","","","","","","","","","","","","","","","","","360.86019029846204","360.86019029846204","360.86019029846204","320.24395422335016","320.24395422335016","320.24395422335016"
"1559","","","","236.4586987045619","236.4586987045619","236.4586987045619","","","","188.9050027060585","188.9050027060585","188.9050027060585","","","","189.55286174887814","189.55286174887814","189.55286174887814","","","","","","","","",""
"1577","268.5704507323961","268.5704507323961","268.5704507323961","","","","","","","","","","147.48217766867776","147.48217766867776","147.48217766867776","","","","233.41211247636124","233.41211247636124","233.41211247636124","","","","","",""
"1601","","","","404.21796195290403","404.21796195290403","404.21796195290403","","","","532.7019104159776","532.7019104159776","532.7019104159776","","","","279.706206732135","279.706206732135","279.706206732135","","","","","","","","",""
"1619","","","","","","","","","","","","","","","","","","","","","","227.56166101001446","227.56166101001446","227.56166101001446","273.44287320330517","273.44287320330517","273.44287320330517"
"1643","","","","192.72541223574908","192.72541223574908","192.72541223574908","","","","318.9204605740359","318.9204605740359","318.9204605740359","","","","104.68184834636176","104.68184834636176","104.68184834636176","","","","","","","","",""
"1681","","","","","","","","","","","","","","","","","","","","","","318.35700639195636","318.35700639195636","318.35700639195636","365.4570299256003","365.4570299256003","365.4570299256003"
"1685","","","","277.90314637509107","277.90314637509107","277.90314637509107","","","","314.6969093098978","314.6969093098978","314.6969093098978","","","","193.17819523195428","193.17819523195428","193.17819523195428","","","","","","","","",""
"1727","","","","402.6551707752937","402.6551707752937","402.6551707752937","","","","406.8984509685067","406.8984509685067","406.8984509685067","","","","195.96054945509516","195.96054945509516","195.96054945509516","","","","","","","","",""
"1743","","","","","","","","","","","","","","","","","","","","","","360.4485526186424","360.4485526186424","360.4485526186424","278.1763230546923","278.1763230546923","278.1763230546923"
"1769","","","","105.8297489450465","105.8297489450465","105.8297489450465","","","","59.34071358959402","59.34071358959402","59.34071358959402","","","","310.9491805105338","310.9491805105338","310.9491805105338","","","","","","","","",""
"1799","186.32360406725076","186.32360406725076","186.32360406725076","","","","","","","","","","272.7438799137509","272.7438799137509","272.7438799137509","","","","186.3353495804034","186.3353495804034","186.3353495804034","","","","","",""
"1805","","","","","","","","","","","","","","","","","","","","","","275.11688583017906","275.11688583017906","275.11688583017906","317.5325649439545","317.5325649439545","317.5325649439545"
"1811","","","","272.20123043161266","272.20123043161266","272.20123043161266","","","","318.259353404463","318.259353404463","318.259353404463","","","","145.617306738453","145.617306738453","145.617306738453","","","","","","","","",""
"1853","","","","358.9217394756079","358.9217394756079","358.9217394756079","","","","404.7146827525552","404.7146827525552","404.7146827525552","","","","105.32711993196503","105.32711993196503","105.32711993196503","","","","","","","","",""
"1867","","","","","","","","","","","","","","","","","","","","","","413.4816529670866","413.4816529670866","413.4816529670866","151.73959598327014","151.73959598327014","151.73959598327014"
"1895","","","","228.1739088332612","228.1739088332612","228.1739088332612","","","","442.3375700675041","442.3375700675041","442.3375700675041","","","","403.1004836213501","403.1004836213501","403.1004836213501","","","","","","","","",""
"1929","","","","","","","","","","","","","","","","","","","","","","445.2346849733608","445.2346849733608","445.2346849733608","277.1692057044339","277.1692057044339","277.1692057044339"
"1937","","","","231.42671630097425","231.42671630097425","231.42671630097425","","","","191.06116792441216","191.06116792441216","191.06116792441216","","","","19.26624118881349","19.26624118881349","19.26624118881349","","","","","","","","",""
"1979","","","","319.5426478741778","319.5426478741778","319.5426478741778","","","","193.4634963357385","193.4634963357385","193.4634963357385","","","","274.26639259410746","274.26639259410746","274.26639259410746","","","","","","","","",""
"1991","","","","","","","","","","","","","","","","","","","","","","234.07474110759176","234.07474110759176","234.07474110759176","276.97462884957116","276.97462884957116","276.97462884957116"
"2021","278.12140440009017","278.12140440009017","278.12140440009017","186.01311956751752","186.01311956751752","186.01311956751752","","","","144.02648584565767","144.02648584565767","144.02648584565767","359.2831459618204","359.2831459618204","359.2831459618204","236.18814464354176","236.18814464354176","236.18814464354176","359.2462143246757","359.2462143246757","359.2462143246757","","","","","",""
"2053","","","","","","","","","","","","","","","","","","","","","","277.4186543747877","277.4186543747877","277.4186543747877","401.14357765771626","401.14357765771626","401.14357765771626"
"2063","","","","192.64717843401144","192.64717843401144","192.64717843401144","","","","321.6088605510446","321.6088605510446","321.6088605510446","","","","227.16979286872652","227.16979286872652","227.16979286872652","","","","","","","","",""
"2115","","","","","","","","","","","","","","","","","","","","","","58.98104253902344","58.98104253902344","58.98104253902344","397.19675077780187","397.19675077780187","397.19675077780187"
"2177","","","","","","","","","","","","","","","","","","","","","","413.27121391893917","413.27121391893917","413.27121391893917","369.25632882464345","369.25632882464345","369.25632882464345"
"2239","","","","","","","","","","","","","","","","","","","","","","231.70232308897909","231.70232308897909","231.70232308897909","188.540179294545","188.540179294545","188.540179294545"
"2243","532.6221015430746","532.6221015430746","532.6221015430746","","","","","","","","","","363.6341158665298","363.6341158665298","363.6341158665298","","","","150.57030857153126","150.57030857153126","150.57030857153126","","","","","",""
"2301","","","","","","","","","","","","","","","","","","","","","","276.45160490462195","276.45160490462195","276.45160490462195","275.97459331102584","275.97459331102584","275.97459331102584"
"2363","","","","","","","","","","","","","","","","","","","","","","224.77698664252176","224.77698664252176","224.77698664252176","187.54093323978174","187.54093323978174","187.54093323978174"
"2425","","","","","","","","","","","","","","","","","","","","","","191.29424976319245","191.29424976319245","191.29424976319245","360.6802168067195","360.6802168067195","360.6802168067195"
"2465","277.0237626053527","277.0237626053527","277.0237626053527","","","","","","","","","","318.80505351177214","318.80505351177214","318.80505351177214","","","","272.3872574225878","272.3872574225878","272.3872574225878","","","","","",""
"2487","","","","","","","","","","","","","","","","","","","","","","276.4460954440991","276.4460954440991","276.4460954440991","190.71898088366518","190.71898088366518","190.71898088366518"
"2549","","","","","","","","","","","","","","","","","","","","","","144.08761103628595","144.08761103628595","144.08761103628595","276.8472590764413","276.8472590764413","276.8472590764413"
"2611","","","","","","","","","","","","","","","","","","","","","","485.6663708212265","485.6663708212265","485.6663708212265","358.8832018514398","358.8832018514398","358.8832018514398"
"2673","","","","","","","","","","","","","","","","","","","","","","402.59953097666977","402.59953097666977","402.59953097666977","490.30262348935076","490.30262348935076","490.30262348935076"
"2687","193.4070870387806","193.4070870387806","193.4070870387806","","","","","","","","","","193.50368711124105","193.50368711124105","193.50368711124105","","","","318.7572627871105","318.7572627871105","318.7572627871105","","","","","",""
"2735","","","","","","","","","","","","","","","","","","","","","","397.6423723890499","397.6423723890499","397.6423723890499","272.93958580174274","272.93958580174274","272.93958580174274"
"2797","","","","","","","","","","","","","","","","","","","","","","400.2154548679283","400.2154548679283","400.2154548679283","403.3158257249676","403.3158257249676","403.3158257249676"
"2859","","","","","","","","","","","","","","","","","","","","","","320.10980941237386","320.10980941237386","320.10980941237386","275.8904527989465","275.8904527989465","275.8904527989465"
"2909","440.0255091910575","440.0255091910575","440.0255091910575","","","","","","","","","","318.57416726735954","318.57416726735954","318.57416726735954","","","","229.60900276817202","229.60900276817202","229.60900276817202","","","","","",""
"2921","","","","","","","","","","","","","","","","","","","","","","275.85977693171094","275.85977693171094","275.85977693171094","358.0038786594298","358.0038786594298","358.0038786594298"
"2983","","","","","","","","","","","","","","","","","","","","","","359.89077699825646","359.89077699825646","359.89077699825646","198.55762522697665","198.55762522697665","198.55762522697665"
"3045","","","","","","","","","","","","","","","","","","","","","","271.375402496997","271.375402496997","271.375402496997","231.3279102733448","231.3279102733448","231.3279102733448"
"3131","405.84166109878663","405.84166109878663","405.84166109878663","","","","","","","","","","275.4581840478458","275.4581840478458","275.4581840478458","","","","268.1094947813768","268.1094947813768","268.1094947813768","","","","","",""
"3353","404.74170297581924","404.74170297581924","404.74170297581924","","","","","","","","","","102.52701841937703","102.52701841937703","102.52701841937703","","","","364.68106470521747","364.68106470521747","364.68106470521747","","","","","",""
"3575","145.45872767121404","145.45872767121404","145.45872767121404","","","","","","","","","","237.3324110839447","237.3324110839447","237.3324110839447","","","","446.46259518304396","446.46259518304396","446.46259518304396","","","","","",""
