"Step","rural-armadillo-241 - test reward","rural-armadillo-241 - test reward__MIN","rural-armadillo-241 - test reward__MAX","worldly-cherry-234 - test reward","worldly-cherry-234 - test reward__MIN","worldly-cherry-234 - test reward__MAX","honest-thunder-220 - test reward","honest-thunder-220 - test reward__MIN","honest-thunder-220 - test reward__MAX"
"5","","","","21.696552889185647","21.696552889185647","21.696552889185647","19.95771310888772","19.95771310888772","19.95771310888772"
"7","16.34388121488302","16.34388121488302","16.34388121488302","","","","","",""
"47","","","","19.1595277044291","19.1595277044291","19.1595277044291","16.546870059711765","16.546870059711765","16.546870059711765"
"69","14.283661552878389","14.283661552878389","14.283661552878389","","","","","",""
"89","","","","24.411287506009124","24.411287506009124","24.411287506009124","16.321975439554826","16.321975439554826","16.321975439554826"
"131","56.94919907931556","56.94919907931556","56.94919907931556","17.343200940472006","17.343200940472006","17.343200940472006","26.032838410623896","26.032838410623896","26.032838410623896"
"173","","","","20.698138134409632","20.698138134409632","20.698138134409632","18.56262408507598","18.56262408507598","18.56262408507598"
"193","230.17911571849973","230.17911571849973","230.17911571849973","","","","","",""
"215","","","","21.10695114667478","21.10695114667478","21.10695114667478","19.501335366857585","19.501335366857585","19.501335366857585"
"255","146.03266481664372","146.03266481664372","146.03266481664372","","","","","",""
"257","","","","52.77932233334032","52.77932233334032","52.77932233334032","54.44210118734394","54.44210118734394","54.44210118734394"
"299","","","","19.889401308071537","19.889401308071537","19.889401308071537","50.927045618164414","50.927045618164414","50.927045618164414"
"317","359.4716827764872","359.4716827764872","359.4716827764872","","","","","",""
"341","","","","180.73456366369572","180.73456366369572","180.73456366369572","137.71958679007628","137.71958679007628","137.71958679007628"
"379","182.04470912883642","182.04470912883642","182.04470912883642","","","","","",""
"383","","","","140.96198490769387","140.96198490769387","140.96198490769387","13.705555265597818","13.705555265597818","13.705555265597818"
"425","","","","59.01403411465575","59.01403411465575","59.01403411465575","63.344697925650124","63.344697925650124","63.344697925650124"
"441","105.73884279786213","105.73884279786213","105.73884279786213","","","","","",""
"467","","","","193.6602523964497","193.6602523964497","193.6602523964497","58.695445356320235","58.695445356320235","58.695445356320235"
"503","182.34126429890733","182.34126429890733","182.34126429890733","","","","","",""
"509","","","","193.22438654305847","193.22438654305847","193.22438654305847","61.87029911255253","61.87029911255253","61.87029911255253"
"551","","","","103.1859205926111","103.1859205926111","103.1859205926111","183.03260832415282","183.03260832415282","183.03260832415282"
