"Step","wandering-mountain-242 - test reward","wandering-mountain-242 - test reward__MIN","wandering-mountain-242 - test reward__MAX","revived-dawn-237 - test reward","revived-dawn-237 - test reward__MIN","revived-dawn-237 - test reward__MAX","royal-disco-223 - test reward","royal-disco-223 - test reward__MIN","royal-disco-223 - test reward__MAX"
"1433","57.24640584074755","57.24640584074755","57.24640584074755","322.1652565277294","322.1652565277294","322.1652565277294","60.315176849349186","60.315176849349186","60.315176849349186"
"1475","","","","276.36850366709103","276.36850366709103","276.36850366709103","146.7541951094754","146.7541951094754","146.7541951094754"
"1495","406.0755254198458","406.0755254198458","406.0755254198458","","","","","",""
"1517","","","","401.2611923765995","401.2611923765995","401.2611923765995","277.4580744232479","277.4580744232479","277.4580744232479"
"1557","360.86019029846204","360.86019029846204","360.86019029846204","","","","","",""
"1559","","","","188.9050027060585","188.9050027060585","188.9050027060585","189.55286174887814","189.55286174887814","189.55286174887814"
"1601","","","","532.7019104159776","532.7019104159776","532.7019104159776","279.706206732135","279.706206732135","279.706206732135"
"1619","227.56166101001446","227.56166101001446","227.56166101001446","","","","","",""
"1643","","","","318.9204605740359","318.9204605740359","318.9204605740359","104.68184834636176","104.68184834636176","104.68184834636176"
"1681","318.35700639195636","318.35700639195636","318.35700639195636","","","","","",""
"1685","","","","314.6969093098978","314.6969093098978","314.6969093098978","193.17819523195428","193.17819523195428","193.17819523195428"
"1727","","","","406.8984509685067","406.8984509685067","406.8984509685067","195.96054945509516","195.96054945509516","195.96054945509516"
"1743","360.4485526186424","360.4485526186424","360.4485526186424","","","","","",""
"1769","","","","59.34071358959402","59.34071358959402","59.34071358959402","310.9491805105338","310.9491805105338","310.9491805105338"
"1805","275.11688583017906","275.11688583017906","275.11688583017906","","","","","",""
"1811","","","","318.259353404463","318.259353404463","318.259353404463","145.617306738453","145.617306738453","145.617306738453"
"1853","","","","404.7146827525552","404.7146827525552","404.7146827525552","105.32711993196503","105.32711993196503","105.32711993196503"
"1867","413.4816529670866","413.4816529670866","413.4816529670866","","","","","",""
"1895","","","","442.3375700675041","442.3375700675041","442.3375700675041","403.1004836213501","403.1004836213501","403.1004836213501"
"1929","445.2346849733608","445.2346849733608","445.2346849733608","","","","","",""
"1937","","","","191.06116792441216","191.06116792441216","191.06116792441216","19.26624118881349","19.26624118881349","19.26624118881349"
"1979","","","","193.4634963357385","193.4634963357385","193.4634963357385","274.26639259410746","274.26639259410746","274.26639259410746"
"1991","234.07474110759176","234.07474110759176","234.07474110759176","","","","","",""
"2021","","","","144.02648584565767","144.02648584565767","144.02648584565767","236.18814464354176","236.18814464354176","236.18814464354176"
"2053","277.4186543747877","277.4186543747877","277.4186543747877","","","","","",""
"2063","","","","321.6088605510446","321.6088605510446","321.6088605510446","227.16979286872652","227.16979286872652","227.16979286872652"
"2115","58.98104253902344","58.98104253902344","58.98104253902344","","","","","",""
"2177","413.27121391893917","413.27121391893917","413.27121391893917","","","","","",""
"2239","231.70232308897909","231.70232308897909","231.70232308897909","","","","","",""
"2301","276.45160490462195","276.45160490462195","276.45160490462195","","","","","",""
"2363","224.77698664252176","224.77698664252176","224.77698664252176","","","","","",""
"2425","191.29424976319245","191.29424976319245","191.29424976319245","","","","","",""
"2487","276.4460954440991","276.4460954440991","276.4460954440991","","","","","",""
"2549","144.08761103628595","144.08761103628595","144.08761103628595","","","","","",""
"2611","485.6663708212265","485.6663708212265","485.6663708212265","","","","","",""
"2673","402.59953097666977","402.59953097666977","402.59953097666977","","","","","",""
"2735","397.6423723890499","397.6423723890499","397.6423723890499","","","","","",""
"2797","400.2154548679283","400.2154548679283","400.2154548679283","","","","","",""
"2859","320.10980941237386","320.10980941237386","320.10980941237386","","","","","",""
"2921","275.85977693171094","275.85977693171094","275.85977693171094","","","","","",""
"2983","359.89077699825646","359.89077699825646","359.89077699825646","","","","","",""
"3045","271.375402496997","271.375402496997","271.375402496997","","","","","",""
