"Step","scarlet-wave-178 - test reward","scarlet-wave-178 - test reward__MIN","scarlet-wave-178 - test reward__MAX","dandy-dragon-214 - test reward","dandy-dragon-214 - test reward__MIN","dandy-dragon-214 - test reward__MAX"
"5","","","","17.62374854281258","17.62374854281258","17.62374854281258"
"6","18.524538682790507","18.524538682790507","18.524538682790507","","",""
"47","","","","22.935875729185458","22.935875729185458","22.935875729185458"
"49","18.775888537257167","18.775888537257167","18.775888537257167","","",""
"89","","","","13.105227288394719","13.105227288394719","13.105227288394719"
"92","17.27436870706373","17.27436870706373","17.27436870706373","","",""
"131","","","","21.229512681561133","21.229512681561133","21.229512681561133"
"135","19.758870313412384","19.758870313412384","19.758870313412384","","",""
"173","","","","22.057850381109855","22.057850381109855","22.057850381109855"
"178","19.37568132128239","19.37568132128239","19.37568132128239","","",""
"215","","","","15.980697102940104","15.980697102940104","15.980697102940104"
"221","19.795128653984815","19.795128653984815","19.795128653984815","","",""
"257","","","","21.218106531602572","21.218106531602572","21.218106531602572"
"264","22.96056608930522","22.96056608930522","22.96056608930522","","",""
"299","","","","17.47842806666697","17.47842806666697","17.47842806666697"
"307","18.37796151476109","18.37796151476109","18.37796151476109","","",""
"341","","","","33.50364400242951","33.50364400242951","33.50364400242951"
"350","16.9239258965758","16.9239258965758","16.9239258965758","","",""
"383","","","","23.13841675390615","23.13841675390615","23.13841675390615"
"393","18.306395204096596","18.306395204096596","18.306395204096596","","",""
"425","","","","23.728017634311918","23.728017634311918","23.728017634311918"
"436","100.42939090461648","100.42939090461648","100.42939090461648","","",""
"467","","","","21.157897503740035","21.157897503740035","21.157897503740035"
"479","19.640836935749203","19.640836935749203","19.640836935749203","","",""
"509","","","","35.76135032679944","35.76135032679944","35.76135032679944"
"522","88.1070413969115","88.1070413969115","88.1070413969115","","",""
"551","","","","63.19004645713519","63.19004645713519","63.19004645713519"
"565","95.90102071251185","95.90102071251185","95.90102071251185","","",""
"593","","","","22.401059031228662","22.401059031228662","22.401059031228662"
"608","59.67446686813012","59.67446686813012","59.67446686813012","","",""
"635","","","","65.87942256514734","65.87942256514734","65.87942256514734"
"651","132.45802146975106","132.45802146975106","132.45802146975106","","",""
"677","","","","93.19350989023772","93.19350989023772","93.19350989023772"
"694","23.12784737485707","23.12784737485707","23.12784737485707","","",""
"719","","","","104.4474725253062","104.4474725253062","104.4474725253062"
"737","61.1981101453239","61.1981101453239","61.1981101453239","","",""
"761","","","","60.45197929374312","60.45197929374312","60.45197929374312"
"780","21.491286983454877","21.491286983454877","21.491286983454877","","",""
"803","","","","106.7828190889953","106.7828190889953","106.7828190889953"
"823","16.368113983800786","16.368113983800786","16.368113983800786","","",""
"845","","","","233.46407383080563","233.46407383080563","233.46407383080563"
"866","65.73653816918542","65.73653816918542","65.73653816918542","","",""
"887","","","","144.7688940174826","144.7688940174826","144.7688940174826"
"909","58.798291751955944","58.798291751955944","58.798291751955944","","",""
"929","","","","264.9598226670062","264.9598226670062","264.9598226670062"
"952","144.76743840595537","144.76743840595537","144.76743840595537","","",""
"971","","","","186.1976763867044","186.1976763867044","186.1976763867044"
"995","236.41451891775858","236.41451891775858","236.41451891775858","","",""
"1013","","","","61.1323642433941","61.1323642433941","61.1323642433941"
"1038","110.41206430322225","110.41206430322225","110.41206430322225","","",""
"1055","","","","153.00849333610572","153.00849333610572","153.00849333610572"
"1081","103.22839998215163","103.22839998215163","103.22839998215163","","",""
"1097","","","","183.3026268298566","183.3026268298566","183.3026268298566"
"1124","66.72997946677059","66.72997946677059","66.72997946677059","","",""
"1139","","","","142.43417065222943","142.43417065222943","142.43417065222943"
"1167","143.80533781329288","143.80533781329288","143.80533781329288","","",""
"1181","","","","103.0954628106144","103.0954628106144","103.0954628106144"
"1210","145.61099320236707","145.61099320236707","145.61099320236707","","",""
"1223","","","","109.5500470680972","109.5500470680972","109.5500470680972"
"1253","17.949711668271142","17.949711668271142","17.949711668271142","","",""
"1265","","","","149.659086484518","149.659086484518","149.659086484518"
"1296","150.51289412819946","150.51289412819946","150.51289412819946","","",""
"1307","","","","188.49894188291952","188.49894188291952","188.49894188291952"
"1339","148.879176123525","148.879176123525","148.879176123525","","",""
"1349","","","","318.7438221053752","318.7438221053752","318.7438221053752"
"1382","146.2828059507191","146.2828059507191","146.2828059507191","","",""
"1391","","","","149.34974204901306","149.34974204901306","149.34974204901306"
"1425","64.57160825971677","64.57160825971677","64.57160825971677","","",""
"1433","","","","145.63228416550965","145.63228416550965","145.63228416550965"
"1468","147.13980036770516","147.13980036770516","147.13980036770516","","",""
"1475","","","","275.1773926992943","275.1773926992943","275.1773926992943"
"1517","","","","97.7843173390354","97.7843173390354","97.7843173390354"
"1559","","","","106.02891587318508","106.02891587318508","106.02891587318508"
"1601","","","","272.4049278083892","272.4049278083892","272.4049278083892"
"1643","","","","235.33226231898112","235.33226231898112","235.33226231898112"
"1685","","","","106.94078134345025","106.94078134345025","106.94078134345025"
"1727","","","","273.72687509633136","273.72687509633136","273.72687509633136"
"1769","","","","234.36742243498287","234.36742243498287","234.36742243498287"
"1811","","","","152.49139480653318","152.49139480653318","152.49139480653318"
"1853","","","","276.4165317401991","276.4165317401991","276.4165317401991"
"1895","","","","235.5448491090046","235.5448491090046","235.5448491090046"
"1937","","","","102.95572163228341","102.95572163228341","102.95572163228341"
"1979","","","","62.35573351540355","62.35573351540355","62.35573351540355"
"2021","","","","144.85155750832809","144.85155750832809","144.85155750832809"
"2063","","","","68.89139002210722","68.89139002210722","68.89139002210722"
