"Step","deep-snowflake-239 - test reward","deep-snowflake-239 - test reward__MIN","deep-snowflake-239 - test reward__MAX","prime-meadow-233 - test reward","prime-meadow-233 - test reward__MIN","prime-meadow-233 - test reward__MAX","graceful-dew-219 - test reward","graceful-dew-219 - test reward__MIN","graceful-dew-219 - test reward__MAX"
"2244","272.55701041075025","272.55701041075025","272.55701041075025","","","","","",""
"2306","408.4991442019944","408.4991442019944","408.4991442019944","","","","","",""
"2368","233.2318218926022","233.2318218926022","233.2318218926022","","","","","",""
"2430","230.85237973425689","230.85237973425689","230.85237973425689","","","","","",""
"2494","272.0716081505705","272.0716081505705","272.0716081505705","","","","","",""
"2556","275.49288841286415","275.49288841286415","275.49288841286415","","","","","",""
"2618","281.23670301354935","281.23670301354935","281.23670301354935","","","","","",""
"2680","276.0376214259421","276.0376214259421","276.0376214259421","","","","","",""
"2742","274.61355303023726","274.61355303023726","274.61355303023726","","","","","",""
"2804","234.82258529130587","234.82258529130587","234.82258529130587","","","","","",""
"2866","408.106612843196","408.106612843196","408.106612843196","","","","","",""
"2928","278.10826762042325","278.10826762042325","278.10826762042325","","","","","",""
"2990","285.17222654543656","285.17222654543656","285.17222654543656","","","","","",""
"3052","233.97492499387312","233.97492499387312","233.97492499387312","","","","","",""
