"Step","worldly-cherry-234 - test reward","worldly-cherry-234 - test reward__MIN","worldly-cherry-234 - test reward__MAX","honest-thunder-220 - test reward","honest-thunder-220 - test reward__MIN","honest-thunder-220 - test reward__MAX","rural-armadillo-241 - test reward","rural-armadillo-241 - test reward__MIN","rural-armadillo-241 - test reward__MAX","dulcet-dust-274 - test reward","dulcet-dust-274 - test reward__MIN","dulcet-dust-274 - test reward__MAX","fresh-capybara-275 - test reward","fresh-capybara-275 - test reward__MIN","fresh-capybara-275 - test reward__MAX"
"5","21.696552889185647","21.696552889185647","21.696552889185647","19.95771310888772","19.95771310888772","19.95771310888772","","","","","","","","",""
"7","","","","","","","16.34388121488302","16.34388121488302","16.34388121488302","","","","","",""
"8","","","","","","","","","","14.013593763449942","14.013593763449942","14.013593763449942","13.037036950498045","13.037036950498045","13.037036950498045"
"47","19.1595277044291","19.1595277044291","19.1595277044291","16.546870059711765","16.546870059711765","16.546870059711765","","","","","","","","",""
"69","","","","","","","14.283661552878389","14.283661552878389","14.283661552878389","","","","","",""
"70","","","","","","","","","","16.393109965421623","16.393109965421623","16.393109965421623","12.07626257305918","12.07626257305918","12.07626257305918"
"89","24.411287506009124","24.411287506009124","24.411287506009124","16.321975439554826","16.321975439554826","16.321975439554826","","","","","","","","",""
"131","17.343200940472006","17.343200940472006","17.343200940472006","26.032838410623896","26.032838410623896","26.032838410623896","56.94919907931556","56.94919907931556","56.94919907931556","","","","","",""
"132","","","","","","","","","","58.63780744538046","58.63780744538046","58.63780744538046","46.02077604503687","46.02077604503687","46.02077604503687"
"173","20.698138134409632","20.698138134409632","20.698138134409632","18.56262408507598","18.56262408507598","18.56262408507598","","","","","","","","",""
"193","","","","","","","230.17911571849973","230.17911571849973","230.17911571849973","","","","","",""
"194","","","","","","","","","","58.76558205815604","58.76558205815604","58.76558205815604","135.9053676353397","135.9053676353397","135.9053676353397"
"215","21.10695114667478","21.10695114667478","21.10695114667478","19.501335366857585","19.501335366857585","19.501335366857585","","","","","","","","",""
"255","","","","","","","146.03266481664372","146.03266481664372","146.03266481664372","","","","","",""
"256","","","","","","","","","","213.67628233208143","213.67628233208143","213.67628233208143","179.93696543560264","179.93696543560264","179.93696543560264"
"257","52.77932233334032","52.77932233334032","52.77932233334032","54.44210118734394","54.44210118734394","54.44210118734394","","","","","","","","",""
"299","19.889401308071537","19.889401308071537","19.889401308071537","50.927045618164414","50.927045618164414","50.927045618164414","","","","","","","","",""
