"Step","volcanic-hill-388 - test reward","volcanic-hill-388 - test reward__MIN","volcanic-hill-388 - test reward__MAX","splendid-smoke-203 - test reward","splendid-smoke-203 - test reward__MIN","splendid-smoke-203 - test reward__MAX","radiant-shape-385 - test reward","radiant-shape-385 - test reward__MIN","radiant-shape-385 - test reward__MAX","wobbly-surf-391 - test reward","wobbly-surf-391 - test reward__MIN","wobbly-surf-391 - test reward__MAX"
"930","","","","142.96029969245404","142.96029969245404","142.96029969245404","","","","","",""
"974","","","","188.11678513457164","188.11678513457164","188.11678513457164","","","","","",""
"1016","","","","227.63294509623242","227.63294509623242","227.63294509623242","","","","","",""
"1060","","","","62.45503737007412","62.45503737007412","62.45503737007412","","","","","",""
"1102","","","","188.31251997679493","188.31251997679493","188.31251997679493","","","","","",""
"1133","230.39270387983606","230.39270387983606","230.39270387983606","","","","182.56937200856822","182.56937200856822","182.56937200856822","228.67288420803771","228.67288420803771","228.67288420803771"
"1144","","","","100.96210841582527","100.96210841582527","100.96210841582527","","","","","",""
"1188","","","","102.13227551695807","102.13227551695807","102.13227551695807","","","","","",""
"1355","317.55144444589513","317.55144444589513","317.55144444589513","","","","60.74945335635162","60.74945335635162","60.74945335635162","271.7767389199688","271.7767389199688","271.7767389199688"
"1577","149.37954943712688","149.37954943712688","149.37954943712688","","","","194.1321113729779","194.1321113729779","194.1321113729779","276.7350162295054","276.7350162295054","276.7350162295054"
"1799","109.17840809648132","109.17840809648132","109.17840809648132","","","","192.62875687223908","192.62875687223908","192.62875687223908","188.1512353285904","188.1512353285904","188.1512353285904"
"2021","64.66541124317965","64.66541124317965","64.66541124317965","","","","188.89271326738586","188.89271326738586","188.89271326738586","234.56594243643252","234.56594243643252","234.56594243643252"
"2283","105.93966171836435","105.93966171836435","105.93966171836435","","","","276.8457822977053","276.8457822977053","276.8457822977053","231.9541433950405","231.9541433950405","231.9541433950405"
"2505","361.83432050537306","361.83432050537306","361.83432050537306","","","","187.84772390484687","187.84772390484687","187.84772390484687","271.3044130728988","271.3044130728988","271.3044130728988"
"2727","152.36006980091543","152.36006980091543","152.36006980091543","","","","277.5123002182154","277.5123002182154","277.5123002182154","","",""
"2949","149.29128117035967","149.29128117035967","149.29128117035967","","","","60.33603179738535","60.33603179738535","60.33603179738535","","",""
"3171","101.00103178191276","101.00103178191276","101.00103178191276","","","","276.4867498481923","276.4867498481923","276.4867498481923","","",""
"3393","192.5469671521227","192.5469671521227","192.5469671521227","","","","277.9302004799693","277.9302004799693","277.9302004799693","","",""
"3615","107.93551966511541","107.93551966511541","107.93551966511541","","","","193.10638597387373","193.10638597387373","193.10638597387373","","",""
"3837","147.17978227222946","147.17978227222946","147.17978227222946","","","","155.73513825753741","155.73513825753741","155.73513825753741","","",""
"4059","190.54006465837864","190.54006465837864","190.54006465837864","","","","237.98811133737362","237.98811133737362","237.98811133737362","","",""
"4281","150.71018415811835","150.71018415811835","150.71018415811835","","","","21.829462790481116","21.829462790481116","21.829462790481116","","",""
"4543","113.09321834663622","113.09321834663622","113.09321834663622","","","","147.50017805968537","147.50017805968537","147.50017805968537","","",""
"4765","237.35057435248436","237.35057435248436","237.35057435248436","","","","192.24499750479356","192.24499750479356","192.24499750479356","","",""
"4987","191.71574122815136","191.71574122815136","191.71574122815136","","","","281.43043647757406","281.43043647757406","281.43043647757406","","",""
"5209","193.46306316875751","193.46306316875751","193.46306316875751","","","","274.5833171849023","274.5833171849023","274.5833171849023","","",""
"5431","110.17179953433333","110.17179953433333","110.17179953433333","","","","61.435495308405976","61.435495308405976","61.435495308405976","","",""
"5653","187.41076483166623","187.41076483166623","187.41076483166623","","","","193.89222419869463","193.89222419869463","193.89222419869463","","",""
"5875","234.78107124145544","234.78107124145544","234.78107124145544","","","","150.48925945785885","150.48925945785885","150.48925945785885","","",""
"6097","234.04983501076558","234.04983501076558","234.04983501076558","","","","278.3959540033519","278.3959540033519","278.3959540033519","","",""
"6319","143.20775966749403","143.20775966749403","143.20775966749403","","","","62.63544885129835","62.63544885129835","62.63544885129835","","",""
"6541","190.44097113273045","190.44097113273045","190.44097113273045","","","","190.92354933894597","190.92354933894597","190.92354933894597","","",""
