"Step","misty-snowflake-387 - test reward","misty-snowflake-387 - test reward__MIN","misty-snowflake-387 - test reward__MAX","blooming-pyramid-390 - test reward","blooming-pyramid-390 - test reward__MIN","blooming-pyramid-390 - test reward__MAX"
"23","18.253127717546192","18.253127717546192","18.253127717546192","20.263562856557787","20.263562856557787","20.263562856557787"
"245","20.27528801857771","20.27528801857771","20.27528801857771","23.030907457983016","23.030907457983016","23.030907457983016"
"467","22.359355946145115","22.359355946145115","22.359355946145115","18.92344811814798","18.92344811814798","18.92344811814798"
"689","24.77048444732561","24.77048444732561","24.77048444732561","63.48937843783214","63.48937843783214","63.48937843783214"
"911","59.374450968889676","59.374450968889676","59.374450968889676","103.66236784413177","103.66236784413177","103.66236784413177"
"1133","153.24768844132274","153.24768844132274","153.24768844132274","102.68630189451287","102.68630189451287","102.68630189451287"
"1355","108.84570482115733","108.84570482115733","108.84570482115733","20.36953259452718","20.36953259452718","20.36953259452718"
"1577","101.7138044106144","101.7138044106144","101.7138044106144","20.926975155842957","20.926975155842957","20.926975155842957"
"1799","147.43633222279598","147.43633222279598","147.43633222279598","20.111050027721355","20.111050027721355","20.111050027721355"
"2021","145.14940485295122","145.14940485295122","145.14940485295122","104.86146792592535","104.86146792592535","104.86146792592535"
"2283","193.38551653757625","193.38551653757625","193.38551653757625","110.15018080407094","110.15018080407094","110.15018080407094"
"2505","62.21238797625995","62.21238797625995","62.21238797625995","105.0958172797576","105.0958172797576","105.0958172797576"
"2727","61.68035923003136","61.68035923003136","61.68035923003136","19.847670630661177","19.847670630661177","19.847670630661177"
"2949","23.242960048447856","23.242960048447856","23.242960048447856","197.33922469905048","197.33922469905048","197.33922469905048"
"3171","192.53000191059445","192.53000191059445","192.53000191059445","108.71575096969988","108.71575096969988","108.71575096969988"
"3393","101.93155763790213","101.93155763790213","101.93155763790213","59.69355019569731","59.69355019569731","59.69355019569731"
"3615","192.52491446760285","192.52491446760285","192.52491446760285","","",""
"3837","192.93792727191803","192.93792727191803","192.93792727191803","","",""
"4059","60.929994091064394","60.929994091064394","60.929994091064394","","",""
"4281","144.44014554367735","144.44014554367735","144.44014554367735","","",""
"4543","187.8633776153168","187.8633776153168","187.8633776153168","","",""
"4765","103.7155112319401","103.7155112319401","103.7155112319401","","",""
"4987","154.23281583989652","154.23281583989652","154.23281583989652","","",""
"5209","20.57486006341352","20.57486006341352","20.57486006341352","","",""
"5431","153.29104508198333","153.29104508198333","153.29104508198333","","",""
"5653","276.54238996937585","276.54238996937585","276.54238996937585","","",""
"5875","193.39973273752932","193.39973273752932","193.39973273752932","","",""
"6097","152.78558421227962","152.78558421227962","152.78558421227962","","",""
"6319","60.740688826884856","60.740688826884856","60.740688826884856","","",""
"6541","149.9883444223281","149.9883444223281","149.9883444223281","","",""
