"Step","lucky-breeze-189 - test reward","lucky-breeze-189 - test reward__MIN","lucky-breeze-189 - test reward__MAX"
"6","19.444809552949074","19.444809552949074","19.444809552949074"
"49","17.689504508773908","17.689504508773908","17.689504508773908"
"92","18.32400800914762","18.32400800914762","18.32400800914762"
"135","30.716301869362574","30.716301869362574","30.716301869362574"
"178","15.3242026739957","15.3242026739957","15.3242026739957"
"221","15.120231954175168","15.120231954175168","15.120231954175168"
"264","19.695994070648197","19.695994070648197","19.695994070648197"
"307","38.14629331423191","38.14629331423191","38.14629331423191"
"350","23.736102587034676","23.736102587034676","23.736102587034676"
"393","19.678754608334003","19.678754608334003","19.678754608334003"
"436","17.269619409534123","17.269619409534123","17.269619409534123"
"479","33.52417819095693","33.52417819095693","33.52417819095693"
"522","57.807821924042194","57.807821924042194","57.807821924042194"
"565","108.57699893035556","108.57699893035556","108.57699893035556"
"608","19.82514956549322","19.82514956549322","19.82514956549322"
"651","55.8348379111909","55.8348379111909","55.8348379111909"
"694","26.349157886403617","26.349157886403617","26.349157886403617"
"737","59.369304757242254","59.369304757242254","59.369304757242254"
"780","154.60845217675006","154.60845217675006","154.60845217675006"
"823","104.91397262263717","104.91397262263717","104.91397262263717"
"866","144.08062030218346","144.08062030218346","144.08062030218346"
"909","106.10827223105215","106.10827223105215","106.10827223105215"
"952","18.60697746124554","18.60697746124554","18.60697746124554"
"995","107.24124855998704","107.24124855998704","107.24124855998704"
"1038","108.77397848280785","108.77397848280785","108.77397848280785"
"1081","104.50459536555448","104.50459536555448","104.50459536555448"
"1124","151.1444573861043","151.1444573861043","151.1444573861043"
"1167","146.53900522124624","146.53900522124624","146.53900522124624"
"1210","101.67456095092783","101.67456095092783","101.67456095092783"
"1253","147.01689721663962","147.01689721663962","147.01689721663962"
"1296","97.2585582145053","97.2585582145053","97.2585582145053"
"1339","154.6792152495654","154.6792152495654","154.6792152495654"
"1382","111.0668335325212","111.0668335325212","111.0668335325212"
"1425","149.65235617340278","149.65235617340278","149.65235617340278"
"1468","235.35757521247655","235.35757521247655","235.35757521247655"
