"Step","valiant-paper-217 - test reward","valiant-paper-217 - test reward__MIN","valiant-paper-217 - test reward__MAX","young-forest-186 - test reward","young-forest-186 - test reward__MIN","young-forest-186 - test reward__MAX"
"5","16.012147256866093","16.012147256866093","16.012147256866093","","",""
"6","","","","20.519539259560354","20.519539259560354","20.519539259560354"
"47","21.585368183297827","21.585368183297827","21.585368183297827","","",""
"49","","","","19.528518877697223","19.528518877697223","19.528518877697223"
"89","17.38336868025172","17.38336868025172","17.38336868025172","","",""
"92","","","","18.20178067120372","18.20178067120372","18.20178067120372"
"131","18.381798578350658","18.381798578350658","18.381798578350658","","",""
"135","","","","19.570432657890102","19.570432657890102","19.570432657890102"
"173","17.30978675015019","17.30978675015019","17.30978675015019","","",""
"178","","","","25.70104102064647","25.70104102064647","25.70104102064647"
"215","19.40485438328966","19.40485438328966","19.40485438328966","","",""
"221","","","","17.16812388805327","17.16812388805327","17.16812388805327"
"257","25.942416476035504","25.942416476035504","25.942416476035504","","",""
"264","","","","44.22235867449672","44.22235867449672","44.22235867449672"
"299","20.565565377203082","20.565565377203082","20.565565377203082","","",""
"307","","","","23.57421429672388","23.57421429672388","23.57421429672388"
"341","73.23033600113499","73.23033600113499","73.23033600113499","","",""
"350","","","","62.37716346945609","62.37716346945609","62.37716346945609"
"383","93.01609754709571","93.01609754709571","93.01609754709571","","",""
"393","","","","57.02900647057811","57.02900647057811","57.02900647057811"
"425","17.253569832743786","17.253569832743786","17.253569832743786","","",""
"436","","","","104.07833516019892","104.07833516019892","104.07833516019892"
"467","146.30606748778268","146.30606748778268","146.30606748778268","","",""
"479","","","","60.11732256418594","60.11732256418594","60.11732256418594"
"509","62.53128276995544","62.53128276995544","62.53128276995544","","",""
"522","","","","146.23713698274184","146.23713698274184","146.23713698274184"
"551","58.41318145738544","58.41318145738544","58.41318145738544","","",""
"565","","","","141.89785588839828","141.89785588839828","141.89785588839828"
"593","100.89234789978164","100.89234789978164","100.89234789978164","","",""
"608","","","","145.0563356789028","145.0563356789028","145.0563356789028"
"635","107.84747909423102","107.84747909423102","107.84747909423102","","",""
"651","","","","70.37844318388241","70.37844318388241","70.37844318388241"
"677","142.32361926698934","142.32361926698934","142.32361926698934","","",""
"694","","","","107.08331001333538","107.08331001333538","107.08331001333538"
"719","60.649451908928555","60.649451908928555","60.649451908928555","","",""
"737","","","","147.66036761828082","147.66036761828082","147.66036761828082"
"761","189.62315354564518","189.62315354564518","189.62315354564518","","",""
"780","","","","229.20602980447364","229.20602980447364","229.20602980447364"
"803","59.9796651707873","59.9796651707873","59.9796651707873","","",""
"823","","","","108.75784694184756","108.75784694184756","108.75784694184756"
"845","230.8908144399199","230.8908144399199","230.8908144399199","","",""
"866","","","","150.01178412292683","150.01178412292683","150.01178412292683"
"887","138.07343482350748","138.07343482350748","138.07343482350748","","",""
"909","","","","64.99578782455735","64.99578782455735","64.99578782455735"
"929","103.23671246443163","103.23671246443163","103.23671246443163","","",""
"952","","","","18.048907905169266","18.048907905169266","18.048907905169266"
"971","59.49261697698855","59.49261697698855","59.49261697698855","","",""
"995","","","","108.9611946099509","108.9611946099509","108.9611946099509"
"1013","57.44664893915471","57.44664893915471","57.44664893915471","","",""
"1038","","","","195.22576152722598","195.22576152722598","195.22576152722598"
"1055","191.41417585536615","191.41417585536615","191.41417585536615","","",""
"1081","","","","147.07296465502475","147.07296465502475","147.07296465502475"
"1097","66.5941055976885","66.5941055976885","66.5941055976885","","",""
"1124","","","","151.06201747004081","151.06201747004081","151.06201747004081"
"1139","235.5319349404001","235.5319349404001","235.5319349404001","","",""
"1167","","","","147.52441485646165","147.52441485646165","147.52441485646165"
"1181","143.61545674716737","143.61545674716737","143.61545674716737","","",""
"1210","","","","190.99802369553666","190.99802369553666","190.99802369553666"
"1223","192.0334747155383","192.0334747155383","192.0334747155383","","",""
"1253","","","","149.15048284634872","149.15048284634872","149.15048284634872"
"1265","269.5772096872785","269.5772096872785","269.5772096872785","","",""
"1296","","","","151.7391317956372","151.7391317956372","151.7391317956372"
"1307","60.80962096970861","60.80962096970861","60.80962096970861","","",""
"1339","","","","104.37141129693205","104.37141129693205","104.37141129693205"
"1349","236.69841369657357","236.69841369657357","236.69841369657357","","",""
"1382","","","","274.4870931622882","274.4870931622882","274.4870931622882"
"1391","107.2192080777148","107.2192080777148","107.2192080777148","","",""
"1425","","","","106.85674128734937","106.85674128734937","106.85674128734937"
"1433","234.13993149352336","234.13993149352336","234.13993149352336","","",""
"1468","","","","18.857855344348202","18.857855344348202","18.857855344348202"
"1475","198.60489559236024","198.60489559236024","198.60489559236024","","",""
"1517","60.87488517787614","60.87488517787614","60.87488517787614","","",""
"1559","190.3877265512477","190.3877265512477","190.3877265512477","","",""
"1601","185.30334611238055","185.30334611238055","185.30334611238055","","",""
"1643","190.42996597567807","190.42996597567807","190.42996597567807","","",""
"1685","232.24467993703132","232.24467993703132","232.24467993703132","","",""
"1727","149.8939118356723","149.8939118356723","149.8939118356723","","",""
"1769","278.11546551509764","278.11546551509764","278.11546551509764","","",""
"1811","229.62066550272112","229.62066550272112","229.62066550272112","","",""
"1853","191.23569925654746","191.23569925654746","191.23569925654746","","",""
"1895","190.33004895018695","190.33004895018695","190.33004895018695","","",""
"1937","235.28417518778488","235.28417518778488","235.28417518778488","","",""
"1979","149.06734558183967","149.06734558183967","149.06734558183967","","",""
"2021","103.95171533855168","103.95171533855168","103.95171533855168","","",""
"2063","273.6092310434737","273.6092310434737","273.6092310434737","","",""
