"Step","radiant-moon-192 - test reward","radiant-moon-192 - test reward__MIN","radiant-moon-192 - test reward__MAX","frosty-tree-175 - test reward","frosty-tree-175 - test reward__MIN","frosty-tree-175 - test reward__MAX","glorious-frost-185 - test reward","glorious-frost-185 - test reward__MIN","glorious-frost-185 - test reward__MAX"
"1242","19.18894098702294","19.18894098702294","19.18894098702294","","","","","",""
"1257","","","","","","","24.754292155045498","24.754292155045498","24.754292155045498"
"1268","","","","24.030288816938434","24.030288816938434","24.030288816938434","","",""
"1286","21.070824635158957","21.070824635158957","21.070824635158957","","","","","",""
"1302","","","","","","","21.845034585854012","21.845034585854012","21.845034585854012"
"1313","","","","19.695183996061424","19.695183996061424","19.695183996061424","","",""
"1328","21.55402445627464","21.55402445627464","21.55402445627464","","","","","",""
"1347","","","","","","","20.755810714783156","20.755810714783156","20.755810714783156"
"1358","","","","23.130411843664266","23.130411843664266","23.130411843664266","","",""
"1370","19.01230904570894","19.01230904570894","19.01230904570894","","","","","",""
"1392","","","","","","","15.610407745177294","15.610407745177294","15.610407745177294"
"1403","","","","21.913639127801204","21.913639127801204","21.913639127801204","","",""
"1414","18.758337351447192","18.758337351447192","18.758337351447192","","","","","",""
"1437","","","","","","","17.042549824362425","17.042549824362425","17.042549824362425"
"1448","","","","15.095806830006898","15.095806830006898","15.095806830006898","","",""
"1456","20.087720972974285","20.087720972974285","20.087720972974285","","","","","",""
"1482","","","","","","","15.399824966516581","15.399824966516581","15.399824966516581"
"1493","","","","24.839594542933888","24.839594542933888","24.839594542933888","","",""
"1500","21.737909558581208","21.737909558581208","21.737909558581208","","","","","",""
"1527","","","","","","","21.860208994881816","21.860208994881816","21.860208994881816"
"1538","","","","13.562696419916936","13.562696419916936","13.562696419916936","","",""
"1542","18.237261443329295","18.237261443329295","18.237261443329295","","","","","",""
"1584","21.349838499707264","21.349838499707264","21.349838499707264","","","","","",""
"1628","20.735669488404973","20.735669488404973","20.735669488404973","","","","","",""
"1670","21.832472160294152","21.832472160294152","21.832472160294152","","","","","",""
"1714","22.041428418567655","22.041428418567655","22.041428418567655","","","","","",""
"1756","18.69698831883404","18.69698831883404","18.69698831883404","","","","","",""
"1798","17.67545339833284","17.67545339833284","17.67545339833284","","","","","",""
"1842","19.285958700171186","19.285958700171186","19.285958700171186","","","","","",""
"1884","18.194743908865977","18.194743908865977","18.194743908865977","","","","","",""
"1928","16.869981668979662","16.869981668979662","16.869981668979662","","","","","",""
"1970","24.055812344381327","24.055812344381327","24.055812344381327","","","","","",""
"2012","26.790061257507507","26.790061257507507","26.790061257507507","","","","","",""
"2056","21.643507078230986","21.643507078230986","21.643507078230986","","","","","",""
"2098","24.976464935480756","24.976464935480756","24.976464935480756","","","","","",""
