"Step","sunny-valley-620 - test reward","sunny-valley-620 - test reward__MIN","sunny-valley-620 - test reward__MAX","royal-moon-603 - test reward","royal-moon-603 - test reward__MIN","royal-moon-603 - test reward__MAX","sage-plasma-504 - test reward","sage-plasma-504 - test reward__MIN","sage-plasma-504 - test reward__MAX","sleek-frost-502 - test reward","sleek-frost-502 - test reward__MIN","sleek-frost-502 - test reward__MAX"
"124040","","","","","","","218.2222518892759","218.2222518892759","218.2222518892759","497.98434263400736","497.98434263400736","497.98434263400736"
"126925","196.20723998758947","196.20723998758947","196.20723998758947","106.6634906996799","106.6634906996799","106.6634906996799","","","","","",""
"129651","","","","","","","245.79197955470028","245.79197955470028","245.79197955470028","470.0594154078237","470.0594154078237","470.0594154078237"
"131141","409.98449339532687","409.98449339532687","409.98449339532687","125.02630511246193","125.02630511246193","125.02630511246193","","","","","",""
"135263","","","","","","","231.18274064437483","231.18274064437483","231.18274064437483","391.4879140527449","391.4879140527449","391.4879140527449"
"135357","482.27943683589353","482.27943683589353","482.27943683589353","75.41296951764966","75.41296951764966","75.41296951764966","","","","","",""
"139573","371.39003999273024","371.39003999273024","371.39003999273024","123.14633164640405","123.14633164640405","123.14633164640405","","","","","",""
"140879","","","","","","","90.45353656033197","90.45353656033197","90.45353656033197","455.8282263334077","455.8282263334077","455.8282263334077"
"143789","541.3562103933995","541.3562103933995","541.3562103933995","85.29375247072257","85.29375247072257","85.29375247072257","","","","","",""
"146491","","","","","","","130.56765910202813","130.56765910202813","130.56765910202813","378.3857403296478","378.3857403296478","378.3857403296478"
"148008","352.71353015279414","352.71353015279414","352.71353015279414","70.77257853191857","70.77257853191857","70.77257853191857","","","","","",""
"152103","","","","","","","141.78281793825738","141.78281793825738","141.78281793825738","497.8193261345108","497.8193261345108","497.8193261345108"
"152224","459.74412240728725","459.74412240728725","459.74412240728725","116.04158157956893","116.04158157956893","116.04158157956893","","","","","",""
"156440","324.1957165363019","324.1957165363019","324.1957165363019","36.5296033875492","36.5296033875492","36.5296033875492","","","","","",""
"157715","","","","","","","108.71729501839624","108.71729501839624","108.71729501839624","400.36022448460415","400.36022448460415","400.36022448460415"
"160656","383.21994575854313","383.21994575854313","383.21994575854313","126.62014507133736","126.62014507133736","126.62014507133736","","","","","",""
"163327","","","","","","","86.46685550239772","86.46685550239772","86.46685550239772","376.7450338002639","376.7450338002639","376.7450338002639"
"164872","367.87627967225365","367.87627967225365","367.87627967225365","112.66884273907066","112.66884273907066","112.66884273907066","","","","","",""
"168942","","","","","","","95.73184418740121","95.73184418740121","95.73184418740121","459.6057866584732","459.6057866584732","459.6057866584732"
"169092","408.7839011719087","408.7839011719087","408.7839011719087","-38.4899963766518","-38.4899963766518","-38.4899963766518","","","","","",""
"173308","174.43640082534753","174.43640082534753","174.43640082534753","-48.60590011812035","-48.60590011812035","-48.60590011812035","","","","","",""
"174554","","","","","","","120.14336178028968","120.14336178028968","120.14336178028968","376.31464740435325","376.31464740435325","376.31464740435325"
"177524","332.6109808779259","332.6109808779259","332.6109808779259","-55.49515299729175","-55.49515299729175","-55.49515299729175","","","","","",""
"180166","","","","","","","112.01704769499253","112.01704769499253","112.01704769499253","404.57450938615835","404.57450938615835","404.57450938615835"
"181740","438.33913486223753","438.33913486223753","438.33913486223753","-48.24247090556711","-48.24247090556711","-48.24247090556711","","","","","",""
"185778","","","","","","","77.18693171433533","77.18693171433533","77.18693171433533","428.8324529979776","428.8324529979776","428.8324529979776"
"185956","407.95058162829446","407.95058162829446","407.95058162829446","-67.02371473780077","-67.02371473780077","-67.02371473780077","","","","","",""
"190172","405.5963038771931","405.5963038771931","405.5963038771931","-47.51698272646237","-47.51698272646237","-47.51698272646237","","","","","",""
"191389","","","","","","","107.43164947598446","107.43164947598446","107.43164947598446","452.72538511829646","452.72538511829646","452.72538511829646"
"194388","434.80904014167146","434.80904014167146","434.80904014167146","-30.407220965857796","-30.407220965857796","-30.407220965857796","","","","","",""
"197005","","","","","","","-57.0404726282145","-57.0404726282145","-57.0404726282145","463.2107150238009","463.2107150238009","463.2107150238009"
"198604","","","","-53.55050026585029","-53.55050026585029","-53.55050026585029","","","","","",""
"202617","","","","","","","-58.84549084412908","-58.84549084412908","-58.84549084412908","275.3078294672515","275.3078294672515","275.3078294672515"
"202820","","","","-41.33328459747688","-41.33328459747688","-41.33328459747688","","","","","",""
"207036","","","","-47.95310989341764","-47.95310989341764","-47.95310989341764","","","","","",""
"208229","","","","","","","-44.021481555421374","-44.021481555421374","-44.021481555421374","453.1147352843231","453.1147352843231","453.1147352843231"
"211254","","","","-249.50705441075493","-249.50705441075493","-249.50705441075493","","","","","",""
"213841","","","","","","","-51.92375089296883","-51.92375089296883","-51.92375089296883","398.3037940356308","398.3037940356308","398.3037940356308"
"215470","","","","-212.3032760978138","-212.3032760978138","-212.3032760978138","","","","","",""
"219453","","","","","","","-48.48415775130169","-48.48415775130169","-48.48415775130169","301.32262808694543","301.32262808694543","301.32262808694543"
"219686","","","","-251.89729733794795","-251.89729733794795","-251.89729733794795","","","","","",""
"223902","","","","-162.32677432301372","-162.32677432301372","-162.32677432301372","","","","","",""
"225068","","","","","","","-44.92588850047988","-44.92588850047988","-44.92588850047988","357.2177724246211","357.2177724246211","357.2177724246211"
"228118","","","","-216.5847715693062","-216.5847715693062","-216.5847715693062","","","","","",""
"230680","","","","","","","-45.55574492957008","-45.55574492957008","-45.55574492957008","299.0295949828332","299.0295949828332","299.0295949828332"
"232336","","","","-265.3163089267964","-265.3163089267964","-265.3163089267964","","","","","",""
"236292","","","","","","","-60.682275952132805","-60.682275952132805","-60.682275952132805","559.6687171476084","559.6687171476084","559.6687171476084"
"236552","","","","-248.88535947579834","-248.88535947579834","-248.88535947579834","","","","","",""
"240768","","","","-217.33003805560128","-217.33003805560128","-217.33003805560128","","","","","",""
"241904","","","","","","","-66.39141517051026","-66.39141517051026","-66.39141517051026","304.5850551409743","304.5850551409743","304.5850551409743"
"244984","","","","-257.46668744266526","-257.46668744266526","-257.46668744266526","","","","","",""
"247516","","","","","","","-44.75561547701348","-44.75561547701348","-44.75561547701348","457.97609911174794","457.97609911174794","457.97609911174794"
"249200","","","","-217.41114605747728","-217.41114605747728","-217.41114605747728","","","","","",""
"253131","","","","","","","-163.82140652893517","-163.82140652893517","-163.82140652893517","386.95603615077187","386.95603615077187","386.95603615077187"
"253418","","","","-206.81800580631563","-206.81800580631563","-206.81800580631563","","","","","",""
"257634","","","","-218.9477521632042","-218.9477521632042","-218.9477521632042","","","","","",""
"258743","","","","","","","-195.69242985022558","-195.69242985022558","-195.69242985022558","324.32610221341446","324.32610221341446","324.32610221341446"
"261850","","","","-225.03156099248335","-225.03156099248335","-225.03156099248335","","","","","",""
"264355","","","","","","","","","","449.2890286013469","449.2890286013469","449.2890286013469"
"266066","","","","-273.4855796685924","-273.4855796685924","-273.4855796685924","","","","","",""
"269967","","","","","","","","","","364.27429881002223","364.27429881002223","364.27429881002223"
"270282","","","","-280.9691793475232","-280.9691793475232","-280.9691793475232","","","","","",""
"274500","","","","-169.9850779215548","-169.9850779215548","-169.9850779215548","","","","","",""
"275579","","","","","","","","","","397.3975301088504","397.3975301088504","397.3975301088504"
"278716","","","","-214.80941517404827","-214.80941517404827","-214.80941517404827","","","","","",""
"281194","","","","","","","","","","327.8617700926209","327.8617700926209","327.8617700926209"
"282932","","","","-221.59278905378827","-221.59278905378827","-221.59278905378827","","","","","",""
"286806","","","","","","","","","","402.23926231335605","402.23926231335605","402.23926231335605"
"287148","","","","-234.6422301691111","-234.6422301691111","-234.6422301691111","","","","","",""
"291364","","","","-252.53508813052767","-252.53508813052767","-252.53508813052767","","","","","",""
"292418","","","","","","","","","","302.2336451881703","302.2336451881703","302.2336451881703"
"298030","","","","","","","","","","327.6019318107661","327.6019318107661","327.6019318107661"
"303642","","","","","","","","","","384.3681555526502","384.3681555526502","384.3681555526502"
"309258","","","","","","","","","","261.78475408634966","261.78475408634966","261.78475408634966"
"314869","","","","","","","","","","332.0972633803988","332.0972633803988","332.0972633803988"
"320481","","","","","","","","","","354.9403786247973","354.9403786247973","354.9403786247973"
"326093","","","","","","","","","","368.6349739959258","368.6349739959258","368.6349739959258"
"331705","","","","","","","","","","354.21998022216906","354.21998022216906","354.21998022216906"
"337320","","","","","","","","","","292.0854237528266","292.0854237528266","292.0854237528266"
"342932","","","","","","","","","","314.81833593349705","314.81833593349705","314.81833593349705"
"348544","","","","","","","","","","367.726973198115","367.726973198115","367.726973198115"
"354156","","","","","","","","","","381.58569184918554","381.58569184918554","381.58569184918554"
"359768","","","","","","","","","","435.9185305094553","435.9185305094553","435.9185305094553"
"365384","","","","","","","","","","210.86269871802017","210.86269871802017","210.86269871802017"
"370996","","","","","","","","","","309.4376659371409","309.4376659371409","309.4376659371409"
"376607","","","","","","","","","","321.5274790339351","321.5274790339351","321.5274790339351"
"382219","","","","","","","","","","301.5452067116281","301.5452067116281","301.5452067116281"
"387831","","","","","","","","","","310.7199805678829","310.7199805678829","310.7199805678829"
"393446","","","","","","","","","","338.8271526339141","338.8271526339141","338.8271526339141"
"399058","","","","","","","","","","288.66536095592767","288.66536095592767","288.66536095592767"
"404670","","","","","","","","","","285.1755748652928","285.1755748652928","285.1755748652928"
"410282","","","","","","","","","","278.7538699374738","278.7538699374738","278.7538699374738"
"415894","","","","","","","","","","127.37466842368868","127.37466842368868","127.37466842368868"
"421510","","","","","","","","","","169.2026012433162","169.2026012433162","169.2026012433162"
"427122","","","","","","","","","","265.7369634673212","265.7369634673212","265.7369634673212"
"432734","","","","","","","","","","123.63108286450004","123.63108286450004","123.63108286450004"
"438345","","","","","","","","","","238.4336495162684","238.4336495162684","238.4336495162684"
"443957","","","","","","","","","","224.81668091830565","224.81668091830565","224.81668091830565"
"449572","","","","","","","","","","173.64498822784694","173.64498822784694","173.64498822784694"
"455184","","","","","","","","","","159.87109621665644","159.87109621665644","159.87109621665644"
"460796","","","","","","","","","","135.77106127448076","135.77106127448076","135.77106127448076"
"466408","","","","","","","","","","102.08031966223523","102.08031966223523","102.08031966223523"
"472020","","","","","","","","","","227.87894182119854","227.87894182119854","227.87894182119854"
"477636","","","","","","","","","","53.40667839438652","53.40667839438652","53.40667839438652"
"483248","","","","","","","","","","163.8273000706042","163.8273000706042","163.8273000706042"
"488860","","","","","","","","","","96.67343271026594","96.67343271026594","96.67343271026594"
"494472","","","","","","","","","","132.49438786662816","132.49438786662816","132.49438786662816"
"500083","","","","","","","","","","104.370744294299","104.370744294299","104.370744294299"
"505698","","","","","","","","","","83.93469323584881","83.93469323584881","83.93469323584881"
"511310","","","","","","","","","","162.14049428070993","162.14049428070993","162.14049428070993"
"516922","","","","","","","","","","115.46595054444126","115.46595054444126","115.46595054444126"
"522534","","","","","","","","","","120.88892886214491","120.88892886214491","120.88892886214491"
"528146","","","","","","","","","","152.59629241638098","152.59629241638098","152.59629241638098"
"533762","","","","","","","","","","-20.42280243721986","-20.42280243721986","-20.42280243721986"
"539374","","","","","","","","","","-14.645691871406216","-14.645691871406216","-14.645691871406216"
"544986","","","","","","","","","","24.326187782804364","24.326187782804364","24.326187782804364"
"550598","","","","","","","","","","5.117977653514958","5.117977653514958","5.117977653514958"
"556210","","","","","","","","","","2.485022756761033","2.485022756761033","2.485022756761033"
"561824","","","","","","","","","","-2.2885131762067688","-2.2885131762067688","-2.2885131762067688"
"567436","","","","","","","","","","0.997205935960017","0.997205935960017","0.997205935960017"
"573048","","","","","","","","","","-15.87219748912756","-15.87219748912756","-15.87219748912756"
"578660","","","","","","","","","","18.036649340469296","18.036649340469296","18.036649340469296"
"584272","","","","","","","","","","-5.839692805820177","-5.839692805820177","-5.839692805820177"
"589888","","","","","","","","","","-159.16088519801093","-159.16088519801093","-159.16088519801093"
"595500","","","","","","","","","","-155.03806157204866","-155.03806157204866","-155.03806157204866"
"601112","","","","","","","","","","-133.11573470218548","-133.11573470218548","-133.11573470218548"
"606724","","","","","","","","","","-177.7230030196026","-177.7230030196026","-177.7230030196026"
"612336","","","","","","","","","","-165.1128484720463","-165.1128484720463","-165.1128484720463"
"617951","","","","","","","","","","-138.73788845212928","-138.73788845212928","-138.73788845212928"
"623562","","","","","","","","","","-158.41942636006763","-158.41942636006763","-158.41942636006763"
"629174","","","","","","","","","","-149.92117913579966","-149.92117913579966","-149.92117913579966"
"634786","","","","","","","","","","-144.0685188496128","-144.0685188496128","-144.0685188496128"
"640398","","","","","","","","","","-164.67508689020025","-164.67508689020025","-164.67508689020025"
"646014","","","","","","","","","","-270.510114553262","-270.510114553262","-270.510114553262"
"651626","","","","","","","","","","-252.98542778166782","-252.98542778166782","-252.98542778166782"
"657238","","","","","","","","","","-297.9960184003017","-297.9960184003017","-297.9960184003017"
"662850","","","","","","","","","","-299.76904700517247","-299.76904700517247","-299.76904700517247"
"668462","","","","","","","","","","-257.16723846119044","-257.16723846119044","-257.16723846119044"
"674077","","","","","","","","","","-334.9774602999805","-334.9774602999805","-334.9774602999805"
"679689","","","","","","","","","","-292.74731597446794","-292.74731597446794","-292.74731597446794"
"685300","","","","","","","","","","-358.0811002137191","-358.0811002137191","-358.0811002137191"
"690912","","","","","","","","","","-246.06436520125","-246.06436520125","-246.06436520125"
"696524","","","","","","","","","","-262.6481940659409","-262.6481940659409","-262.6481940659409"
"702140","","","","","","","","","","-281.22934254233104","-281.22934254233104","-281.22934254233104"
"707752","","","","","","","","","","-274.31679243663064","-274.31679243663064","-274.31679243663064"
"713364","","","","","","","","","","-268.3769176404753","-268.3769176404753","-268.3769176404753"
"718976","","","","","","","","","","-263.38492340439984","-263.38492340439984","-263.38492340439984"
"724588","","","","","","","","","","-276.17967350948334","-276.17967350948334","-276.17967350948334"
"730203","","","","","","","","","","-232.71782275048116","-232.71782275048116","-232.71782275048116"
"735815","","","","","","","","","","-260.0060956606822","-260.0060956606822","-260.0060956606822"
