id,name,project,state,url,created_at,metric.test reward,metric.test len,test reward history,test len history,config.Slope,config.Schedule,config.hidden_sizes
5nctc70m,lucky-galaxy-141,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/5nctc70m,2024-10-12T17:13:11Z,-417.70186100245337,278.2,"0      15.662246
1      20.163620
2      15.385393
3      16.973258
4      10.392162
5      11.147726
6      50.991415
7      46.529992
8     110.894415
9     244.225952
10     93.894398
11     88.477790
12    199.929918
13     56.715402
14     18.837124
15    -72.743634
16    -72.166779
17    -54.762821
18   -106.458532
19   -117.359661
20   -169.387927
21   -222.878369
22   -184.566283
23   -219.118018
24   -296.650810
25   -392.050999
26   -250.827964
27   -292.249563
28   -408.876498
29   -466.879770
30   -510.671049
31   -397.151945
32   -482.745662
33   -386.855761
34   -417.701861
Name: test reward, dtype: float64","0      35.20
1      35.60
2      36.55
3      44.30
4      31.65
5      40.55
6      91.45
7      87.60
8     182.25
9     377.00
10    226.10
11    231.10
12    422.85
13    279.75
14    228.90
15    136.35
16    187.95
17    334.20
18    180.30
19    182.50
20    134.55
21    281.10
22    138.10
23    133.40
24    277.90
25    238.80
26    133.05
27    129.75
28    190.50
29    234.85
30    327.15
31    229.70
32    337.60
33    278.10
34    278.20
Name: test len, dtype: float64",25.0,True,
vso65kjd,dainty-bee-145,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/vso65kjd,2024-10-12T18:24:52Z,-350.1141677160095,133.65,"0      15.518590
1      18.891474
2      12.909025
3      15.721906
4      40.869568
5      10.437118
6      13.881954
7     122.790828
8       3.200938
9      -5.221711
10    -19.068231
11    123.491619
12    103.056733
13     85.198446
14     37.782673
15     59.989974
16    -20.389162
17    -55.228804
18   -141.652298
19   -153.785534
20   -178.319078
21   -216.343394
22   -223.910929
23   -233.087443
24   -212.859712
25   -327.433388
26   -321.181632
27   -373.920981
28   -315.618234
29   -346.064923
30   -459.819173
31   -366.080442
32   -437.047587
33   -350.801441
34   -350.114168
Name: test reward, dtype: float64","0      38.15
1      39.15
2      31.50
3      35.45
4      69.10
5      35.75
6      42.60
7     175.00
8      46.65
9      36.40
10     35.00
11    229.95
12    226.20
13    278.90
14    181.75
15    380.95
16    178.20
17    276.85
18    236.60
19    187.50
20    129.90
21    227.80
22    232.00
23    232.15
24    187.20
25    278.50
26    180.65
27    284.50
28    272.30
29    228.55
30    244.30
31    228.75
32    374.35
33    181.65
34    133.65
Name: test len, dtype: float64",25.0,False,
6porz8x2,clear-meadow-179,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/6porz8x2,2024-10-13T18:27:42Z,21.90385616166263,38.65,"0     15.996974
1     17.592411
2     21.030806
3     16.928445
4     17.293967
5     19.628023
6     22.613497
7     19.945190
8     21.714827
9     16.410826
10    21.309867
11    18.925270
12    22.090814
13    17.121970
14    16.479699
15    17.028142
16    14.360253
17    20.777103
18    17.121978
19    17.695689
20    19.242679
21    19.087831
22    21.428169
23    18.856784
24    21.319812
25    18.357975
26    22.762444
27    18.825000
28    16.702617
29    19.431142
30    21.532193
31    18.580134
32    19.627608
33    23.842806
34    21.903856
Name: test reward, dtype: float64","0     33.70
1     33.20
2     35.70
3     32.40
4     34.10
5     33.65
6     42.25
7     35.30
8     38.35
9     34.10
10    35.85
11    36.15
12    35.25
13    33.40
14    33.80
15    34.90
16    31.20
17    39.35
18    33.70
19    38.85
20    36.75
21    35.40
22    40.40
23    38.65
24    41.35
25    36.30
26    40.85
27    35.05
28    35.80
29    36.80
30    42.40
31    40.05
32    41.15
33    44.85
34    38.65
Name: test len, dtype: float64",25.0,False,"[16, 16]"
dz3qko1x,helpful-wildflower-180,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/dz3qko1x,2024-10-13T18:33:44Z,63.82452157146211,92.75,"0      21.182287
1      18.484019
2      18.753878
3      18.947560
4      15.444454
5      18.520585
6      22.861758
7      17.182905
8      16.339295
9      28.896200
10     28.187339
11     15.069599
12     29.328412
13     20.289904
14     18.023430
15     21.054663
16     19.411297
17     18.813225
18     54.281394
19    175.862099
20     57.731045
21    102.403687
22    102.915084
23    143.472854
24    110.251452
25     21.974690
26    105.595491
27    107.482680
28    196.898031
29    108.596069
30    110.372470
31    103.985549
32    149.670553
33     18.363299
34     63.824522
Name: test reward, dtype: float64","0      36.85
1      33.45
2      38.45
3      39.30
4      31.15
5      35.65
6      45.30
7      33.90
8      32.95
9      47.60
10     49.80
11     34.35
12     53.35
13     39.80
14     39.10
15     41.00
16     35.85
17     38.00
18     80.95
19    231.15
20     83.40
21    136.00
22    138.75
23    179.10
24    138.50
25     41.60
26    132.85
27    135.75
28    240.25
29    139.70
30    139.50
31    132.05
32    182.95
33     37.65
34     92.75
Name: test len, dtype: float64",25.0,False,"[32, 32]"
a2yo01g8,prime-river-181,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/a2yo01g8,2024-10-13T18:38:08Z,148.0288132106976,183.15,"0      20.919077
1      22.424709
2      22.841591
3      29.143461
4      18.124806
5      20.418208
6      25.383715
7      15.354370
8      63.233129
9      58.966316
10    106.146601
11    146.516301
12    192.498566
13    189.376881
14     60.188201
15    277.018799
16     97.608326
17     15.533836
18    191.067561
19    103.444478
20     58.620995
21    190.831697
22    108.901391
23    234.851014
24    238.964268
25    109.064684
26     60.311142
27    104.302987
28     99.318996
29    231.344789
30    238.515610
31    235.627067
32    146.131793
33    147.569196
34    148.028813
Name: test reward, dtype: float64","0      36.05
1      40.30
2      41.05
3      47.85
4      34.35
5      39.75
6      46.45
7      35.85
8      85.30
9      80.75
10    140.00
11    184.20
12    232.65
13    230.45
14     84.35
15    329.70
16    128.75
17     33.30
18    231.20
19    132.75
20     82.05
21    227.85
22    135.55
23    278.10
24    281.15
25    139.85
26     86.70
27    132.15
28    129.65
29    278.60
30    281.50
31    281.75
32    181.10
33    181.70
34    183.15
Name: test len, dtype: float64",25.0,False,"[64, 64]"
c77xktvz,still-elevator-215,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/c77xktvz,2024-10-14T09:24:35Z,63.66319199006357,91.45,"0      18.642393
1      16.232575
2      16.793794
3      20.500585
4      18.929983
5      12.790864
6      18.118205
7      13.281899
8      52.239695
9      14.841077
10     58.658992
11     61.933982
12     61.161266
13    103.698185
14    187.419218
15    191.415522
16     97.812613
17    230.856582
18    186.975363
19     56.875078
20     64.993790
21    104.105120
22    145.507973
23    152.204373
24    144.922278
25    105.008821
26    144.542274
27    109.906128
28    192.265619
29    150.513690
30    105.579843
31    232.845717
32     64.553817
33    104.086623
34    149.822335
35    150.054225
36    148.228957
37    155.816647
38     60.363362
39    145.266852
40    146.792793
41    101.365406
42    103.780336
43    108.249027
44     18.598412
45    405.179536
46    100.796572
47    235.248314
48    190.425356
49     63.663192
Name: test reward, dtype: float64","0      34.25
1      34.30
2      34.60
3      35.80
4      37.90
5      29.15
6      33.15
7      30.85
8      79.85
9      30.45
10     80.80
11     86.20
12     87.45
13    130.75
14    229.70
15    228.70
16    128.45
17    275.80
18    233.10
19     78.80
20     92.40
21    135.30
22    183.30
23    193.35
24    176.55
25    135.75
26    177.80
27    144.90
28    230.50
29    185.80
30    137.75
31    281.65
32     90.40
33    136.05
34    192.15
35    186.00
36    186.90
37    193.15
38     85.20
39    182.35
40    180.80
41    130.90
42    134.40
43    140.55
44     38.85
45    473.25
46    131.10
47    283.05
48    228.45
49     91.45
Name: test len, dtype: float64",25.0,False,"[64, 64]"
kcw9ujut,classic-waterfall-216,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/kcw9ujut,2024-10-14T09:26:57Z,408.3644031537884,478.4,"0      17.091961
1      20.716708
2     101.917633
3     101.948622
4     104.752486
5     189.680134
6     409.048963
7     363.158501
8     313.456538
9     322.494536
10    145.888831
11    189.118553
12    234.380890
13    225.959470
14    319.807961
15    276.088163
16    146.787428
17    228.679237
18    235.173390
19    449.646094
20    101.805440
21    233.860252
22    184.564172
23    271.511179
24    231.529252
25    353.583816
26    232.425973
27    232.172994
28    235.949108
29    357.464822
30    229.704659
31    228.153491
32    236.234830
33    230.246822
34    231.223242
35    189.522080
36    184.929241
37    368.999309
38    147.059408
39    232.927784
40    279.387903
41    229.807591
42    316.998594
43    186.236160
44    318.289249
45    361.210434
46    310.932666
47    233.227519
48    232.281713
49    408.364403
Name: test reward, dtype: float64","0      33.55
1      40.90
2     131.55
3     132.40
4     132.10
5     228.45
6     473.70
7     426.70
8     378.00
9     382.55
10    181.45
11    230.30
12    284.30
13    273.05
14    372.10
15    329.75
16    177.85
17    276.50
18    283.60
19    522.50
20    132.25
21    277.85
22    226.05
23    320.45
24    274.05
25    425.05
26    278.20
27    277.20
28    285.40
29    420.75
30    275.45
31    285.75
32    278.75
33    273.30
34    281.30
35    227.20
36    224.00
37    426.55
38    184.85
39    278.45
40    332.65
41    280.30
42    377.00
43    225.80
44    376.40
45    426.20
46    371.70
47    275.50
48    280.05
49    478.40
Name: test len, dtype: float64",25.0,False,"[128, 128]"
tnd6vj46,royal-disco-223,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/tnd6vj46,2024-10-14T12:06:36Z,227.16979286872652,276.85,"0      22.257007
1      19.356626
2      20.820793
3      16.116308
4      27.427127
5      14.353581
6      30.640414
7     146.407664
8     143.336453
9     186.735008
10    155.281538
11    140.307489
12    148.289116
13     60.367353
14     19.195679
15    188.670062
16    190.984525
17    100.842119
18    106.306858
19    152.043300
20     20.295117
21    233.760623
22    192.086465
23    189.052082
24    193.239858
25    145.338530
26    188.260011
27    400.250627
28    315.676501
29     97.074021
30    229.594843
31    186.560955
32    187.491020
33    232.010087
34     60.315177
35    146.754195
36    277.458074
37    189.552862
38    279.706207
39    104.681848
40    193.178195
41    195.960549
42    310.949181
43    145.617307
44    105.327120
45    403.100484
46     19.266241
47    274.266393
48    236.188145
49    227.169793
Name: test reward, dtype: float64","0      35.00
1      34.60
2      37.35
3      35.60
4      49.30
5      30.80
6      54.15
7     177.65
8     179.20
9     230.00
10    199.60
11    172.75
12    185.40
13     83.00
14     39.05
15    226.75
16    227.20
17    132.15
18    138.75
19    191.40
20     41.60
21    283.25
22    232.95
23    227.95
24    234.40
25    180.55
26    227.70
27    465.95
28    372.25
29    122.55
30    278.45
31    227.60
32    227.45
33    272.40
34     87.10
35    182.60
36    329.20
37    235.50
38    329.60
39    132.95
40    231.55
41    237.75
42    370.20
43    182.05
44    138.30
45    469.40
46     38.25
47    324.60
48    280.60
49    276.85
Name: test len, dtype: float64",25.0,False,"[128, 128]"
1q73jgz7,still-dream-230,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/1q73jgz7,2024-10-14T18:08:38Z,275.3278785978469,326.75,"0      20.237428
1      40.072414
2     148.577185
3     185.495246
4     273.175054
5     317.703814
6     281.378170
7     318.634670
8     320.483723
9     276.878166
10    359.646638
11    100.604534
12    229.446607
13    316.817855
14    449.425271
15    364.169966
16    319.510436
17    364.793740
18    442.732353
19    451.592909
20    314.689072
21    232.883979
22    363.275283
23    239.819226
24    451.324555
25    356.172438
26    191.147558
27    363.425424
28    363.906596
29    401.540519
30    192.469993
31    318.214643
32    275.043493
33    361.092499
34    274.066885
35    317.322995
36    283.572530
37    104.346818
38    317.566710
39    232.079111
40    270.319487
41    195.690457
42    272.529234
43    277.741012
44    323.873120
45    403.603999
46    276.044059
47    235.565177
48    232.074184
49    275.327879
Name: test reward, dtype: float64","0      37.70
1      68.10
2     180.75
3     234.75
4     324.55
5     374.65
6     335.00
7     374.75
8     378.45
9     324.45
10    424.25
11    128.85
12    279.05
13    376.20
14    519.75
15    426.35
16    374.95
17    423.75
18    514.75
19    526.10
20    374.90
21    274.25
22    421.30
23    283.55
24    522.50
25    416.90
26    230.45
27    426.65
28    425.95
29    469.85
30    236.85
31    374.95
32    325.15
33    420.90
34    326.70
35    375.30
36    338.40
37    133.95
38    377.50
39    274.45
40    323.00
41    242.95
42    329.00
43    329.20
44    385.55
45    469.55
46    327.95
47    282.60
48    277.65
49    326.75
Name: test len, dtype: float64",25.0,False,"[256, 128]"
dvz670jd,revived-dawn-237,l2f_bc,finished,https://wandb.ai/korneelvandenberghe/l2f_bc/runs/dvz670jd,2024-10-14T21:28:19Z,321.6088605510446,377.7,"0      20.155636
1      19.262043
2      21.661059
3      17.787037
4      26.160260
5      16.703060
6     103.335274
7     100.888857
8     229.443947
9      58.894556
10    316.393851
11    226.451953
12    191.285906
13    185.043860
14    187.184968
15    191.974652
16    359.517424
17    195.880551
18    237.119832
19    275.332471
20    149.739604
21    234.069878
22    364.230989
23    236.018544
24    190.303963
25    186.536462
26     64.216854
27    145.354313
28    275.224188
29    402.113388
30    101.842261
31    318.802454
32    232.518633
33    226.396256
34    322.165257
35    276.368504
36    401.261192
37    188.905003
38    532.701910
39    318.920461
40    314.696909
41    406.898451
42     59.340714
43    318.259353
44    404.714683
45    442.337570
46    191.061168
47    193.463496
48    144.026486
49    321.608861
Name: test reward, dtype: float64","0      37.65
1      38.00
2      37.30
3      39.15
4      47.00
5      36.45
6     131.25
7     125.25
8     278.35
9      83.85
10    370.55
11    277.45
12    236.30
13    232.45
14    226.55
15    234.60
16    421.90
17    239.45
18    280.85
19    321.10
20    186.75
21    277.10
22    420.95
23    279.55
24    234.80
25    229.00
26     87.95
27    183.20
28    326.05
29    469.45
30    132.95
31    376.50
32    279.65
33    277.05
34    379.00
35    325.85
36    467.50
37    229.25
38    613.30
39    373.45
40    373.55
41    474.90
42     83.00
43    371.25
44    474.50
45    514.20
46    233.10
47    238.00
48    184.45
49    377.70
Name: test len, dtype: float64",25.0,False,"[128, 128]"
