"epoch","Schedule: true - _step","Schedule: true - _step__MIN","Schedule: true - _step__MAX","Schedule: true - test reward","Schedule: true - test reward__MIN","Schedule: true - test reward__MAX","Schedule: false - _step","Schedule: false - _step__MIN","Schedule: false - _step__MAX","Schedule: false - test reward","Schedule: false - test reward__MIN","Schedule: false - test reward__MAX","Schedule: interval - _step","Schedule: interval - _step__MIN","Schedule: interval - _step__MAX","Schedule: interval - test reward","Schedule: interval - test reward__MIN","Schedule: interval - test reward__MAX","Schedule: adaptive - _step","Schedule: adaptive - _step__MIN","Schedule: adaptive - _step__MAX","Schedule: adaptive - test reward","Schedule: adaptive - test reward__MIN","Schedule: adaptive - test reward__MAX"
"100","1540.2","426","2283","173.25434302353386","57.47587711008714","326.7163300027736","1233","425","2243","234.21245991819376","59.01403411465575","532.6221015430746","123","123","123","174.54245570503682","174.54245570503682","174.54245570503682","172","172","172","235.9080875769482","204.66274628306311","267.085284454747"
"110","1690.2","468","2505","238.086397167145","58.35546364059731","402.8377488221493","1355","467","2465","226.72022088661612","58.695445356320235","318.80505351177214","136","136","136","82.52533292268201","82.52533292268201","82.52533292268201","189","189","189","202.4545544978117","167.73999643408297","268.02083176201177"
"120","1840.2","510","2727","256.9857808087279","98.64769869087263","449.4305394757101","1477","509","2687","196.10111180822037","61.87029911255253","318.7572627871105","148","148","148","304.6315434826599","304.6315434826599","304.6315434826599","206","206","206","216.2877775773396","199.0736413344737","243.33555355477"
"130","1990.2","552","2949","248.49309292603886","104.25169111864791","407.09398056929666","1599","551","2909","229.4478771008106","60.36735254097755","440.0255091910575","160","160","160","177.14948678696328","177.14948678696328","177.14948678696328","223","223","223","159.85981041088223","107.54498714927908","201.1226795573992"
"140","2140.2","594","3171","232.98728696455677","149.33513577010677","313.9336229170752","1721","593","3131","229.89999194561136","19.1956794236444","405.84166109878663","172","172","172","13.45331933077593","13.45331933077593","13.45331933077593","240","240","240","181.41667931582325","138.8925747959457","233.59805256146396"
"150","2290.2","636","3393","189.64222238967605","103.17428061267849","281.8976908599643","1843","635","3353","208.65061133926116","55.82187343326476","404.74170297581924","184","184","184","173.87144412880508","173.87144412880508","173.87144412880508","257","257","257","192.25022811204317","138.73782654798256","230.88177646416747"
"160","2440.2","678","3615","231.9143337857452","100.06871382696525","447.6749179845854","1965","677","3575","278.7254279941861","145.45872767121404","446.46259518304396","197","197","197","139.7692194830505","139.7692194830505","139.7692194830505","274","274","274","191.90698050121432","133.61330594529113","305.72213787277013"
"170","2590.2","720","3837","197.9719078760573","105.06210669500365","320.03968355155797","2087","719","3797","207.65555222016008","100.84211916924735","402.3028991108609","209","209","209","144.62802027481732","144.62802027481732","144.62802027481732","291","291","291","225.4717447543056","202.47946277529866","238.81332128983368"
"180","2740.2","762","4059","214.9477232438715","101.32743580479205","396.74701499561036","2209","761","4019","247.44527745895098","15.1315438387001","452.0405072990332","221","221","221","172.52204478660423","172.52204478660423","172.52204478660423","308","308","308","213.5807131295979","168.84740605578364","267.7102979771913"
"190","2890.2","804","4281","260.4109360391882","152.72178008643954","361.45364016924543","2331","803","4241","214.07111938338983","104.33763157767035","277.9158985704683","","","","","","","325","325","325","225.45036941877825","199.35366629720414","271.31800451117914"
"200","2695.5","848","4543","245.28497613896175","153.8750872764466","361.9282805822147","2453","845","4463","246.06867708805436","20.295116656216738","363.6069380606379","","","","","","","342","342","342","192.09933219659527","164.8946392508123","240.14403524373446"
"210","2827.5","890","4765","243.77042085852617","188.28167798210754","364.2159417098525","2311.25","887","4685","230.38008786871202","139.89818337080288","313.09152732456636","","","","","","","359","359","359","182.31162734887894","107.95183512769476","268.52785654857763"
"220","2959.5","932","4987","338.55468441924666","270.6413286466165","407.1815943121761","2420.75","929","4907","264.5091950815","192.08646482896165","364.2309890092217","","","","","","","376","376","376","268.4240106291243","236.3432688296028","300.6087261336819"
"230","3091.5","974","5209","179.14231132082102","104.03861887271913","272.3829137107346","2530.25","971","5129","265.21377444873787","105.49530118210154","358.2296432442564","","","","","","","393","393","393","224.08336690955593","200.9375775869794","268.01413723837555"
"240","3223.5","1016","5431","277.05751914002724","191.18840075278","409.4565365112722","2639.75","1013","5351","200.51601757449816","102.95417930971549","445.36556120258655","","","","","","","410","410","410","246.3803772964077","232.0035508542372","269.5391598691939"
"250","3355.5","1058","5653","273.2170960190601","189.08343794646427","317.0990982454589","2749.25","1055","5573","265.4294907209746","145.33852992239105","407.2561367637953","","","","","","","427","427","427","258.14719496093704","201.08357678233762","305.4267109896231"
"260","3487.5","1100","5875","319.2639201463455","191.83926389149383","488.91810977701044","2858.75","1097","5795","258.61463326875145","64.2168536601892","355.4525953121723","","","","","","","444","444","444","181.62069430745726","103.96588602801407","238.30235234128614"
"270","3619.5","1142","6097","221.08984630221295","104.01995371214291","275.41832178268857","2968.25","1139","6017","243.19133249222568","145.35431311455554","400.25062710426016","","","","","","","461","461","461","190.84780112677035","165.83137148355596","206.95331725125916"
"280","3751.5","1184","6319","201.88789119910223","98.65681844613327","282.47247536875346","3077.75","1181","6239","227.11275731805105","107.51058965460363","363.5012194134558","","","","","","","478","478","478","235.71155898368863","200.0307664531668","269.4631128635691"
"290","3883.5","1226","6541","307.30159395508724","230.35494578399434","407.3806477419678","3187.25","1223","6461","289.84110492728496","97.07402141913327","531.9806164667376","","","","","","","495","495","495","246.81766837059413","206.44968934096954","267.14121387023204"
"300","1270","1270","1270","164.16762172915128","144.12291245710145","184.21233100120108","1265","1265","1265","146.77040581406104","101.84226129427185","229.5948432520871","","","","","","","","","","","",""
"310","1312","1312","1312","82.45036139221558","61.105003722889975","103.79571906154119","1307","1307","1307","189.4784817634295","17.31211898929876","318.80245405085617","","","","","","","","","","","",""
"320","1354","1354","1354","194.7842671186014","192.30548640907304","197.26304782812974","1349","1349","1349","223.99301567654985","102.64100315196936","405.0635473177502","","","","","","","","","","","",""
"330","1396","1396","1396","296.29644274662354","230.9375345772768","361.65535091597025","1391","1391","1391","179.66819071231689","58.220519750481785","237.35856276661912","","","","","","","","","","","",""
"340","1438","1438","1438","185.98909895754298","100.0932267246958","271.88497119039016","1433","1433","1433","224.0490465848","60.315176849349186","322.1652565277294","","","","","","","","","","","",""
"350","1480","1480","1480","296.1346782537373","272.1435836878644","320.12577281961023","1475","1475","1475","189.69259610973617","146.41275695700062","276.36850366709103","","","","","","","","","","","",""
"360","1522","1522","1522","257.02768989888466","195.68803006093776","318.36734973683156","1517","1517","1517","308.1089587013453","143.6868285474788","402.78966844082345","","","","","","","","","","","",""
"370","1564","1564","1564","319.7730875457735","274.07886629175044","365.46730879979657","1559","1559","1559","233.0133941551539","188.9050027060585","322.96125448935163","","","","","","","","","","","",""
"380","1606","1606","1606","165.65290991120287","145.52772918494833","185.77809063745738","1601","1601","1601","336.5385526144313","230.33299550700727","532.7019104159776","","","","","","","","","","","",""
"390","1648","1648","1648","125.77964248503366","105.09182760408696","146.46745736598038","1643","1643","1643","250.33160426761378","104.68184834636176","402.24546626991","","","","","","","","","","","",""
"400","1692","1692","1692","361.3729749378451","275.410915727682","447.33503414800816","1685","1685","1685","214.85934333203505","97.68401303789429","314.6969093098978","","","","","","","","","","","",""
"410","1734","1734","1734","251.66495832085388","186.54124651237973","316.788670129328","1727","1727","1727","284.17156319401477","145.91089533429147","406.8984509685067","","","","","","","","","","","",""
"420","1776","1776","1776","123.3837379506238","103.93457279861491","142.83290310263268","1769","1769","1769","222.87314006283458","59.34071358959402","403.19693243181285","","","","","","","","","","","",""
"430","1818","1818","1818","258.8948074733757","195.356435335889","322.4331796108624","1811","1811","1811","231.7703720421683","145.617306738453","318.259353404463","","","","","","","","","","","",""
"440","1860","1860","1860","239.08196441364979","238.255746729235","239.90818209806457","1853","1853","1853","248.68168095627203","105.32711993196503","404.7146827525552","","","","","","","","","","","",""
"450","1902","1902","1902","188.74777968219593","187.92371785925508","189.57184150513677","1895","1895","1895","307.04808067949006","184.61934573161798","442.3375700675041","","","","","","","","","","","",""
"460","1944","1944","1944","210.49905422481763","98.66777220876666","322.3303362408686","1937","1937","1937","163.0877094687598","19.26624118881349","231.42671630097425","","","","","","","","","","","",""
"470","1986","1986","1986","252.01352121081288","230.36576793386615","273.6612744877596","1979","1979","1979","250.42205829951143","192.03677876339114","319.5426478741778","","","","","","","","","","","",""
"480","2028","2028","2028","274.01645532340706","273.6293831460056","274.40352750080854","2021","2021","2021","204.86295162895104","144.02648584565767","271.2148299013421","","","","","","","","","","","",""
"490","2070","2070","2070","127.66389435093912","107.28294047712339","148.04484822475484","2063","2063","2063","249.70069324184797","192.64717843401144","321.6088605510446","","","","","","","","","","","",""
