"epoch","Schedule: true - _step","Schedule: true - _step__MIN","Schedule: true - _step__MAX","Schedule: true - test reward","Schedule: true - test reward__MIN","Schedule: true - test reward__MAX","Schedule: false - _step","Schedule: false - _step__MIN","Schedule: false - _step__MAX","Schedule: false - test reward","Schedule: false - test reward__MIN","Schedule: false - test reward__MAX","Schedule: adaptive - _step","Schedule: adaptive - _step__MIN","Schedule: adaptive - _step__MAX","Schedule: adaptive - test reward","Schedule: adaptive - test reward__MIN","Schedule: adaptive - test reward__MAX"
"0","15.8","5","23","17.615825203616378","15.195412103597565","19.129712388158396","11.909090909090908","5","23","18.18531113903562","16.012147256866093","20.919077137315302","2","2","2","20.470850349764415","6.353580328549543","80.05200230362252"
"10","166.2","48","245","35.51199816043119","14.640516454135772","106.50712341369521","119.72727272727273","47","245","34.749478774314284","16.232574622203117","104.64533115702663","19","19","19","120.43444005201792","70.94716745255673","201.2522221572712"
"20","316.2","90","467","77.87596037693609","16.815875557103322","150.1716961611327","227.54545454545453","89","467","49.24812188014965","13.105227288394719","147.56043367552354","36","36","36","110.00757514945894","36.729939802491984","207.61393841091294"
"30","466.2","132","689","77.37351023934987","15.072175574369771","147.77416843761443","335.3636363636364","131","689","77.3596134357539","18.381798578350658","236.32515380018717","53","53","53","149.65129866787552","69.04344692633956","239.38388409950767"
"40","616.2","174","911","123.37865657489326","19.030314242057564","276.0831368022383","443.1818181818182","173","911","77.2679175058803","15.3242026739957","229.08564956637707","70","70","70","155.55966783482157","103.79161947498783","237.29962648622595"
"50","766.2","216","1133","137.29124467053342","16.43419528251053","230.39270387983606","551","215","1133","101.86027422870116","12.790864380851568","325.2189397460113","87","87","87","136.83743225454091","68.79401130480107","203.0177590866645"
"60","916.2","258","1355","138.2816825275442","19.201498283112322","317.55144444589513","658.8181818181819","257","1355","82.93804728467039","18.11820497855056","240.10414140432204","104","104","104","117.32078192553554","42.067115837262975","170.55704023378937"
"70","1066.2","300","1577","132.35084208298986","18.9492775984609","276.7350162295054","766.6363636363636","299","1577","95.07488875676968","13.281899446640514","316.10400592720504","121","121","121","155.80223029344342","75.40038597339122","205.33601285046385"
"80","1216.2","342","1799","104.20735065142685","15.438683679483308","192.62875687223908","874.4545454545455","341","1799","68.0562436080492","16.9239258965758","152.98394624108738","138","138","138","140.87071292817603","49.787055341377275","236.57896707106693"
"90","1366.2","384","2021","103.7436351328266","15.277606467538877","234.56594243643252","982.2727272727273","383","2021","135.34034505917427","14.841076581215157","454.8140308948008","155","155","155","173.4780411377873","138.68844546703235","235.1412773892776"
"100","1540.2","426","2283","130.70821097650568","18.87613265180511","276.8457822977053","1090.090909090909","425","2243","108.37730867943506","17.253569832743786","232.75524496302916","172","172","172","123.25711955694506","75.71203913810677","199.02984124091353"
"110","1690.2","468","2505","173.5818712375622","17.683278619761985","361.83432050537306","1197.909090909091","467","2465","102.35288167078933","19.640836935749203","190.32746593402297","189","189","189","94.01859955018047","14.19172069349772","212.2813836398412"
"120","1618.5","510","2727","144.99387957846216","61.50943736684584","277.5123002182154","1305.7272727272727","509","2687","117.08418275268326","35.76135032679944","234.17161400359728","206","206","206","116.27477677566702","18.718323370974822","180.47920254572634"
"130","1750.5","552","2949","67.50077147861936","18.275542928854858","149.29128117035967","1413.5454545454545","551","2909","142.03141837073318","58.41318145738544","277.32022475718014","223","223","223","114.01732176963634","20.523239768323187","237.1867228053471"
"140","1882.5","594","3171","123.68668722434197","55.91052510151644","276.4867498481923","1521.3636363636363","593","3131","143.0116421946337","19.82514956549322","315.3223452075052","240","240","240","110.50633173958543","17.103292231985957","208.90890259267218"
"150","2014.5","636","3393","166.71829365602676","53.23429121222468","277.9302004799693","1629.1818181818182","635","3353","159.93890635979912","55.8348379111909","362.57741775484493","257","257","257","114.23661945408152","12.301946966481456","239.9200599795481"
"160","2146.5","678","3615","122.81521472068339","13.619462165353454","193.10638597387373","1737","677","3575","118.97706863754928","23.12784737485707","231.3717456099063","274","274","274","126.09762871635068","16.85416916930972","209.76853586508486"
