"epoch","Schedule: true - _step","Schedule: true - _step__MIN","Schedule: true - _step__MAX","Schedule: true - test reward","Schedule: true - test reward__MIN","Schedule: true - test reward__MAX","Schedule: false - _step","Schedule: false - _step__MIN","Schedule: false - _step__MAX","Schedule: false - test reward","Schedule: false - test reward__MIN","Schedule: false - test reward__MAX","Schedule: adaptive - _step","Schedule: adaptive - _step__MIN","Schedule: adaptive - _step__MAX","Schedule: adaptive - test reward","Schedule: adaptive - test reward__MIN","Schedule: adaptive - test reward__MAX"
"180","789.5","772","807","19.695904365828653","18.357119368306403","21.0346893633509","772.4","761","780","18.368795968313517","17.12197801037772","19.22031926063104","308","308","308","8.191386426780662","3.7319700425458366","12.650802811015488"
"190","833","814","852","20.97862727455653","18.891856273497492","23.06539827561557","815","803","823","20.032725661252904","16.638404051066033","24.326736861058727","325","325","325","59.04083429906282","40.79418404044274","77.2874845576829"
"200","877.5","858","897","21.75835830605341","20.588627809969747","22.928088802137072","857.6","845","866","23.00314369645412","16.58988497797172","37.8955943274499","342","342","342","65.28478176981798","53.27333902150078","77.29622451813518"
"210","921","900","942","16.676438462787296","16.456433485158648","16.896443440415943","900.2","887","909","23.361842416791998","15.732325177769173","41.67474485719219","359","359","359","12.442485026832088","9.824341429839459","15.060628623824718"
"220","964.5","942","987","17.589516345510937","16.281899215901902","18.897133475119972","942.8","929","952","17.23278144754925","14.708877535755795","21.428169075446448","376","376","376","26.30251844958189","9.050321542748733","43.554715356415045"
"230","1009","986","1032","18.167234797670588","15.695844266648075","20.638625328693102","985.4","971","995","20.617856452925587","15.463782558328854","24.133424878019824","393","393","393","26.202786520956085","9.402321281491803","43.00325176042037"
"240","1052.5","1028","1077","18.74636550834365","16.657624005708616","20.83510701097869","1028","1013","1038","19.234357302170345","14.772600642994735","23.39995760654014","410","410","410","58.79702909443466","43.070251464307454","74.52380672456188"
"250","1097","1072","1122","18.832776212671533","17.96135300651236","19.704199418830708","1070.6","1055","1081","23.834920711415332","17.144780957127615","44.5978404762714","427","427","427","108.70661976857916","76.56824340910978","140.84499612804854"
"260","1140.5","1114","1167","18.007312567886807","17.314332626972845","18.700292508800764","1113.2","1097","1124","20.73946369986832","18.924063681641776","22.762443785471152","444","444","444","33.087631469765974","14.388784177928816","51.786478761603135"
"270","1184","1156","1212","18.68655809813063","16.652567940817494","20.720548255443763","1155.8","1139","1167","26.864302446782705","14.855453816141036","59.48068679625968","461","461","461","28.81229811501077","13.034575313029503","44.59002091699203"
"280","1228.5","1200","1257","22.788324923094265","20.822357691143033","24.754292155045498","1198.4","1181","1210","36.20938487760965","16.702616551637934","61.75571165864733","478","478","478","114.16787697922041","46.443952939680614","181.8918010187602"
"290","1272","1242","1302","20.516987786438477","19.18894098702294","21.845034585854012","1241","1223","1253","27.288575854875454","16.66248833614468","59.32815318884042","495","495","495","34.858368298652294","22.92914130730364","46.787595290000944"
"300","1316.5","1286","1347","20.913317674971054","20.755810714783156","21.070824635158957","1283.6","1265","1296","41.98418911290557","14.088606198431629","140.0785568276693","","","","","",""
"310","1360","1328","1392","18.582216100725965","15.610407745177294","21.55402445627464","1326.2","1307","1339","34.741956998518546","15.343693574999904","98.96480302297769","","","","","",""
"320","1403.5","1370","1437","18.027429435035682","17.042549824362425","19.01230904570894","1368.8","1349","1382","27.144475621009036","15.697326097495559","59.55222021282445","","","","","",""
"330","1448","1414","1482","17.079081158981886","15.399824966516581","18.758337351447192","1411.4","1391","1425","35.698569601042266","15.75365682495944","96.40045336727812","","","","","",""
"340","1491.5","1456","1527","20.97396498392805","20.087720972974285","21.860208994881816","1454","1433","1468","27.898210126623184","17.68904715574656","57.003455277280395","","","","","",""
"350","1500","1500","1500","21.737909558581208","21.737909558581208","21.737909558581208","1475","1475","1475","18.17908877436349","18.17908877436349","18.17908877436349","","","","","",""
"360","1542","1542","1542","18.237261443329295","18.237261443329295","18.237261443329295","1517","1517","1517","25.002140876780523","25.002140876780523","25.002140876780523","","","","","",""
"370","1584","1584","1584","21.349838499707264","21.349838499707264","21.349838499707264","1559","1559","1559","17.277114226787017","17.277114226787017","17.277114226787017","","","","","",""
"380","1628","1628","1628","20.735669488404973","20.735669488404973","20.735669488404973","1601","1601","1601","61.96317540221298","61.96317540221298","61.96317540221298","","","","","",""
"390","1670","1670","1670","21.832472160294152","21.832472160294152","21.832472160294152","1643","1643","1643","17.417237417961683","17.417237417961683","17.417237417961683","","","","","",""
"400","1714","1714","1714","22.041428418567655","22.041428418567655","22.041428418567655","1685","1685","1685","26.582315708647723","26.582315708647723","26.582315708647723","","","","","",""
"410","1756","1756","1756","18.69698831883404","18.69698831883404","18.69698831883404","1727","1727","1727","22.199504281340893","22.199504281340893","22.199504281340893","","","","","",""
"420","1798","1798","1798","17.67545339833284","17.67545339833284","17.67545339833284","1769","1769","1769","22.09489296648591","22.09489296648591","22.09489296648591","","","","","",""
"430","1842","1842","1842","19.285958700171186","19.285958700171186","19.285958700171186","1811","1811","1811","15.873923897582776","15.873923897582776","15.873923897582776","","","","","",""
"440","1884","1884","1884","18.194743908865977","18.194743908865977","18.194743908865977","1853","1853","1853","21.089274832974322","21.089274832974322","21.089274832974322","","","","","",""
"450","1928","1928","1928","16.869981668979662","16.869981668979662","16.869981668979662","1895","1895","1895","22.24335905916231","22.24335905916231","22.24335905916231","","","","","",""
"460","1970","1970","1970","24.055812344381327","24.055812344381327","24.055812344381327","1937","1937","1937","19.527597130391218","19.527597130391218","19.527597130391218","","","","","",""
"470","2012","2012","2012","26.790061257507507","26.790061257507507","26.790061257507507","1979","1979","1979","104.6293350378663","104.6293350378663","104.6293350378663","","","","","",""
"480","2056","2056","2056","21.643507078230986","21.643507078230986","21.643507078230986","2021","2021","2021","15.045677985818525","15.045677985818525","15.045677985818525","","","","","",""
"490","2098","2098","2098","24.976464935480756","24.976464935480756","24.976464935480756","2063","2063","2063","22.58496691419886","22.58496691419886","22.58496691419886","","","","","",""
