"epoch","Schedule: true - _step","Schedule: true - _step__MIN","Schedule: true - _step__MAX","Schedule: true - test reward","Schedule: true - test reward__MIN","Schedule: true - test reward__MAX","Schedule: false - _step","Schedule: false - _step__MIN","Schedule: false - _step__MAX","Schedule: false - test reward","Schedule: false - test reward__MIN","Schedule: false - test reward__MAX","Schedule: adaptive - _step","Schedule: adaptive - _step__MIN","Schedule: adaptive - _step__MAX","Schedule: adaptive - test reward","Schedule: adaptive - test reward__MIN","Schedule: adaptive - test reward__MAX"
"0","5.5","5","6","20.25069785576007","18.35669799096918","22.14469772055096","5.6","5","6","17.261406099046475","14.946558591350419","20.104895311514664","2","2","2","10.595603208873413","9.09646431707988","12.094742100666945"
"10","49","48","50","16.72210822971153","16.015911729949266","17.42830472947379","48.2","47","49","17.48838883895067","16.571392888532134","18.68028118401","19","19","19","25.597956145113855","8.46274947777094","42.73316281245677"
"20","91.5","90","93","17.825396956475547","17.551254730436153","18.099539182514942","90.8","89","92","18.074470678456173","16.27068168132312","21.03080566830821","36","36","36","25.2641646222831","10.007475541682775","40.52085370288343"
"30","134","132","136","18.017703686080672","17.726469363940485","18.308938008220856","133.4","131","135","17.82509087636723","16.094500711166617","19.43360737882168","53","53","53","41.37876667552905","6.666578590272185","76.09095476078592"
"40","176.5","174","179","17.378488756641936","16.866591079435455","17.89038643384842","176","173","178","18.438739679197777","16.16482134616696","20.064691518119318","70","70","70","23.64234738968424","3.860565554170882","43.424129225197596"
"50","219","216","222","17.770538117513087","16.206558168737587","19.334518066288588","218.6","215","221","19.6860477097105","16.534274758928113","23.881884377302633","87","87","87","74.6055289874577","41.38217435502816","107.82888361988725"
"60","262.5","258","267","15.95705172682795","15.60548549240087","16.30861796125503","261.2","257","264","19.436556887647292","17.781782190721295","22.6134973917352","104","104","104","8.364580221307051","6.762438505637137","9.966721936976967"
"70","306","300","312","19.92682278568917","18.37550068318499","21.478144888193352","303.8","299","307","19.95619251663291","16.899544526096783","24.794517048653642","121","121","121","56.5441367209694","36.02689379133601","77.06137965060279"
"80","350.5","344","357","20.74039589435455","19.354979267699157","22.125812521009944","346.4","341","350","20.82681024969093","16.773670409910046","25.55625179956519","138","138","138","59.615242337675355","45.685838286503554","73.54464638884716"
"90","394","386","402","18.93385425332138","18.058249046874064","19.80945945976869","389","383","393","19.23750995650716","16.41082632614062","22.42101094744488","155","155","155","25.997007633150723","6.760285204391053","45.23373006191039"
"100","438.5","430","447","16.759042319726134","14.613396161003333","18.904688478448932","431.6","425","436","18.84149167976226","17.04675386936279","21.30986656308902","172","172","172","22.48950033703195","4.7916161627529785","40.18738451131092"
"110","482","472","492","16.36288305097454","15.713981307467924","17.011784794481155","474.2","467","479","18.239998728565716","16.39696290004041","19.93903258049233","189","189","189","24.016997359174848","8.449174978558448","39.58481973979125"
"120","525.5","514","537","19.73595833877621","17.886500331756622","21.5854163457958","516.8","509","522","18.708420882023738","12.9382237537698","25.165346158384025","206","206","206","10.768897404829687","9.579576490596798","11.958218319062578"
"130","570","558","582","18.195850344657842","17.8544106115126","18.537290077803082","559.4","551","565","19.650577540508262","16.608593954190468","25.013677864944775","223","223","223","92.97241987847113","79.04105046834539","106.90378928859688"
"140","613.5","600","627","19.193868970418507","16.00235846345703","22.38537947737999","602","593","608","19.04983821772398","16.479698546593266","24.429277448011003","240","240","240","6.652185058489246","2.218030598377671","11.08633951860082"
"150","658","644","672","19.637631501026377","17.715241490019828","21.56002151203292","644.6","635","651","18.3727233168682","17.028141895569327","21.577684032258784","257","257","257","91.32124254801113","40.64568062726147","141.99680446876079"
"160","701.5","686","717","16.618143196785454","16.231863414487158","17.004422979083753","687.2","677","694","19.196666645339125","14.360253351075281","24.484897354763646","274","274","274","25.43308303339843","4.4693811022790575","46.3967849645178"
"170","745","728","762","19.26392495513553","18.842759577736924","19.685090332534138","729.8","719","737","21.10242328459706","18.222874702073693","25.72738108606295","291","291","291","24.39090244220023","7.711222261369214","41.07058262303124"
