Relative Time (Process),Schedule : adaptive - _step,Schedule : adaptive - _step__MIN,Schedule : adaptive - _step__MAX,Schedule : adaptive - test reward ,Schedule : adaptive - test reward __MIN,Schedule : adaptive - test reward __MAX,Schedule : fixed - _step,Schedule : fixed - _step__MIN,Schedule : fixed - _step__MAX,Schedule : fixed - test reward ,Schedule : fixed - test reward __MIN,Schedule : fixed - test reward __MAX,Schedule : interval - _step,Schedule : interval - _step__MIN,Schedule : interval - _step__MAX,Schedule : interval - test reward ,Schedule : interval - test reward __MIN,Schedule : interval - test reward __MAX,epoch
82.229963,21145.5,21145.5,21145.5,36.450359000000006,36.450359000000006,36.450359000000006,250.0,250.0,250.0,40.92695,40.92695,40.92695,17095.2,17095.2,17095.2,37.2628616,37.2628616,37.2628616,3.8575667655786345
85.59854,21277.0,21277.0,21277.0,39.085033,39.085033,39.085033,250.0,250.0,250.0,40.30991233333333,40.30991233333333,40.30991233333333,19039.600000000002,19039.600000000002,19039.600000000002,38.530757300000005,38.530757300000005,38.530757300000005,4.00593471810089
85.897992,21238.75,21238.75,21238.75,38.26234875,38.26234875,38.26234875,250.0,250.0,250.0,39.69287466666667,39.69287466666667,39.69287466666667,20984.0,20984.0,20984.0,39.798653,39.798653,39.798653,4.154302670623145
86.204534,21200.5,21200.5,21200.5,37.439664500000006,37.439664500000006,37.439664500000006,250.0,250.0,250.0,39.075837,39.075837,39.075837,21908.0,21908.0,21908.0,40.38506,40.38506,40.38506,4.3026706231454
86.836329,21162.25,21162.25,21162.25,36.616980250000005,36.616980250000005,36.616980250000005,250.0,250.0,250.0,38.45879933333333,38.45879933333333,38.45879933333333,20830.0,20830.0,20830.0,36.234753,36.234753,36.234753,4.451038575667655
86.920287,21124.0,21124.0,21124.0,35.794296,35.794296,35.794296,250.0,250.0,250.0,37.84176166666667,37.84176166666667,37.84176166666667,20882.75,20882.75,20882.75,37.421629249999995,37.421629249999995,37.421629249999995,4.599406528189911
90.680197,21188.0,21188.0,21188.0,38.6308305,38.6308305,38.6308305,250.0,250.0,250.0,37.224724,37.224724,37.224724,20935.5,20935.5,20935.5,38.6085055,38.6085055,38.6085055,4.747774480712166
90.77159,21252.0,21252.0,21252.0,41.467365,41.467365,41.467365,250.0,250.0,250.0,37.348614600000005,37.348614600000005,37.348614600000005,20988.25,20988.25,20988.25,39.795381750000004,39.795381750000004,39.795381750000004,4.896142433234421
90.816196,21306.5,21306.5,21306.5,40.133422,40.133422,40.133422,250.0,250.0,250.0,37.4725052,37.4725052,37.4725052,21041.0,21041.0,21041.0,40.982258,40.982258,40.982258,5.044510385756676
90.896782,21361.0,21361.0,21361.0,38.799479,38.799479,38.799479,250.0,250.0,250.0,37.5963958,37.5963958,37.5963958,21792.0,21792.0,21792.0,38.628452,38.628452,38.628452,5.192878338278931
90.914923,21415.5,21415.5,21415.5,37.465536,37.465536,37.465536,250.0,250.0,250.0,37.7202864,37.7202864,37.7202864,20901.0,20901.0,20901.0,37.32328,37.32328,37.32328,5.341246290801187
90.982301,21470.0,21470.0,21470.0,36.131593,36.131593,36.131593,250.0,250.0,250.0,37.844177,37.844177,37.844177,20946.0,20946.0,20946.0,38.491635,38.491635,38.491635,5.489614243323442
91.749343,21524.5,21524.5,21524.5,34.79765,34.79765,34.79765,307.8,307.8,307.8,36.922241,36.922241,36.922241,20991.0,20991.0,20991.0,39.65999,39.65999,39.65999,5.637982195845697
96.123428,21579.0,21579.0,21579.0,33.463707,33.463707,33.463707,365.6,365.6,365.6,36.000305,36.000305,36.000305,23176.1,23176.1,23176.1,38.3153813,38.3153813,38.3153813,5.786350148367952
139.5656018257141,20963.0,20963.0,20963.0,40.41610336303711,40.41610336303711,40.41610336303711,423.4,423.4,423.4,35.078369,35.078369,35.078369,25361.2,25361.2,25361.2,36.970772600000004,36.970772600000004,36.970772600000004,5.9347181008902075
149.55389404296875,21862.0,21862.0,21862.0,38.632720947265625,38.632720947265625,38.632720947265625,481.2,481.2,481.2,34.156433,34.156433,34.156433,27546.3,27546.3,27546.3,35.6261639,35.6261639,35.6261639,6.083086053412463
155.74915,25329.0,25329.0,25329.0,37.79981912272135,37.79981912272135,37.79981912272135,539.0,539.0,539.0,33.234497,33.234497,33.234497,29731.4,29731.4,29731.4,34.2815552,34.2815552,34.2815552,6.231454005934718
155.756688,28796.0,28796.0,28796.0,36.96691729817708,36.96691729817708,36.96691729817708,539.0,539.0,539.0,36.577026,36.577026,36.577026,31916.5,31916.5,31916.5,32.9369465,32.9369465,32.9369465,6.379821958456973
155.819807,32263.0,32263.0,32263.0,36.134015473632815,36.134015473632815,36.134015473632815,539.0,539.0,539.0,36.856857,36.856857,36.856857,34101.6,34101.6,34101.6,31.5923378,31.5923378,31.5923378,6.528189910979228
156.537151,35730.0,35730.0,35730.0,35.30111364908854,35.30111364908854,35.30111364908854,539.0,539.0,539.0,31.299507,31.299507,31.299507,36286.7,36286.7,36286.7,30.2477291,30.2477291,30.2477291,6.6765578635014835
157.27621,39197.0,39197.0,39197.0,34.46821182454427,34.46821182454427,34.46821182454427,539.0,539.0,539.0,27.12802,27.12802,27.12802,38471.8,38471.8,38471.8,28.9031204,28.9031204,28.9031204,6.824925816023739
160.967008,42664.0,42664.0,42664.0,33.63531,33.63531,33.63531,539.0,539.0,539.0,29.437612,29.437612,29.437612,40656.899999999994,40656.899999999994,40656.899999999994,27.558511699999997,27.558511699999997,27.558511699999997,6.973293768545994
166.228232,42423.0,42423.0,42423.0,35.210273,35.210273,35.210273,539.0,539.0,539.0,31.747204,31.747204,31.747204,42842.0,42842.0,42842.0,26.213903,26.213903,26.213903,7.121661721068248
170.627047,42182.0,42182.0,42182.0,36.785236,36.785236,36.785236,539.0,539.0,539.0,34.056796000000006,34.056796000000006,34.056796000000006,42506.5,42506.5,42506.5,35.3792845,35.3792845,35.3792845,7.2700296735905034
170.925992,42137.5,42137.5,42137.5,36.60364325,36.60364325,36.60364325,539.0,539.0,539.0,36.366388,36.366388,36.366388,42171.0,42171.0,42171.0,44.544666,44.544666,44.544666,7.418397626112759
171.078212,42093.0,42093.0,42093.0,36.4220505,36.4220505,36.4220505,539.0,539.0,539.0,38.67598,38.67598,38.67598,42450.5,42450.5,42450.5,38.587511,38.587511,38.587511,7.566765578635014
171.337925,42048.5,42048.5,42048.5,36.24045775,36.24045775,36.24045775,539.0,539.0,539.0,37.4914592,37.4914592,37.4914592,42730.0,42730.0,42730.0,32.630356,32.630356,32.630356,7.715133531157269
171.948932,42004.0,42004.0,42004.0,36.058865,36.058865,36.058865,539.0,539.0,539.0,36.3069384,36.3069384,36.3069384,42684.8,42684.8,42684.8,32.541474799999996,32.541474799999996,32.541474799999996,7.863501483679524
176.156464,42227.0,42227.0,42227.0,36.087017,36.087017,36.087017,539.0,539.0,539.0,35.122417600000006,35.122417600000006,35.122417600000006,42639.6,42639.6,42639.6,32.4525936,32.4525936,32.4525936,8.01186943620178
176.240204,42071.0,42071.0,42071.0,34.64862,34.64862,34.64862,539.0,539.0,539.0,33.937896800000004,33.937896800000004,33.937896800000004,42594.4,42594.4,42594.4,32.3637124,32.3637124,32.3637124,8.160237388724035
176.44686,43936.36363636364,43936.36363636364,43936.36363636364,35.237111818181816,35.237111818181816,35.237111818181816,539.0,539.0,539.0,32.753376,32.753376,32.753376,42549.2,42549.2,42549.2,32.2748312,32.2748312,32.2748312,8.30860534124629
176.771307,45801.72727272727,45801.72727272727,45801.72727272727,35.82560363636364,35.82560363636364,35.82560363636364,596.8,596.8,596.8,34.159494,34.159494,34.159494,42504.0,42504.0,42504.0,32.18595,32.18595,32.18595,8.456973293768545
176.862176,47667.09090909091,47667.09090909091,47667.09090909091,36.41409545454545,36.41409545454545,36.41409545454545,654.6,654.6,654.6,35.565612,35.565612,35.565612,42404.0,42404.0,42404.0,41.79608,41.79608,41.79608,8.6053412462908
180.845348,49532.454545454544,49532.454545454544,49532.454545454544,37.002587272727276,37.002587272727276,37.002587272727276,712.4,712.4,712.4,36.97173,36.97173,36.97173,42032.0,42032.0,42032.0,30.95276,30.95276,30.95276,8.753709198813056
181.257349,51397.818181818184,51397.818181818184,51397.818181818184,37.59107909090909,37.59107909090909,37.59107909090909,770.2,770.2,770.2,38.377848,38.377848,38.377848,42564.0,42564.0,42564.0,30.144659,30.144659,30.144659,8.90207715133531
226.567878,53263.181818181816,53263.181818181816,53263.181818181816,38.17957090909091,38.17957090909091,38.17957090909091,828.0,828.0,828.0,39.783966,39.783966,39.783966,45517.71428571428,45517.71428571428,45517.71428571428,31.560938714285715,31.560938714285715,31.560938714285715,9.050445103857566
