"epoch","Schedule: true - _step","Schedule: true - _step__MIN","Schedule: true - _step__MAX","Schedule: true - test reward","Schedule: true - test reward__MIN","Schedule: true - test reward__MAX","Schedule: false - _step","Schedule: false - _step__MIN","Schedule: false - _step__MAX","Schedule: false - test reward","Schedule: false - test reward__MIN","Schedule: false - test reward__MAX","Schedule: adaptive - _step","Schedule: adaptive - _step__MIN","Schedule: adaptive - _step__MAX","Schedule: adaptive - test reward","Schedule: adaptive - test reward__MIN","Schedule: adaptive - test reward__MAX"
"100","2283","2283","2283","151.76784867082358","110.15018080407094","193.38551653757625","1439.888888888889","436","2243","65.67483160406944","12.969183826913905","194.09542915086075","172","172","172","63.10661428051654","7.907367433056976","145.4402515958129"
"110","2505","2505","2505","83.65410262800877","62.21238797625995","105.0958172797576","1582.3333333333333","479","2465","56.82798516575685","15.069598988192075","148.61524475956307","189","189","189","97.13909258529696","39.36783555338703","145.76420482803502"
"120","2727","2727","2727","40.764014930346264","19.847670630661177","61.68035923003136","1724.7777777777778","522","2687","50.947068723148135","15.474306167626603","196.25672004575293","206","206","206","76.33663801048122","38.91169591580699","145.07472674489222"
"130","2949","2949","2949","110.29109237374917","23.242960048447856","197.33922469905048","1867.2222222222222","565","2909","70.06166062057127","20.28363619858388","190.81695619619003","223","223","223","82.50211184718721","45.08120758452121","137.65649765562023"
"140","3171","3171","3171","150.62287644014717","108.71575096969988","192.53000191059445","2009.6666666666667","608","3131","74.29327161784335","16.534501643564816","152.20356898485198","240","240","240","125.798589978559","78.88418985937201","176.41071673364897"
"150","3393","3393","3393","80.81255391679971","59.69355019569731","101.93155763790213","2152.1111111111113","651","3353","94.4205198563324","16.554383851723617","232.8628081767319","257","257","257","106.42667808563901","72.39305822216504","167.38649757265182"
"160","3615","3615","3615","192.52491446760285","192.52491446760285","192.52491446760285","2294.5555555555557","694","3575","68.81288192519762","15.706679550089053","152.44093036077237","274","274","274","93.01314238242875","38.66163660116076","139.10419808590805"
"170","3837","3837","3837","192.93792727191803","192.93792727191803","192.93792727191803","2437","737","3797","83.62133699733403","18.813225184141054","235.32851715746466","291","291","291","101.52545948108354","83.83795086360209","109.52302167102737"
"180","4059","4059","4059","60.929994091064394","60.929994091064394","60.929994091064394","2579.4444444444443","780","4019","94.30240861933582","16.83863615540202","195.80922377901172","308","308","308","119.00197431223968","74.27669662082315","147.97387902106783"
"190","4281","4281","4281","144.44014554367735","144.44014554367735","144.44014554367735","2721.8888888888887","823","4241","74.71356316445421","16.704685841048814","175.862099354328","325","325","325","59.26054349557357","5.825586460596488","144.6922194468845"
"200","4543","4543","4543","187.8633776153168","187.8633776153168","187.8633776153168","2864.3333333333335","866","4463","85.37524340584977","17.64701964915094","149.57648314318644","342","342","342","18.486572479636628","7.637341979906149","39.813912408770726"
"210","4765","4765","4765","103.7155112319401","103.7155112319401","103.7155112319401","3006.777777777778","909","4685","72.87279910147633","16.525000543725614","186.75378498553454","359","359","359","67.28782348965407","10.664990744567827","174.59004921642628"
"220","4987","4987","4987","154.23281583989652","154.23281583989652","154.23281583989652","2929.5","952","4907","67.6272191878257","17.961930521662133","143.30143393166975","376","376","376","102.53752174857655","38.53783286576988","175.1115594505026"
"230","5209","5209","5209","20.57486006341352","20.57486006341352","20.57486006341352","3062","995","5129","83.4814369344391","20.126314597556807","143.47285412392398","393","393","393","87.75142527119131","12.306920168174797","174.39626343204617"
"240","5431","5431","5431","153.29104508198333","153.29104508198333","153.29104508198333","3194.5","1038","5351","96.9647667699957","20.66541728759895","236.2530330336504","410","410","410","101.53126247020862","72.6720202585731","144.08431254559864"
"250","5653","5653","5653","276.54238996937585","276.54238996937585","276.54238996937585","3327","1081","5573","53.8119698201406","19.008755433724684","141.5745066924607","427","427","427","60.600392016636164","13.83076724650881","111.91249664210466"
"260","5875","5875","5875","193.39973273752932","193.39973273752932","193.39973273752932","3459.5","1124","5795","95.1139129743744","18.345376931082374","233.1704295618647","444","444","444","60.86528066724556","8.983881924375753","146.21801511085317"
"270","6097","6097","6097","152.78558421227962","152.78558421227962","152.78558421227962","3592","1167","6017","78.65114971762131","14.4536940984384","232.2872455359257","461","461","461","36.284577749083994","10.065083941290212","78.06511742415474"
"280","6319","6319","6319","60.740688826884856","60.740688826884856","60.740688826884856","3724.5","1210","6239","111.73274031388299","20.582735145847472","196.89803137508648","478","478","478","94.24739895049967","13.78288268081744","213.30644089112485"
"290","6541","6541","6541","149.9883444223281","149.9883444223281","149.9883444223281","3857","1253","6461","80.34901303119861","17.57782819785717","190.92770303507075","495","495","495","69.4458378089505","46.830710944650654","81.90394540920674"
"300","","","","","","","1296","1296","1296","53.24436952541455","20.614750111579664","110.37247035075555","","","","","",""
"310","","","","","","","1339","1339","1339","94.99313347773118","18.88517686457721","148.71248501590543","","","","","",""
"320","","","","","","","1382","1382","1382","52.507248250775284","18.018137643035026","149.67055267735103","","","","","",""
"330","","","","","","","1425","1425","1425","20.879430051306656","17.918798986103134","23.6284162427808","","","","","",""
"340","","","","","","","1468","1468","1468","51.336811289741526","18.93630401548119","103.1829691624051","","","","","",""
