"epoch","Schedule: adaptive - _step","Schedule: adaptive - _step__MIN","Schedule: adaptive - _step__MAX","Schedule: adaptive - test reward","Schedule: adaptive - test reward__MIN","Schedule: adaptive - test reward__MAX","Schedule: fixed - _step","Schedule: fixed - _step__MIN","Schedule: fixed - _step__MAX","Schedule: fixed - test reward","Schedule: fixed - test reward__MIN","Schedule: fixed - test reward__MAX","Schedule: interval - _step","Schedule: interval - _step__MIN","Schedule: interval - _step__MAX","Schedule: interval - test reward","Schedule: interval - test reward__MIN","Schedule: interval - test reward__MAX","Schedule: false - _step","Schedule: false - _step__MIN","Schedule: false - _step__MAX","Schedule: false - test reward","Schedule: false - test reward__MIN","Schedule: false - test reward__MAX","Schedule: true - _step","Schedule: true - _step__MIN","Schedule: true - _step__MAX","Schedule: true - test reward","Schedule: true - test reward__MIN","Schedule: true - test reward__MAX"
"100","45409.8","42590","56689","353.9610239512157","271.2912157788681","468.8375241206309","118","117","120","47.35749835022199","44.89196057122161","50.737643368579114","117","117","117","47.87183036529502","47.87183036529502","47.87183036529502","1765.5652173913043","120","3188","189.31717498856509","16.41128652553747","359.64663825951095","690","120","2565","227.13137578668096","153.66426010820834","333.4334499642478"
"110","49905","46806","62301","445.14594194647043","335.3858708572282","608.0660762232939","129","128","131","43.40573157561414","37.381922068998406","52.849852661430916","128","128","128","39.787631304893004","39.787631304893004","39.787631304893004","1989.9565217391305","131","3621","187.462763234843","18.885992276842384","408.63732881774257","799.8571428571429","131","2818","263.6663267604815","104.38287021767243","405.85037528906804"
"120","54400","51022","67912","367.24819822776936","310.7031922565373","436.05367145085444","140","139","142","45.540865048210854","40.80369149995132","51.60030594568892","139","139","139","47.07651871149548","47.07651871149548","47.07651871149548","2214.3478260869565","142","4054","206.70015598902694","19.903117807700063","457.28241566110853","909.7142857142857","142","3071","281.48905718153117","195.07691779317943","406.2706556072711"
"130","59809.5","55238","73524","367.4087607995078","245.38561646553765","496.4195703367546","151","150","153","41.772720196273724","40.272245099674166","44.762331774360014","150","150","150","47.931652491716974","47.931652491716974","47.931652491716974","2440.4347826086955","153","4526","214.67830154912613","16.397325210568116","387.56238933530574","1019.5714285714286","153","3324","250.9006959754927","178.88587497153438","322.13550401985873"
"140","66014.66666666667","59454","79136","390.4438981349036","334.38830219601175","466.0437370260712","162","161","164","47.84268134259316","45.623937669196124","49.20681902081799","161","161","161","40.96900863425381","40.96900863425381","40.96900863425381","2667.4347826086955","164","5019","254.14196265951847","22.50725072595095","487.40519152514645","1129.4285714285713","164","3577","251.98783690362458","148.10105740035897","373.98250986662555"
"150","70699","63673","84751","317.82198430963393","268.7575033880689","351.24843566537044","175.33333333333334","174","178","42.29513160067862","37.195176595030496","51.341460221433906","174","174","174","43.53284067233723","43.53284067233723","43.53284067233723","3023.409090909091","178","5518","208.73935442691493","22.22493475414789","399.4868689983817","2048","178","3833","179.06845122785248","102.32824878622264","278.3304681127341"
"160","75380.33333333333","67889","90363","370.25341865569817","334.2692790620386","421.329423147905","186.33333333333334","185","189","40.87641610734571","34.89845676971017","47.72519322371978","185","185","185","41.79397003357075","41.79397003357075","41.79397003357075","3284.7727272727275","189","6041","240.18761486819213","46.44656963124255","540.0944998625883","3013","2019","4086","173.06207310862644","128.53195514051285","198.8085261153713"
"170","80061.66666666667","72105","95975","319.75670434274275","270.42805498284855","379.98358520042274","197.33333333333334","196","200","40.31666616698814","31.57627730532985","45.98715091423309","196","196","196","46.10751211025056","46.10751211025056","46.10751211025056","3546.1363636363635","200","6564","255.20378317407724","44.4502718051077","513.23685590253","3354.6666666666665","2330","4339","201.98437201060628","91.16971020830782","321.98048997304136"
"180","84743","76321","101587","368.7286976557286","311.511510915055","436.7467376667897","208.33333333333334","207","211","46.81565807706761","42.64401571482188","50.90558335452533","207","207","207","42.97520972305617","42.97520972305617","42.97520972305617","3809.2727272727275","211","7126","239.30763028654155","48.60007836422029","505.3088479014844","3696.3333333333335","2641","4592","227.4811571059614","165.09371968415263","284.17026978986195"
"190","89424.33333333333","80537","107199","367.1687028573544","313.8394016732134","409.0936169062136","219.33333333333334","218","222","40.11631032568118","37.26120012520453","42.19184492459879","218","218","218","40.44479227019834","40.44479227019834","40.44479227019834","4073.3636363636365","222","7709","258.84391742926044","58.944234011952545","482.65556690261644","4038","2952","4845","209.5563909262356","171.51382965185286","237.3852800682877"
"200","94108.66666666667","84756","112814","427.87090799490005","332.4263128651146","554.03599888876","232.66666666666666","231","236","42.7755449747094","33.7459815992711","54.93842014611234","231","231","231","44.36786708343611","44.36786708343611","44.36786708343611","4612.1578947368425","1451","8298","257.710522179303","46.70301382662284","565.6457818416728","4395","3286","5103","142.43358441640234","89.3686934239643","238.32473534911304"
"210","98790","88972","118426","378.45789456064125","269.15044422540024","555.1809828601758","243.66666666666666","242","247","44.680018292073065","38.982103718715805","51.44656142747014","242","242","242","39.45310435425986","39.45310435425986","39.45310435425986","4939.894736842105","1642","8911","233.20109028765182","45.107718888260315","427.2690778652159","4786.666666666667","3597","5407","175.92510782284322","103.65716316146678","320.4401072473972"
"220","103471.33333333333","93188","124038","354.9334677407942","309.64322027745783","439.47647214768637","254.66666666666666","253","258","42.2036542632475","38.98418514653637","48.373928676510985","253","253","253","36.17822186444951","36.17822186444951","36.17822186444951","5248.833333333333","1833","9524","247.83787838543088","29.785127331892674","566.7371354517685","5178.333333333333","3908","6018","225.62199900387387","155.1771059844638","322.5528918933217"
"230","108152.33333333333","97404","129649","370.21862788361403","313.6356543598347","440.5393975838935","265.6666666666667","264","269","46.901410956767506","44.36748255446434","48.83771202529793","264","264","264","42.610879390695416","42.610879390695416","42.610879390695416","5582.888888888889","2024","10176","270.68875852944944","58.42042759909598","500.88550641148436","5570","4219","6629","181.52786610883956","149.44249560999256","230.037242996625"
"240","112833.66666666667","101620","135261","403.8215752677041","291.08750243339193","498.3225549127207","276.6666666666667","275","280","43.99348408958398","36.503040490776996","52.69247839011573","275","275","275","37.87685654810088","37.87685654810088","37.87685654810088","5918.111111111111","2215","10850","261.56634404994287","48.5050609668609","492.47618671917644","5961.666666666667","4530","7240","193.3952342191542","100.6522656672933","275.75148860435576"
"250","117518","105839","140876","310.61936319458727","244.16387800261583","440.6520566085224","290","288","294","43.67193949964376","41.665810689405276","47.135131114730136","288","288","288","44.017765466213696","44.017765466213696","44.017765466213696","6262.388888888889","2415","11628","238.9181827928187","21.35810815513376","534.2145496285377","6366.333333333333","4859","7869","252.761750772231","121.57336653020586","412.0194869742786"
"260","122199.33333333333","110055","146488","361.62553073925636","200.97870504942526","637.5215210292662","301","299","305","44.87317607775293","42.30754487664697","46.33007792575382","299","299","299","37.78690038708339","37.78690038708339","37.78690038708339","6659.277777777777","2666","12539","250.20298383678903","58.155753355198414","419.429490838455","6858","5320","8630","246.25870438872758","105.80677078380126","363.55814189064006"
"270","126880.66666666667","114271","152100","391.8836905194905","355.08654608959847","441.09381818808026","312","310","316","47.14548298393066","39.12862613280807","57.69408199145777","310","310","310","39.405241757257144","39.405241757257144","39.405241757257144","7056.166666666667","2917","13450","241.9353439732096","48.31584982674417","452.4829109297627","7349.666666666667","5781","9391","169.2910291385808","103.70021796543304","270.66363000175903"
"280","131562","118487","157712","383.23183039631704","289.0698906139039","522.2954630844885","323","321","327","45.847991676446384","41.3230514615759","54.42830269415027","321","321","321","44.83778731659748","44.83778731659748","44.83778731659748","7454.222222222223","3168","14361","230.99234521654995","41.81793403843626","589.6903761751045","7841.333333333333","6242","10152","187.11125946615016","104.33337681790847","312.45581845212797"
"290","136243.33333333334","122703","163324","407.10317259264303","354.35577665893396","488.88276860811624","334","332","338","44.52466199647957","38.8066578134022","50.699391554658405","332","332","332","38.13913223754825","38.13913223754825","38.13913223754825","7852.777777777777","3419","15272","251.52828309470272","52.247309246274384","497.91611075045915","8333","6703","10913","293.9577749689758","122.12723790885238","405.6427697163814"
"300","140927.66666666666","126922","168939","395.7848263204844","335.8867049761684","494.26351407580836","356","352","360","38.1287094712569","36.654684912042654","39.60273403047113","366","366","366","43.40058646573586","43.40058646573586","43.40058646573586","8830.4375","3673","16200","214.5129491748273","69.19028459969732","402.47665646560307","8838.333333333334","7182","11692","195.5141439107314","134.0621438375749","302.1462995960583"
"310","145609","131138","174551","410.5002959986526","355.3927547285564","520.1577138534346","442","363","521","46.27690209177085","42.91758177421548","49.636222409326216","577","577","577","43.72785239256389","43.72785239256389","43.72785239256389","9283.0625","3924","17261","227.74015077945282","70.32407407297622","365.8792075076737","9430","7793","12603","194.282377004001","116.88281718879198","233.63751425421523"
"320","150290.33333333334","135354","180163","337.89600049944835","286.51649721209645","435.7048043448873","528","374","682","42.0879867472683","32.629293549377685","51.54667994515892","788","788","788","43.543422813421444","43.543422813421444","43.543422813421444","9735.6875","4175","18322","267.5076629484996","67.65153408337758","404.6341858663749","10021.666666666666","8147","13514","211.18117099665417","107.53827837401582","280.04295088353547"
"330","154971.66666666666","139570","185775","321.0559005730175","267.58179275348954","404.20925150653795","614","385","843","44.1785495034217","39.5947853955096","48.7623136113338","999","999","999","45.17008363244915","45.17008363244915","45.17008363244915","10189.625","4426","19383","241.09020765185844","59.68781114607428","409.984445826911","10613.333333333334","8400","14425","139.54100247858858","63.9667611953148","270.8077735678298"
"340","159652.66666666666","143786","191386","365.1866501719265","270.58557295643203","552.1457508121971","700","396","1004","37.99164686023876","37.683628326862916","38.29966539361461","1210","1210","1210","32.56315123899864","32.56315123899864","32.56315123899864","10644.125","4677","20444","204.87239935764006","73.56605384326467","321.1588552307873","11205","8653","15336","156.77995587912804","56.02245795043484","336.0126209558345"
"350","164337","148005","197001","326.78859684477794","249.81153821424763","378.2574215747383","796","425","1167","50.13731508143607","48.820835640276606","51.45379452259554","1423","1423","1423","47.49018201303988","47.49018201303988","47.49018201303988","10782.92857142857","4931","21522","244.84136492669737","73.84032831169803","457.5480744222611","11809.666666666666","8909","16265","180.63372914722152","87.01538087294172","236.12797169619552"
"360","169018.33333333334","152221","202613","332.7717321959123","266.85234671734884","379.54430025040614","957","586","1328","59.08684880513835","50.281905534652495","67.89179207562421","1634","1634","1634","52.920997165004195","52.920997165004195","52.920997165004195","11262.214285714286","5182","22733","205.0733976191011","72.46981376319671","317.12377138322364","12501.333333333334","9162","17326","216.78913068463","123.27712891535575","335.41389660907186"
"370","173699.66666666666","156437","208225","420.51744276456066","353.67128384718495","529.5383606405251","1118","747","1489","59.251400136817765","47.35532082059124","71.14747945304428","1845","1845","1845","53.41995517776487","53.41995517776487","53.41995517776487","11741.5","5433","23944","204.64189281055425","59.37526389074519","368.9993094333394","13193","9415","18387","225.06941595296666","85.62729952697812","314.193760706429"
"380","178381","160653","213837","321.2301501515003","225.72264121943041","438.2450296763567","1279","908","1650","79.00848058659824","45.08646551668987","112.93049565650661","2056","2056","2056","42.01653708860748","42.01653708860748","42.01653708860748","12223.57142857143","5684","25155","229.42104289380765","61.15444320421352","455.3799601599255","13884.666666666666","9668","19448","199.0121904577759","152.01783084336026","251.90876907440764"
"390","192159","164869","219449","390.2326937496774","340.23284279998103","440.23254469937376","1440","1069","1811","47.095450786316974","33.55990183139045","60.63099974124349","2267","2267","2267","41.84970619957605","41.84970619957605","41.84970619957605","12707.142857142857","5935","26366","215.9716713236746","76.03765345470339","317.92580531032525","14576.333333333334","9921","20509","170.2312633601404","136.7831550787611","226.4995435028603"
"400","197076","169088","225064","355.6061354141642","332.8043360094895","378.407934818839","1603.5","1233","1974","95.40532755090554","46.83769602446234","143.97295907734875","2480","2480","2480","51.50758941329738","51.50758941329738","51.50758941329738","13198.357142857143","6189","27594","244.23683983446136","58.72238199778568","407.24339245612254","15302.333333333334","10179","21590","171.26247448004827","130.7876864041949","192.8238342761139"
"410","201990","173304","230676","348.2040390479518","313.57171752029245","382.83636057561114","1764.5","1394","2135","123.82973425102776","44.48604373484944","203.1734247672061","2692","2692","2692","49.14856034527863","49.14856034527863","49.14856034527863","13729.07142857143","6440","28955","210.45918370385283","61.26625949527262","403.90205476118905","16094","10432","22801","233.18294079379316","119.23390553658152","316.1789338789221"
"420","206904","177520","236288","426.3381762219158","333.15016329425725","519.5261891495743","1925.5","1555","2296","118.85281772788116","38.283214529066","199.42242092669633","2903","2903","2903","45.54771318408023","45.54771318408023","45.54771318408023","14259.785714285714","6691","30316","240.96507164037243","43.074920460937186","435.7944424989263","16885.666666666668","10685","24012","220.62486680774487","90.02274380625639","337.0666359052467"
"430","211818","181736","241900","472.187169313278","397.6710903930058","546.7032482335502","2086.5","1716","2457","78.8590507078024","40.853451628985205","116.8646497866196","3114","3114","3114","48.48475231674448","48.48475231674448","48.48475231674448","14790.5","6942","31677","214.84094649582025","84.6118653572269","322.8267644666662","17677.333333333332","10938","25223","215.81199680600298","142.09622620605427","274.61948085892703"
"440","216732","185952","247512","343.9023088103306","249.06162232962183","438.7429952910394","2247.5","1877","2618","92.16082314638525","54.90983902536604","129.41180726740447","3325","3325","3325","42.99598604288729","42.99598604288729","42.99598604288729","15321.214285714286","7193","33038","202.30343052034627","78.50653863610428","335.5700788336869","18469","11191","26434","188.54463105472243","157.77774107417403","213.2793674112409"
"450","221648.5","190171","253126","454.9651543806116","355.8894945241675","554.0408142370557","2411","2041","2781","141.77309471628246","40.6133527924525","242.93283664011238","3538","3538","3538","37.27870566750564","37.27870566750564","37.27870566750564","15858.857142857143","7447","34416","256.34868195991686","69.90635349243124","403.603999261083","19273","11445","27663","205.2312914870431","121.64328101836493","317.108917797481"
"460","226562.5","194387","258738","357.1717610577396","331.8692005602049","382.47432155527434","2572","2202","2942","90.87627469224694","39.945116129692934","141.80743325480094","3749","3749","3749","45.89081535425366","45.89081535425366","45.89081535425366","16441","7698","35927","198.25123288645858","61.64632543093489","401.23664474542693","20164.666666666668","11698","29024","180.55455144183796","128.36671862427357","220.8168491788553"
"470","231476.5","198603","264350","449.3783406230839","377.82229015567793","520.9343910904898","2733","2363","3103","123.93582529617339","41.596856170556855","206.27479442178992","3960","3960","3960","46.827084958941356","46.827084958941356","46.827084958941356","17023.14285714286","7949","37438","198.49117194096533","70.23729639429166","361.5629024467226","21056.333333333332","11951","30385","191.6416783201477","121.08495521943429","306.1678308888912"
"480","236390.5","202819","269962","338.14746676659456","269.9785771060756","406.3163564271135","2894","2524","3264","128.90522658931937","55.846814688361185","201.96363849027753","4171","4171","4171","44.46011878219683","44.46011878219683","44.46011878219683","17605.285714285714","8200","38949","223.953006905944","67.9449525997955","367.2185844719565","21948","12204","31746","179.6573362664084","146.03384857567053","237.4734096158375"
"490","241304.5","207035","275574","424.91328939948187","353.4484409795228","496.37813781944095","3055","2685","3425","109.15928211547246","53.040964666392874","165.27759956455205","4382","4382","4382","33.30786233404257","33.30786233404257","33.30786233404257","18187.428571428572","8451","40460","258.07061389105644","74.18308302618149","408.36440315378843","22839.666666666668","12457","33107","174.9831276601814","164.71208566847497","191.97393822988835"
"500","246221.5","211254","281189","444.3327447848494","424.3748576804581","464.29063188924073","3218.5","2849","3588","145.96209152611578","40.18880050075341","251.73538255147818","4595","4595","4595","42.98245555340629","42.98245555340629","42.98245555340629","26134.6","16424","41988","236.60688045922757","66.60634688411928","399.00592385901524","29260","24034","34486","166.67191040818756","143.71681091765282","189.6270098987223"
"510","251135.5","215470","286801","465.0208377315548","378.25095028913927","551.7907251739704","3379.5","3010","3749","188.34374285321906","43.478577249212705","333.2089084572254","4807","4807","4807","38.59575275472743","38.59575275472743","38.59575275472743","27279.6","17335","43649","216.13324646359268","76.60707128017638","391.5757712474604","30621","25245","35997","167.69696518656238","108.51678835262463","226.87714202050014"
"520","256049.5","219686","292413","428.9507769245138","395.21710167827666","462.68445217075083","3540.5","3171","3910","137.10517202505144","40.274291682647785","233.93605236745512","5018","5018","5018","42.910362533748945","42.910362533748945","42.910362533748945","28424.6","18246","45310","245.37362840560363","88.25629707985594","413.5628818366329","31982","26456","37508","196.4877656171244","106.47324634467478","286.50228488957407"
"530","260963.5","223902","298025","380.8739531407182","291.830792377959","469.9171139034773","3701.5","3332","4071","105.56892803932053","35.830019461412114","175.30783661722893","5229","5229","5229","34.93200842173626","34.93200842173626","34.93200842173626","29569.6","19157","46971","249.7653173379863","62.540621805161706","391.15422766145537","33343","27667","39019","144.02428449542023","120.03147538798133","168.01709360285915"
"540","265877.5","228118","303637","403.2915863682855","312.4984278143166","494.08474492225446","3862.5","3493","4232","243.09347380991426","38.348991855784696","447.83795576404384","5440","5440","5440","44.273225825200434","44.273225825200434","44.273225825200434","31949","20068","48632","202.10053323305812","69.79766012115849","349.19381504703284","34704","28878","40530","149.14847848803083","104.5138462943255","193.7831106817362"
"550","270794.5","232337","309252","416.88340147881894","396.1907186591731","437.57608429846476","4026","3657","4395","138.34039336038305","54.068016297977074","222.612770422789","5653","5653","5653","46.96720720461361","46.96720720461361","46.96720720461361","33211.5","20997","50310","234.59505334189032","75.22030238591975","306.38536478100997","36083","30107","42059","154.61896842450466","137.1983025016176","172.03963434739168"
"560","275708","236553","314863","370.7240244800568","250.8962747460702","490.55177421404346","4187","3818","4556","172.83604458625837","55.304566846679265","290.36752232583746","5864","5864","5864","40.46325835278862","40.46325835278862","40.46325835278862","34572.5","22058","52121","266.0995455509333","94.19730809077531","396.20867665381957","37594","31468","43720","174.28293141641268","94.56907084514427","253.9967919876811"
"570","280622","240769","320475","346.08831146070327","312.76712728491583","379.4094956364907","4348","3979","4717","192.72273932370706","42.98910165493289","342.45637699248124","6075","6075","6075","56.44083092143223","56.44083092143223","56.44083092143223","35933.5","23119","53932","208.3735104796365","79.82604225549231","265.83661620026663","39105","32829","45381","259.8825751055534","195.96514976158244","323.8000004495245"
"580","285536","244985","326087","332.73606651504076","228.1001828934818","437.37195013659976","4509","4140","4878","104.50515486654224","50.036181068889185","158.9741286641953","6286","6286","6286","51.60217775867151","51.60217775867151","51.60217775867151","37294.5","24180","55743","201.74840160189441","62.0047210998219","294.98305965707925","40616","34190","47042","186.54682868448685","158.23169993062993","214.86195743834378"
"590","290450","249201","331699","402.1892493338212","309.1527968152003","495.22570185244206","4670","4301","5039","144.18884894422195","52.26018774392733","236.11751014451656","","","","","","","38655.5","25241","57554","164.83403965339855","67.1644595498167","328.3717384306237","42127","35551","48703","157.1718963127126","97.71565937469427","216.6281332507309"
"600","295367","253420","337314","366.69693756359203","353.83998524675303","379.55388988043103","4833.5","4465","5202","129.8638968780175","44.05816775297314","215.66962600306186","","","","","","","40034.25","26320","59382","241.59286803780142","75.30191635748689","435.80845865618875","43707","37030","50384","147.33941206205765","120.81072136198242","173.8681027621329"
"610","300281","257636","342926","345.3109115798454","312.195007926117","378.42681523357385","4994.5","4626","5363","131.9951666688702","46.9335549912404","217.0567783465","","","","","","","41545.25","27531","61343","167.83273212284493","78.29168845084766","223.6822836939115","45368","38541","52195","156.77342203012302","91.32683561995505","222.220008440291"
"620","305195","261852","348538","386.4623747576726","333.59556089815396","439.3291886171912","5155.5","4787","5524","80.31828377791393","48.7201699444638","111.91639761136406","","","","","","","43056.25","28742","63304","249.46305196088045","81.77460378663535","410.56126239942444","47029","40052","54006","199.52329411787656","113.86590433822974","285.18068389752335"
"630","310109","266068","354150","372.6682893385092","334.484221472131","410.85235720488737","5316.5","4948","5685","105.65466371470805","55.11423071551688","156.19509671389923","","","","","","","44567.25","29953","65265","240.19294953905845","75.44899408475517","386.06966533866205","48690","41563","55817","234.09340698402173","160.25373793313796","307.93307603490547"
"640","315023","270284","359762","316.29986445607545","294.92949258596786","337.67023632618304","5477.5","5109","5846","84.65188818034845","63.47313584568895","105.83064051500796","","","","","","","46078.25","31164","67226","247.33492178329806","76.95532665259195","400.91331326263787","50351","43074","57628","227.24789678172363","155.41795948126483","299.07783408218245"
"650","319940","274503","365377","470.67087260999295","417.6006269396611","523.7411182803248","5648.5","5273","6024","65.32010748916568","39.70710780590992","90.93310717242143","","","","","","","47607","32393","69204","263.9247463768242","76.08859414186038","372.52293759713285","52030","44603","59457","224.212363985479","170.69932911606267","277.72539885489533"
"660","324854","278719","370989","368.5470494648562","353.2080122258234","383.8860867038889","5884.5","5434","6335","144.14252781367767","47.939201613845334","240.34585401351003","","","","","","","49268","33754","71315","203.70967446195567","77.43719900154477","343.4722503092878","53841","46264","61418","227.48601636988118","169.80378795352675","285.1682447862356"
"670","329767.5","282935","376600","332.2997101418539","313.3788728879987","351.2205473957091","6120.5","5595","6646","208.08849064057404","43.48627706772672","372.6907042134213","","","","","","","50929","35115","73426","164.27578766013033","75.09755809204954","248.23415856874072","55652","47925","63379","212.9495179498013","138.17589968619046","287.72313621341215"
"680","334681.5","287151","382212","372.90745401385266","335.6476179476398","410.1672900800655","6356.5","5756","6957","137.016873292557","56.634274900274846","217.39947168483914","","","","","","","52590","36476","75537","218.02301828701295","74.18565607407905","397.54113327144086","57463","49586","65340","219.25037954655508","141.88337630587387","296.6173827872363"
"690","339595.5","291367","387824","405.72819486645733","375.2831305903523","436.17325914256236","6592.5","5917","7268","110.15756016376886","44.85131572752859","175.46380460000913","","","","","","","54251","37837","77648","268.106738952092","79.96352823192699","397.4820498678862","59274","51247","67301","191.54020191959336","148.36734839225437","234.71305544693237"
"700","344512.5","295586","393439","394.81723684546614","354.1598893073923","435.47458438353993","6831","6081","7581","80.08647410062292","51.97161254168551","108.20133565956033","","","","","","","55926","39201","79776","202.0719488472649","72.05233945068889","273.6388857291776","69280","69280","69280","179.15116724858638","179.15116724858638","179.15116724858638"
"710","349426.5","299802","399051","444.04522926075197","334.5555079108952","553.5349506106087","7067","6242","7892","105.9160156721953","50.098601102089226","161.73343024230138","","","","","","","57699.5","40562","82037","196.66666592893992","64.70525685118538","324.6963786799755","71391","71391","71391","184.1757044786701","184.1757044786701","184.1757044786701"
"720","354340.5","304018","404663","425.54913842626365","354.9719308735204","496.1263459790069","7303","6403","8203","242.3350315581586","46.776546389126345","437.89351672719084","","","","","","","59473","41923","84298","206.51910554441184","74.02110430188081","274.32280796622507","73502","73502","73502","155.70286270968214","155.70286270968214","155.70286270968214"
"730","359254.5","308234","410275","431.9427039350819","396.8577106688537","467.02769720131016","7539","6564","8514","204.65419662994867","43.77190702490585","365.5364862349915","","","","","","","61246.5","43284","86559","181.33876461843542","47.61785151391937","266.0807487510936","75613","75613","75613","110.48554008271232","110.48554008271232","110.48554008271232"
"740","364168.5","312450","415887","509.5679034105948","444.0211738088808","575.1146330123088","7775","6725","8825","161.43090024641194","43.87380414272054","278.98799635010334","","","","","","","63020","44645","88820","205.1240374746399","79.18992899982284","347.0621264980189","77724","77724","77724","134.40138579430598","134.40138579430598","134.40138579430598"
"750","369085.5","316669","421502","405.25892554985705","310.75801309222504","499.75983800748907","8021","6904","9138","272.1923733457266","52.40377740919994","491.9809692822533","","","","","","","69068.66666666667","46024","91098","180.11720318737795","73.71078693619852","247.34393216186848","","","","","",""
"760","373999.5","320885","427114","329.18503538608434","325.7879860057748","332.58208476639385","8332","7215","9449","182.63964377951393","49.62746709812708","315.6518204609008","","","","","","","71079.66666666667","47535","93509","193.41383419187153","71.83796220983254","262.610878963138","","","","","",""
"770","378913.5","325101","432726","388.728047953705","313.42040388816827","464.03569201924176","8643","7526","9760","185.63677972605313","47.05828115518082","324.2152782969255","","","","","","","73090.66666666667","49046","95920","219.0887558938822","63.90573127916608","375.7365758725147","","","","","",""
