"epoch","Schedule: true - _step","Schedule: true - _step__MIN","Schedule: true - _step__MAX","Schedule: true - test reward","Schedule: true - test reward__MIN","Schedule: true - test reward__MAX","Schedule: false - _step","Schedule: false - _step__MIN","Schedule: false - _step__MAX","Schedule: false - test reward","Schedule: false - test reward__MIN","Schedule: false - test reward__MAX","Schedule: interval - _step","Schedule: interval - _step__MIN","Schedule: interval - _step__MAX","Schedule: interval - test reward","Schedule: interval - test reward__MIN","Schedule: interval - test reward__MAX","Schedule: fixed - _step","Schedule: fixed - _step__MIN","Schedule: fixed - _step__MAX","Schedule: fixed - test reward","Schedule: fixed - test reward__MIN","Schedule: fixed - test reward__MAX","Schedule: adaptive - _step","Schedule: adaptive - _step__MIN","Schedule: adaptive - _step__MAX","Schedule: adaptive - test reward","Schedule: adaptive - test reward__MIN","Schedule: adaptive - test reward__MAX"
"100","628","628","628","277.0875444866538","277.0875444866538","277.0875444866538","628","627","630","151.66383366835774","14.735630763772871","403.79962831258877","123","123","123","191.71314623167078","78.0869477997695","269.9218065885142","122","122","122","188.99462375692008","137.24111388689593","267.4735103201307","172","172","172","248.6961495547203","166.30132287976295","402.28335494194687"
"110","690","690","690","108.62988803785716","108.62988803785716","108.62988803785716","690","689","692","177.2407408211503","18.729597100862343","401.76159274098035","136","136","136","182.98354827654939","101.76811707152137","298.4521042326837","134","134","134","254.67437080035398","136.70249873134958","332.3665043467785","189","189","189","184.8676922561113","106.23610502731015","302.7801129352623"
"120","752","752","752","316.8284394265378","316.8284394265378","316.8284394265378","752","751","754","185.60957129500693","21.731343366833904","365.98936944446604","148","148","148","178.97005640929245","74.39415783689655","237.52878524142466","146","146","146","202.92740578464822","72.17204257766416","270.4122389974669","206","206","206","174.39099976145616","103.70948663497529","272.6703584267359"
"130","814","814","814","318.3419367691351","318.3419367691351","318.3419367691351","814","813","816","154.7392473472947","16.69119060848346","317.05452433594166","160","160","160","184.82261095695907","102.74085501324082","274.13624442382957","158","158","158","268.07025863964145","168.07597045007023","365.7318408635257","223","223","223","233.07977538208027","168.94490416021972","273.2833882773455"
"140","876","876","876","186.93432847618206","186.93432847618206","186.93432847618206","876","875","878","174.8147485938691","16.854200160395585","369.9343567895354","172","172","172","248.7660302098057","174.68268030585205","399.5604319247913","170","170","170","246.88620304637448","131.06986473578186","328.8294303756781","240","240","240","244.98045647683713","174.7456290969928","302.42827966585116"
"150","938","938","938","274.1960067916702","274.1960067916702","274.1960067916702","938.3333333333334","937","941","152.38831633642897","20.241072141729116","315.34075647930865","184","184","184","223.4341641694563","136.2167474582054","333.20501126639164","182","182","182","209.85398070364514","103.54997009150051","336.1302684510972","257","257","257","234.93616185938063","137.24779952184824","301.2709970812583"
"160","1000","1000","1000","362.2982737829699","362.2982737829699","362.2982737829699","1000.3333333333334","999","1003","144.0439369719941","15.596435178321892","367.68533472087626","197","197","197","243.29524414983388","172.08456595216205","399.8872695555431","194","194","194","228.0749298818045","132.646516350755","269.56297757681926","274","274","274","220.14959144801765","102.10603686094574","367.21860259015637"
"170","1062","1062","1062","356.8865440215779","356.8865440215779","356.8865440215779","1062.3333333333333","1061","1065","175.95965014926776","16.53628279172993","492.8433624814952","209","209","209","262.2516940208443","235.1055331290072","307.6431971379069","206","206","206","255.74263292496016","173.5302921504962","332.8633601542023","291","291","291","252.21011820866164","176.05386535123114","331.5999028065637"
"180","1124","1124","1124","152.46468810435087","152.46468810435087","152.46468810435087","1124.3333333333333","1123","1127","196.78601433217554","12.397792013154882","444.86670562887974","221","221","221","214.99164501453637","103.88919241139271","298.8663630379604","218","218","218","264.6744277861646","168.6564372656444","369.5665476407661","308","308","308","226.25160883645307","103.6130583451043","332.9715955388405"
"190","1186","1186","1186","317.7336879898381","317.7336879898381","317.7336879898381","1186.3333333333333","1185","1189","194.09233712886748","17.739335733571195","392.8366276309648","233","233","233","269.6163437701871","208.1775827761891","369.8467251232577","230","230","230","261.1161059686742","167.50028853476326","335.7684290377663","325","325","325","241.60709279824357","133.79123705864367","362.63204380508404"
"200","1250","1250","1250","190.78982003340388","190.78982003340388","190.78982003340388","1248.6666666666667","1247","1252","156.220045137551","18.478717036550456","286.5550265585754","245","245","245","210.0019879339994","96.98895959763856","270.8956131635954","242","242","242","257.328828497312","173.42552324627326","335.98854362811346","342","342","342","223.98827828835005","135.32453811615682","367.127248275539"
"210","1312","1312","1312","189.77206399207373","189.77206399207373","189.77206399207373","1310.6666666666667","1309","1314","180.55758594200972","14.776593635776369","358.65804453340303","258","258","258","196.78806574104334","133.4423527115328","238.37559153310582","254","254","254","289.66437675338386","171.03115533841353","400.6446934154649","359","359","359","202.2692545017263","137.64141083462727","301.580402845689"
"220","1374","1374","1374","230.80819255920787","230.80819255920787","230.80819255920787","1372.6666666666667","1371","1376","187.9997663639415","16.53628505439436","368.47055416400684","270","270","270","201.9754317170677","108.04921675620153","396.7284185101929","266","266","266","234.8780149927949","104.2458961954471","338.3499892900472","376","376","376","255.20037244096363","136.27350479786207","432.96953007448417"
"230","1436","1436","1436","148.08746026456012","148.08746026456012","148.08746026456012","1434.6666666666667","1433","1438","201.744861456659","14.578547482024188","409.57471727200925","282","282","282","190.18752897457767","103.58060132981056","237.43655201301468","278","278","278","254.6745091698952","169.69199798535698","303.41228200108276","393","393","393","211.1431203617358","140.22292560174787","300.1482100217839"
"240","1498","1498","1498","271.5737715004248","271.5737715004248","271.5737715004248","1496.6666666666667","1495","1500","193.63209280637906","15.310657225875493","406.0755254198458","294","294","294","236.51128014289833","105.41739632796266","362.5904622876018","290","290","290","272.28544155816684","133.0540826036157","363.0036598959817","410","410","410","227.4976361578807","135.52213286653313","304.63692354733956"
"250","1560","1560","1560","146.15020366564323","146.15020366564323","146.15020366564323","1559","1557","1563","172.90377027823422","16.4317636020047","360.86019029846204","306","306","306","189.32689463781534","72.42396949486813","267.767767683065","302","302","302","222.69192879283577","134.70390387548244","335.7010310826314","427","427","427","198.3530389104161","137.32345166434717","264.8985523469406"
"260","1622","1622","1622","313.6099785440933","313.6099785440933","313.6099785440933","1621","1619","1625","174.92266004928732","16.684774606351276","364.17353997998833","319","319","319","268.5105235125822","139.9143586513279","397.2460128836047","314","314","314","210.71252222111508","109.9497746107003","270.9967207536212","444","444","444","243.31365540092307","169.90139244477285","303.3358906040709"
"270","1684","1684","1684","317.6038675671289","317.6038675671289","317.6038675671289","1683","1681","1687","194.12970924192976","17.916752047375535","365.4570299256003","331","331","331","222.52910941207284","166.95502184450055","271.9235092612197","326","326","326","245.54665908900566","200.72215645424748","360.24224745045916","461","461","461","231.2870618818012","201.50136525468173","267.5610051682612"
"280","1746","1746","1746","100.69568336573346","100.69568336573346","100.69568336573346","1745","1743","1749","182.78266936247573","20.43912844196639","360.61454354710156","343","343","343","245.70069856669426","143.98485267217464","303.6124536479469","338","338","338","223.20505239566705","136.05412898811815","366.62495965295705","478","478","478","255.4541805884438","132.00634243880353","365.9200246979257"
"290","1808","1808","1808","270.7289306097831","270.7289306097831","270.7289306097831","1807","1805","1811","167.96372680582212","16.982281320305407","317.5325649439545","355","355","355","216.0215186552976","170.62518449984228","331.1811597828896","350","350","350","320.3216375159207","135.38484744796065","465.8351931572194","495","495","495","250.62059030184122","132.81423625730744","398.09651490075873"
"300","1872","1872","1872","448.5213250599976","448.5213250599976","448.5213250599976","1867","1867","1867","255.97182471651672","151.73959598327014","413.4816529670866","","","","","","","","","","","","","","","","","",""
"310","1934","1934","1934","273.27298739209857","273.27298739209857","273.27298739209857","1929","1929","1929","361.1355117113718","277.1692057044339","445.2346849733608","","","","","","","","","","","","","","","","","",""
"320","1996","1996","1996","232.76631229403515","232.76631229403515","232.76631229403515","1991","1991","1991","320.33054782628733","234.07474110759176","402.58976966448284","","","","","","","","","","","","","","","","","",""
"330","2058","2058","2058","533.955884350107","533.955884350107","533.955884350107","2053","2053","2053","273.0226546783721","184.74367160460602","401.14357765771626","","","","","","","","","","","","","","","","","",""
"340","2120","2120","2120","318.3191926778187","318.3191926778187","318.3191926778187","2115","2115","2115","241.2464868721494","58.98104253902344","397.19675077780187","","","","","","","","","","","","","","","","","",""
"350","2182","2182","2182","364.68071806894557","364.68071806894557","364.68071806894557","2177","2177","2177","344.5619357144254","278.3535364027881","413.27121391893917","","","","","","","","","","","","","","","","","",""
"360","2244","2244","2244","272.55701041075025","272.55701041075025","272.55701041075025","2239","2239","2239","200.13709240833137","152.53148379642343","231.70232308897909","","","","","","","","","","","","","","","","","",""
"370","2306","2306","2306","408.4991442019944","408.4991442019944","408.4991442019944","2301","2301","2301","286.8280913683901","274.70298930914","320.1831779487728","","","","","","","","","","","","","","","","","",""
"380","2368","2368","2368","233.2318218926022","233.2318218926022","233.2318218926022","2363","2363","2363","187.2645268794364","151.05961896747723","224.77698664252176","","","","","","","","","","","","","","","","","",""
"390","2430","2430","2430","230.85237973425689","230.85237973425689","230.85237973425689","2425","2425","2425","276.4805528541335","191.29424976319245","360.6802168067195","","","","","","","","","","","","","","","","","",""
"400","2494","2494","2494","272.0716081505705","272.0716081505705","272.0716081505705","2487","2487","2487","256.48621442162676","190.71898088366518","279.514278808408","","","","","","","","","","","","","","","","","",""
"410","2556","2556","2556","275.49288841286415","275.49288841286415","275.49288841286415","2549","2549","2549","275.8143490449372","144.08761103628595","449.6608570775587","","","","","","","","","","","","","","","","","",""
"420","2618","2618","2618","281.23670301354935","281.23670301354935","281.23670301354935","2611","2611","2611","382.1510858178383","324.025612900181","485.6663708212265","","","","","","","","","","","","","","","","","",""
"430","2680","2680","2680","276.0376214259421","276.0376214259421","276.0376214259421","2673","2673","2673","444.0976507092565","358.66314569923907","524.8253026717667","","","","","","","","","","","","","","","","","",""
"440","2742","2742","2742","274.61355303023726","274.61355303023726","274.61355303023726","2735","2735","2735","316.5129858496116","232.15215694767116","397.6423723890499","","","","","","","","","","","","","","","","","",""
"450","2804","2804","2804","234.82258529130587","234.82258529130587","234.82258529130587","2797","2797","2797","392.63095034068","362.79496024732373","404.1975605225003","","","","","","","","","","","","","","","","","",""
"460","2866","2866","2866","408.106612843196","408.106612843196","408.106612843196","2859","2859","2859","310.8623872872822","275.8904527989465","325.42752704985185","","","","","","","","","","","","","","","","","",""
"470","2928","2928","2928","278.10826762042325","278.10826762042325","278.10826762042325","2921","2921","2921","328.4802160568078","275.64492829799235","404.4122803380982","","","","","","","","","","","","","","","","","",""
"480","2990","2990","2990","285.17222654543656","285.17222654543656","285.17222654543656","2983","2983","2983","277.78423117227345","198.55762522697665","359.89077699825646","","","","","","","","","","","","","","","","","",""
"490","3052","3052","3052","233.97492499387312","233.97492499387312","233.97492499387312","3045","3045","3045","317.1883595999919","231.3279102733448","406.26476343892574","","","","","","","","","","","","","","","","","",""
