"Step","autumn-frost-44 - test/returns_stat/mean","autumn-frost-44 - test/returns_stat/mean__MIN","autumn-frost-44 - test/returns_stat/mean__MAX","efficient-morning-37 - test/returns_stat/mean","efficient-morning-37 - test/returns_stat/mean__MIN","efficient-morning-37 - test/returns_stat/mean__MAX","resilient-blaze-24 - test/returns_stat/mean","resilient-blaze-24 - test/returns_stat/mean__MIN","resilient-blaze-24 - test/returns_stat/mean__MAX"
"768","","","","61.034767150878906","61.034767150878906","61.034767150878906","","",""
"771","276.1455078125","276.1455078125","276.1455078125","","","","","",""
"797","","","","","","","84.52434539794922","84.52434539794922","84.52434539794922"
"798","","","","85.66685485839844","85.66685485839844","85.66685485839844","","",""
"799","249.5287322998047","249.5287322998047","249.5287322998047","","","","","",""
"826","","","","","","","161.18182373046875","161.18182373046875","161.18182373046875"
"827","55.11166763305664","55.11166763305664","55.11166763305664","","","","","",""
"828","","","","77.5458984375","77.5458984375","77.5458984375","","",""
"855","154.27886962890625","154.27886962890625","154.27886962890625","","","","","",""
"856","","","","90.4483413696289","90.4483413696289","90.4483413696289","","",""
"880","45.10857391357422","45.10857391357422","45.10857391357422","","","","","",""
"886","","","","95.64515686035156","95.64515686035156","95.64515686035156","","",""
"906","402.107421875","402.107421875","402.107421875","","","","","",""
"916","","","","40.749996185302734","40.749996185302734","40.749996185302734","","",""
"932","35.72052001953125","35.72052001953125","35.72052001953125","","","","","",""
"946","","","","89.09429931640625","89.09429931640625","89.09429931640625","","",""
"959","153.84835815429688","153.84835815429688","153.84835815429688","","","","","",""
"975","","","","78.91146850585938","78.91146850585938","78.91146850585938","","",""
"988","28.594402313232422","28.594402313232422","28.594402313232422","","","","","",""
"1004","","","","130.22218322753906","130.22218322753906","130.22218322753906","","",""
"1014","206.41407775878906","206.41407775878906","206.41407775878906","","","","","",""
"1034","","","","112.97725677490234","112.97725677490234","112.97725677490234","","",""
"1042","303.3379211425781","303.3379211425781","303.3379211425781","","","","","",""
"1063","","","","54.541011810302734","54.541011810302734","54.541011810302734","","",""
"1070","34.677490234375","34.677490234375","34.677490234375","","","","","",""
"1093","","","","69.25999450683594","69.25999450683594","69.25999450683594","","",""
"1099","53.845855712890625","53.845855712890625","53.845855712890625","","","","","",""
"1122","","","","92.36135864257812","92.36135864257812","92.36135864257812","","",""
"1128","44.1705207824707","44.1705207824707","44.1705207824707","","","","","",""
"1152","","","","70.45390319824219","70.45390319824219","70.45390319824219","","",""
"1157","31.694461822509766","31.694461822509766","31.694461822509766","","","","","",""
"1181","","","","53.73862075805664","53.73862075805664","53.73862075805664","","",""
"1185","39.83280944824219","39.83280944824219","39.83280944824219","","","","","",""
"1211","","","","90.95916748046875","90.95916748046875","90.95916748046875","","",""
"1215","38.712646484375","38.712646484375","38.712646484375","","","","","",""
"1240","","","","104.57174682617188","104.57174682617188","104.57174682617188","","",""
"1243","35.602867126464844","35.602867126464844","35.602867126464844","","","","","",""
"1270","","","","112.59191131591797","112.59191131591797","112.59191131591797","","",""
"1271","32.29049301147461","32.29049301147461","32.29049301147461","","","","","",""
"1299","","","","70.20472717285156","70.20472717285156","70.20472717285156","","",""
"1301","36.14373016357422","36.14373016357422","36.14373016357422","","","","","",""
"1328","59.062538146972656","59.062538146972656","59.062538146972656","","","","","",""
"1329","","","","78.81533813476562","78.81533813476562","78.81533813476562","","",""
"1355","117.52665710449219","117.52665710449219","117.52665710449219","","","","","",""
"1359","","","","130.1788787841797","130.1788787841797","130.1788787841797","","",""
"1385","77.34490966796875","77.34490966796875","77.34490966796875","","","","","",""
"1389","","","","64.76838684082031","64.76838684082031","64.76838684082031","","",""
"1413","62.10110092163086","62.10110092163086","62.10110092163086","","","","","",""
"1419","","","","115.6422119140625","115.6422119140625","115.6422119140625","","",""
"1442","119.17869567871094","119.17869567871094","119.17869567871094","","","","","",""
"1448","","","","83.72322845458984","83.72322845458984","83.72322845458984","","",""
"1468","54.03791427612305","54.03791427612305","54.03791427612305","","","","","",""
"1477","","","","96.84709930419922","96.84709930419922","96.84709930419922","","",""
"1490","118.46194458007812","118.46194458007812","118.46194458007812","","","","","",""
"1515","224.85476684570312","224.85476684570312","224.85476684570312","","","","","",""
"1543","31.964513778686523","31.964513778686523","31.964513778686523","","","","","",""
"1568","267.8579406738281","267.8579406738281","267.8579406738281","","","","","",""
"1591","237.80467224121094","237.80467224121094","237.80467224121094","","","","","",""
"1615","159.33541870117188","159.33541870117188","159.33541870117188","","","","","",""
"1639","248.1444854736328","248.1444854736328","248.1444854736328","","","","","",""
"1667","27.483945846557617","27.483945846557617","27.483945846557617","","","","","",""
"1697","279.232421875","279.232421875","279.232421875","","","","","",""
