"Step","solar-fog-35 - test/lens_stat/mean","solar-fog-35 - test/lens_stat/mean__MIN","solar-fog-35 - test/lens_stat/mean__MAX","summer-bee-34 - test/lens_stat/mean","summer-bee-34 - test/lens_stat/mean__MIN","summer-bee-34 - test/lens_stat/mean__MAX"
"719","96.69999694824219","96.69999694824219","96.69999694824219","","",""
"722","","","","62.400001525878906","62.400001525878906","62.400001525878906"
"749","90.69999694824219","90.69999694824219","90.69999694824219","142.89999389648438","142.89999389648438","142.89999389648438"
"775","","","","244.10000610351562","244.10000610351562","244.10000610351562"
"776","104.5","104.5","104.5","","",""
"799","","","","85.4000015258789","85.4000015258789","85.4000015258789"
"806","82.69999694824219","82.69999694824219","82.69999694824219","","",""
"826","","","","99.5999984741211","99.5999984741211","99.5999984741211"
"835","82.0999984741211","82.0999984741211","82.0999984741211","","",""
"853","","","","95","95","95"
"862","650","650","650","","",""
"882","","","","77.80000305175781","77.80000305175781","77.80000305175781"
"887","119.69999694824219","119.69999694824219","119.69999694824219","","",""
"911","","","","93.19999694824219","93.19999694824219","93.19999694824219"
"915","568.2000122070312","568.2000122070312","568.2000122070312","","",""
"940","","","","78.30000305175781","78.30000305175781","78.30000305175781"
"942","130.8000030517578","130.8000030517578","130.8000030517578","","",""
"969","","","","74.30000305175781","74.30000305175781","74.30000305175781"
"970","352.79998779296875","352.79998779296875","352.79998779296875","","",""
"997","","","","102.9000015258789","102.9000015258789","102.9000015258789"
"998","215.5","215.5","215.5","","",""
"1026","161.8000030517578","161.8000030517578","161.8000030517578","","",""
"1027","","","","91.5","91.5","91.5"
"1051","280.20001220703125","280.20001220703125","280.20001220703125","","",""
"1057","","","","74.4000015258789","74.4000015258789","74.4000015258789"
"1077","325.1000061035156","325.1000061035156","325.1000061035156","","",""
"1085","","","","329.29998779296875","329.29998779296875","329.29998779296875"
"1105","463.1000061035156","463.1000061035156","463.1000061035156","","",""
"1112","","","","265.29998779296875","265.29998779296875","265.29998779296875"
"1128","817.7000122070312","817.7000122070312","817.7000122070312","","",""
"1138","","","","386.8999938964844","386.8999938964844","386.8999938964844"
"1154","258.5","258.5","258.5","","",""
"1166","","","","368.29998779296875","368.29998779296875","368.29998779296875"
"1178","813.4000244140625","813.4000244140625","813.4000244140625","","",""
"1188","","","","209","209","209"
"1198","409.70001220703125","409.70001220703125","409.70001220703125","","",""
"1212","","","","453.6000061035156","453.6000061035156","453.6000061035156"
"1218","442.3999938964844","442.3999938964844","442.3999938964844","","",""
"1239","","","","199.6999969482422","199.6999969482422","199.6999969482422"
"1245","111.80000305175781","111.80000305175781","111.80000305175781","","",""
"1264","","","","204.1999969482422","204.1999969482422","204.1999969482422"
"1268","261","261","261","","",""
"1291","","","","124.5999984741211","124.5999984741211","124.5999984741211"
"1292","281.79998779296875","281.79998779296875","281.79998779296875","","",""
"1317","","","","215","215","215"
"1319","76.30000305175781","76.30000305175781","76.30000305175781","","",""
"1344","593.2000122070312","593.2000122070312","593.2000122070312","","",""
"1368","375.70001220703125","375.70001220703125","375.70001220703125","","",""
"1391","513.2999877929688","513.2999877929688","513.2999877929688","","",""
"1415","914.2000122070312","914.2000122070312","914.2000122070312","","",""
"1435","816.7999877929688","816.7999877929688","816.7999877929688","","",""
"1458","318.6000061035156","318.6000061035156","318.6000061035156","","",""
"1483","818.4000244140625","818.4000244140625","818.4000244140625","","",""
"1507","257.20001220703125","257.20001220703125","257.20001220703125","","",""
"1535","903","903","903","","",""
"1558","400.1000061035156","400.1000061035156","400.1000061035156","","",""
"1584","429.6000061035156","429.6000061035156","429.6000061035156","","",""
