"Step","worldly-morning-45 - test/returns_stat/mean","worldly-morning-45 - test/returns_stat/mean__MIN","worldly-morning-45 - test/returns_stat/mean__MAX"
"0","18.183551788330078","18.183551788330078","18.183551788330078"
"28","18.47157859802246","18.47157859802246","18.47157859802246"
"59","19.451099395751953","19.451099395751953","19.451099395751953"
"88","18.108522415161133","18.108522415161133","18.108522415161133"
"119","11.597886085510254","11.597886085510254","11.597886085510254"
"147","16.014759063720703","16.014759063720703","16.014759063720703"
"178","18.00370216369629","18.00370216369629","18.00370216369629"
"207","26.993072509765625","26.993072509765625","26.993072509765625"
"238","14.783893585205078","14.783893585205078","14.783893585205078"
"268","20.00806999206543","20.00806999206543","20.00806999206543"
"299","20.23444175720215","20.23444175720215","20.23444175720215"
"327","16.38343620300293","16.38343620300293","16.38343620300293"
"356","51.98351287841797","51.98351287841797","51.98351287841797"
"387","36.016910552978516","36.016910552978516","36.016910552978516"
"414","106.06832122802734","106.06832122802734","106.06832122802734"
"440","37.1469841003418","37.1469841003418","37.1469841003418"
"470","80.16905975341797","80.16905975341797","80.16905975341797"
"495","81.04796600341797","81.04796600341797","81.04796600341797"
"516","114.86583709716797","114.86583709716797","114.86583709716797"
"539","50.680702209472656","50.680702209472656","50.680702209472656"
"561","338.6319885253906","338.6319885253906","338.6319885253906"
"584","110.80548858642578","110.80548858642578","110.80548858642578"
"612","122.7993392944336","122.7993392944336","122.7993392944336"
"635","40.9826545715332","40.9826545715332","40.9826545715332"
"660","516.23876953125","516.23876953125","516.23876953125"
"685","87.05438995361328","87.05438995361328","87.05438995361328"
"710","103.26258850097656","103.26258850097656","103.26258850097656"
"734","550.1378173828125","550.1378173828125","550.1378173828125"
"755","56.44999694824219","56.44999694824219","56.44999694824219"
"780","387.9805908203125","387.9805908203125","387.9805908203125"
"805","409.5732421875","409.5732421875","409.5732421875"
"830","45.28109359741211","45.28109359741211","45.28109359741211"
"854","77.02925109863281","77.02925109863281","77.02925109863281"
"876","599.0770263671875","599.0770263671875","599.0770263671875"
"901","54.47296905517578","54.47296905517578","54.47296905517578"
"924","349.6309814453125","349.6309814453125","349.6309814453125"
"949","52.31282043457031","52.31282043457031","52.31282043457031"
"978","56.20695877075195","56.20695877075195","56.20695877075195"
"1002","121.8130874633789","121.8130874633789","121.8130874633789"
"1026","485.4093017578125","485.4093017578125","485.4093017578125"
"1051","22.388748168945312","22.388748168945312","22.388748168945312"
"1079","42.49978256225586","42.49978256225586","42.49978256225586"
"1104","527.0465087890625","527.0465087890625","527.0465087890625"
"1129","96.2764663696289","96.2764663696289","96.2764663696289"
"1155","70.05892181396484","70.05892181396484","70.05892181396484"
"1179","52.923152923583984","52.923152923583984","52.923152923583984"
"1206","104.17894744873047","104.17894744873047","104.17894744873047"
"1235","148.95452880859375","148.95452880859375","148.95452880859375"
"1261","47.22599411010742","47.22599411010742","47.22599411010742"
"1289","63.75699996948242","63.75699996948242","63.75699996948242"
"1319","133.18508911132812","133.18508911132812","133.18508911132812"
"1344","488.4483337402344","488.4483337402344","488.4483337402344"
"1370","50.66664123535156","50.66664123535156","50.66664123535156"
"1399","43.23030471801758","43.23030471801758","43.23030471801758"
"1427","49.84633255004883","49.84633255004883","49.84633255004883"
"1455","43.91181182861328","43.91181182861328","43.91181182861328"
"1480","581.144287109375","581.144287109375","581.144287109375"
"1506","88.70748901367188","88.70748901367188","88.70748901367188"
"1532","78.87947082519531","78.87947082519531","78.87947082519531"
"1557","37.84640884399414","37.84640884399414","37.84640884399414"
"1580","37.162017822265625","37.162017822265625","37.162017822265625"
"1607","30.261459350585938","30.261459350585938","30.261459350585938"
"1634","31.407203674316406","31.407203674316406","31.407203674316406"
"1659","154.288818359375","154.288818359375","154.288818359375"
"1689","36.86172103881836","36.86172103881836","36.86172103881836"
"1717","33.7343635559082","33.7343635559082","33.7343635559082"
"1746","42.40537643432617","42.40537643432617","42.40537643432617"
"1773","46.725975036621094","46.725975036621094","46.725975036621094"
"1798","40.53336715698242","40.53336715698242","40.53336715698242"
"1826","31.49795913696289","31.49795913696289","31.49795913696289"
"1855","56.053955078125","56.053955078125","56.053955078125"
"1880","88.78948974609375","88.78948974609375","88.78948974609375"
"1910","51.38072967529297","51.38072967529297","51.38072967529297"
"1939","54.94058609008789","54.94058609008789","54.94058609008789"
"1966","474.3019714355469","474.3019714355469","474.3019714355469"
"1995","39.636940002441406","39.636940002441406","39.636940002441406"
"2022","41.34824752807617","41.34824752807617","41.34824752807617"
"2051","35.24106979370117","35.24106979370117","35.24106979370117"
"2078","42.97029113769531","42.97029113769531","42.97029113769531"
"2108","23.863466262817383","23.863466262817383","23.863466262817383"
"2137","340.8970031738281","340.8970031738281","340.8970031738281"
"2164","48.74505615234375","48.74505615234375","48.74505615234375"
"2194","138.89456176757812","138.89456176757812","138.89456176757812"
"2223","28.529979705810547","28.529979705810547","28.529979705810547"
"2252","45.55502700805664","45.55502700805664","45.55502700805664"
"2281","35.12144470214844","35.12144470214844","35.12144470214844"
"2311","16.812915802001953","16.812915802001953","16.812915802001953"
"2341","65.50419616699219","65.50419616699219","65.50419616699219"
"2371","43.50889587402344","43.50889587402344","43.50889587402344"
"2401","34.463226318359375","34.463226318359375","34.463226318359375"
"2431","18.55902099609375","18.55902099609375","18.55902099609375"
"2461","299.96697998046875","299.96697998046875","299.96697998046875"
"2490","37.36927032470703","37.36927032470703","37.36927032470703"
"2516","45.38216018676758","45.38216018676758","45.38216018676758"
"2541","41.46636199951172","41.46636199951172","41.46636199951172"
